Pick,Available Rank,Player,Position,Team,Mean,Floor,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
0,QB11,Jimmy Garoppolo,QB,SF,84,16.8,285,5.45,55,-342,0,12,223,3.62,NA,32,NA,150,27.8,4.97,NA,999
134,,Jalen Reeves-Maybin,LB,HOU,133,133,133,NA,NA,18.6,6.98,1,NA,NA,NA,1,5,102,18.1,2.79,NA,999
100,,Roquan Smith,LB,CHI,126,85.1,176,57.7,97,11.6,2.45,1,NA,17,NA,2,NA,88.2,17.2,5.62,S,999
133,,C.J. Mosley,LB,NYJ,124,96.6,175,19.6,67,9.19,0.8,1,NA,10.5,NA,3,NA,142,24.1,3.46,NA,999
0.35,,Devin White,LB,TB,123,112,142,9.06,33,8.39,2.78,1,NA,NA,NA,4,5,88.1,21.3,4.2,NA,999
96,,Foyesade Oluokun,LB,JAC,120,89.3,183,16.8,62,5.61,0.42,1,NA,9.84,NA,5,7,192,30.3,6.44,NA,999
0.39,,DeVondre Campbell,LB,GB,120,102,161,4.88,18,5.19,0.167,1,NA,10,NA,6,NA,10.1,2.08,2.67,NA,999
0.4,,Darius Leonard,LB,IND,119,105,144,12.7,53,5.02,3.88,1,NA,18.6,O,7,1,NA,NA,5.51,NA,999
0.36,,T.J. Watt,LB,PIT,116,99.1,130,21.6,75,1.14,0.125,1,NA,23.4,NA,8,4,NA,NA,6.06,NA,999
0,LB1,T.J. Edwards,LB,PHI,115,79.1,187,23.1,77,1.02,1.02,1,NA,7.42,NA,9,NA,323,34.2,5.48,NA,999
0,LB2,Cole Holcomb,LB,WAS,114,97.6,157,0.904,3,0,0.737,2,NA,10.7,NA,10,NA,306,47.8,9.56,Q,999
0,LB3,Eric Kendricks,LB,MIN,114,97.4,156,0.163,1,-0.737,2.49,2,NA,12.3,NA,11,NA,184,40.4,5.45,NA,999
0.33,,Bobby Wagner,LB,LAR,111,102,129,5.65,22,-3.22,0.142,2,NA,13.2,NA,12,2,NA,NA,4.13,NA,999
0,LB4,Fred Warner,LB,SF,111,92.4,150,10.1,37,-3.37,0.66,2,NA,10.4,NA,13,8,148,39.5,8.19,NA,999
101,,Harrison Smith,DB,MIN,111,96.6,130,16.9,69,13.5,0.06,1,NA,7.54,NA,1,1,16,2.74,4.56,NA,999
0,LB5,Blake Martinez,LB,NYG,110,96.1,137,10.5,45,-4.03,0.195,2,NA,9.36,Q,14,4,NA,NA,5.68,NA,999
0,LB6,Kyzir White,LB,PHI,110,89.1,159,5.65,22,-4.22,1.55,2,NA,6.6,NA,15,NA,82.4,16.1,4.04,Q,999
70,,Derwin James,DB,LAC,110,101,134,2.06,10,13.4,4.95,1,NA,NA,NA,2,NA,132,16.7,3.55,NA,999
0,LB7,Denzel Perryman,LB,LVR,109,92.6,147,3.13,13,-5.77,1.12,2,NA,7.01,NA,16,NA,20.6,5.25,3.61,NA,999
0,LB8,Deion Jones,LB,ATL,107,76.2,154,36,92,-6.9,4.45,2,NA,6.53,O,17,NA,87.3,17.6,3.65,NA,999
127,,Budda Baker,DB,ARI,105,97.5,112,10.2,48,8.49,0.79,1,NA,9.96,NA,3,NA,154,25.3,4.25,NA,999
0,DB1,Khari Willis,DB,FA,105,105,105,NA,NA,7.7,2.4,1,NA,NA,NA,4,NA,42.2,10.1,3.43,NA,999
0,LB9,Tremaine Edmunds,LB,BUF,103,85.2,139,10.2,43,-11.3,2.19,3,NA,8.16,NA,18,NA,82.6,19.8,5.99,Q,999
119,,Logan Ryan,DB,TB,102,86.3,132,11.8,53,5.3,1.1,1,NA,4.51,NA,5,NA,37.2,5.84,3.86,NA,999
0,LB10,Chris Kirksey,LB,HOU,101,84.7,140,2.98,12,-13.5,0.703,3,NA,7.46,NA,19,NA,51.6,9.27,3.64,NA,999
125,,Minkah Fitzpatrick,DB,PIT,101,78.8,131,29.2,89,4.19,0.0125,1,NA,10.3,NA,6,NA,200,45.7,5.99,NA,999
126,,Jamal Adams,DB,SEA,101,99.7,103,2.42,11,4.18,2.53,2,NA,10.1,NA,7,2,NA,NA,2.79,NA,999
0,LB11,Bobby Okereke,LB,IND,100,80.4,138,13.9,55,-14.2,0.755,3,NA,NA,NA,20,4,NA,NA,2.9,NA,999
0,LB12,Lavonte David,LB,TB,99.4,89,119,7.55,28,-15,0.1,3,NA,12.7,NA,21,NA,161,26.6,4.38,NA,999
0,LB13,Demario Davis,LB,NO,99.3,88.2,126,2.05,8,-15.1,0.11,3,NA,8.18,NA,22,NA,38.4,5.99,3.74,NA,999
0,LB14,Jerome Baker,LB,MIA,99.2,85.3,127,8.7,32,-15.2,0.665,3,NA,7.56,NA,23,NA,146,35.1,7.25,NA,999
0,DB2,Justin Simmons,DB,DEN,98.7,94.2,101,1.23,6,1.66,1.35,2,NA,7.94,NA,8,4,NA,NA,3.12,NA,999
0,LB15,Ja'Whaun Bentley,LB,NE,98.5,70,163,10.1,37,-15.9,1.35,3,NA,NA,NA,24,NA,27.9,3.71,4.3,NA,999
0,DB3,Taylor Rapp,DB,LAR,97.3,88.7,106,14.2,66,0.3,0.3,2,NA,NA,NA,9,NA,139,23.8,4.45,NA,999
0,LB16,Jordan Hicks,LB,MIN,97.2,75.6,138,15.7,58,-17.2,1.21,3,NA,5.26,NA,25,NA,121,17.8,4.08,NA,999
0,DB4,Kevin Byard,DB,TEN,97,91.2,106,6.51,32,0,0.0275,2,NA,7.54,NA,10,NA,63.6,26.7,5.83,NA,999
0,DB5,Tracy Walker,DB,DET,97,81.3,126,12,55,-0.0275,0.645,2,NA,4.68,NA,11,NA,107,17.6,4.12,NA,999
0,DB6,Jordan Poyer,DB,BUF,96.3,84.2,115,13.7,63,-0.672,0.878,2,NA,9.53,Q,12,NA,66.2,14.6,3.53,NA,999
0,LB17,Matthew Adams,LB,CHI,95.9,95.9,95.9,NA,NA,-18.4,1.08,3,NA,NA,Q,26,NA,164,28.6,4.66,NA,999
0,DB7,Amani Hooker,DB,TEN,95.5,78.6,112,27.8,85,-1.55,0.267,2,NA,NA,NA,13,2,NA,NA,4.45,NA,999
0,DB8,Adrian Amos,DB,GB,95.2,89,110,0.904,5,-1.82,0.38,2,NA,NA,NA,14,3,NA,NA,7.47,NA,999
0,LB18,Kamu Grugier-Hill,LB,HOU,94.9,69.8,127,33.8,90,-19.5,0.665,3,NA,6.79,NA,27,10,292,36,7.46,NA,999
0,DB9,Jayron Kearse,DB,DAL,94.8,84.1,114,9.18,42,-2.2,0.323,2,NA,6.74,Q,15,NA,72.4,11.3,3.27,Q,999
0,DB10,Vonn Bell,DB,CIN,94.5,81.7,110,17.8,74,-2.52,0.0025,2,NA,6.31,NA,16,5,NA,NA,6.23,NA,999
0,DB11,Tyrann Mathieu,DB,NO,94.5,87.2,104,9.62,44,-2.52,2.2,2,NA,5.47,NA,17,5,NA,NA,5.32,NA,999
0,LB19,Quincy Williams,LB,NYJ,94.2,72.6,135,16.2,60,-20.2,1.2,3,NA,4.44,NA,28,NA,123,24.9,8.38,NA,999
0,LB20,Joe Schobert,LB,DEN,93,93,93,NA,NA,-21.4,1.49,3,NA,NA,NA,29,5,NA,NA,4.32,NA,999
0,DB12,Kenny Moore,DB,IND,92.3,89.7,96,3.02,15,-4.73,0.282,2,NA,6.07,NA,18,NA,120,26.7,4.72,Q,999
0,DB13,Eric Murray,DB,HOU,92,62.8,114,29.6,90,-5.01,0.375,2,NA,3.07,NA,19,3,NA,NA,3,NA,999
0,DB14,Marcus Maye,DB,NO,91.6,87.1,103,0.0148,1,-5.38,0.555,2,NA,NA,NA,20,4,NA,NA,2.91,NA,999
0,LB21,Matt Milano,LB,BUF,91.5,75.3,122,12.2,50,-22.9,0.992,3,NA,3.46,NA,30,NA,20.7,5.52,3.1,Q,999
0,DB15,Justin Reid,DB,KC,91.1,80,106,13.8,65,-5.94,0.9,2,NA,4.2,NA,21,NA,55.5,14.4,7.38,NA,999
0,LB22,Shaq Green-Thompson,LB,CAR,90.5,64.6,134,24.6,80,-23.9,2.47,4,NA,NA,O,31,4,NA,NA,2.68,NA,999
0,DB16,Xavier Woods,DB,CAR,90.2,79.3,107,12.1,56,-6.84,0.342,2,NA,4.66,NA,22,NA,123,27.4,5.66,NA,999
0,DB17,Jordan Whitehead,DB,NYJ,89.8,77.2,97.2,6.64,34,-7.18,0.233,3,NA,4.42,NA,23,NA,103,18.8,4.1,NA,999
0,DB18,Jessie Bates,DB,CIN,89.6,75.7,109,17.5,71,-7.41,1.09,3,NA,6.5,NA,24,NA,178,33.2,4.36,Q,999
0,DB19,Terrell Edmunds,DB,PIT,88.5,81.9,100,5.47,24,-8.5,0.135,3,NA,NA,NA,25,1,NA,NA,6.91,NA,999
0,DB20,Quandre Diggs,DB,SEA,88.4,78.4,104,10.1,47,-8.64,0.87,3,NA,NA,NA,26,NA,101,23,6.91,Q,999
0,LB23,Zach Cunningham,LB,TEN,88.1,73.5,115,10.7,47,-26.3,2.6,4,NA,5.35,NA,32,NA,123,15.8,3.62,NA,999
0,DB21,Adrian Phillips,DB,NE,87.5,59.6,121,40.3,97,-9.51,0.4,3,NA,NA,NA,27,NA,158,19.9,4.07,NA,999
0,DB22,Johnathan Abram,DB,LVR,87.1,80.9,98.1,5.32,21,-9.91,1.03,3,NA,4.58,NA,28,NA,126,23.7,4.32,Q,999
0,DB23,Donte Jackson,DB,CAR,86.1,71.9,104,19.1,77,-10.9,0.0825,3,NA,NA,NA,29,NA,227,54,7.8,NA,999
0,DB24,Juan Thornhill,DB,KC,86,76.1,95.9,16.3,68,-11,0.0425,3,NA,NA,NA,30,8,163,32.6,6.77,NA,999
0,DB25,Kendall Fuller,DB,WAS,85.9,78.2,96,10.4,50,-11.1,0.507,3,NA,NA,NA,31,NA,177,43.6,9.57,NA,999
0,LB24,Anthony Walker,LB,CLE,85.4,63.7,121,21.1,72,-28.9,0.287,4,NA,NA,NA,33,7,181,37.5,6.24,NA,999
0,DB26,Kareem Jackson,DB,DEN,85.4,73.6,116,0.726,3,-11.6,0.485,3,NA,NA,NA,32,NA,159,43.5,5.78,O,999
0,LB25,Myles Jack,LB,PIT,85.2,62.2,120,25.2,82,-29.2,0.232,4,NA,5.47,NA,34,NA,212,52.2,7.17,NA,999
0,LB26,Germaine Pratt,LB,CIN,84.9,63.8,121,19,65,-29.5,2.2,4,NA,NA,NA,35,NA,169,38.9,8.99,NA,999
0,DB27,Nasir Adderley,DB,LAC,84.9,73.8,108,6.09,27,-12.1,0.377,3,NA,NA,NA,33,7,166,28.2,4.66,NA,999
0,DB28,Jalen Ramsey,DB,LAR,84.6,77.3,90.3,7.92,39,-12.4,1.79,3,NA,5.11,Q,34,NA,95.2,32.6,8.68,NA,999
118,,Bradley Chubb,DL,DEN,83.1,83.1,83.1,NA,NA,11,4.31,1,NA,NA,NA,1,NA,150,32.5,5.71,NA,999
0,DB29,Chidobe Awuzie,DB,CIN,82.8,76.5,85.4,0.445,2,-14.2,0.173,3,NA,4.18,NA,35,NA,166,31.2,6.28,NA,999
0,LB27,Josey Jewell,LB,DEN,82.7,72.5,102,7.12,27,-31.7,0.327,4,NA,3.26,NA,36,7,155,27.8,4,NA,999
0,DB30,Micah Hyde,DB,BUF,82.6,77.3,93.5,2.98,13,-14.4,0.075,3,NA,NA,NA,36,7,181,42.1,6.68,NA,999
0,DB31,Malik Hooker,DB,DAL,82.5,65.1,99.9,28.7,87,-14.5,0.385,3,NA,NA,NA,37,2,NA,NA,4.83,NA,999
0,LB28,Leighton Vander Esch,LB,DAL,82.4,61.3,135,1.94,7,-32,1.06,4,NA,NA,NA,37,2,NA,NA,3.45,NA,999
0,DB32,Marshon Lattimore,DB,NO,82.1,78.6,89.6,1.76,8,-14.9,0.0675,3,NA,2.45,NA,38,9,217,39.1,7.46,NA,999
0,DB33,Rasul Douglas,DB,GB,82.1,74.3,95.8,6.83,35,-14.9,0.242,3,NA,NA,NA,39,4,NA,NA,4.58,NA,999
0,DB34,John Johnson,DB,CLE,81.8,75.6,91.8,6.39,31,-15.2,0.835,3,NA,NA,NA,40,3,NA,NA,5.15,NA,999
0,LB29,David Long,LB,TEN,81.4,69.3,93.4,19.8,68,-33,3.31,4,NA,9.62,NA,38,3,NA,NA,4.06,NA,999
0,DB35,Andrew Wingard,DB,JAC,81,67.7,111,4.61,19,-16,0.275,3,NA,NA,NA,41,4,NA,NA,3.22,Q,999
0,DB36,George Odum,DB,SF,80.7,46.8,115,55.9,98,-16.3,0.18,3,NA,NA,NA,42,4,NA,NA,4.8,NA,999
0,DB37,Bobby McCain,DB,WAS,80.5,62.9,88.5,3.07,16,-16.5,0.788,3,NA,NA,NA,43,4,NA,NA,4.55,NA,999
0,DB38,D.J. Reed,DB,NYJ,79.8,71.7,94.6,6.24,29,-17.2,0.522,4,NA,NA,Q,44,5,NA,NA,3.25,NA,999
0,DB39,Lamarcus Joyner,DB,NYJ,79.2,68.5,90,17.7,73,-17.8,0.25,4,NA,NA,NA,45,5,NA,NA,5.59,NA,999
0,DB40,Eddie Jackson,DB,CHI,79,69.5,98,5.77,26,-18,0.715,4,NA,NA,NA,46,5,NA,NA,3.27,NA,999
102,,Rashan Gary,DL,GB,78.8,78.8,78.8,NA,NA,6.72,1.23,1,NA,NA,NA,2,5,NA,NA,4.45,Q,999
0,DB41,Marlon Humphrey,DB,BAL,78.3,61.9,94.2,25.9,84,-18.7,0.36,4,NA,NA,NA,47,5,NA,NA,NA,NA,999
0,LB30,Dre Greenlaw,LB,SF,78,63.1,96.4,21,70,-36.3,0.0175,4,NA,NA,NA,39,,,,,,999
0,LB31,Drue Tranquill,LB,LAC,78,69.5,92.7,7.64,30,-36.4,0.195,4,NA,4.39,Q,40,,,,,,999
0,DB42,Dean Marlowe,DB,ATL,77.9,63.8,92,23.3,79,-19.1,0.045,4,NA,NA,NA,48,,,,,,999
0,DB43,DeShon Elliott,DB,DET,77.9,55.6,91.2,12.6,58,-19.1,0.608,4,NA,NA,NA,49,,,,,,999
0,LB32,Harold Landry,LB,TEN,77.8,66.2,93.3,15.1,57,-36.6,1.05,5,NA,NA,NA,41,,,,,,999
104,,Nick Bosa,DL,SF,77.5,71.5,92.5,0.578,6,5.5,0.145,1,NA,14.9,NA,3,,,,,,999
120,,Cameron Heyward,DL,PIT,77.4,68.3,88.7,12.8,78,5.35,1.58,1,NA,11,Q,4,,,,,,999
0,DB44,Byron Murphy,DB,ARI,77.3,66.3,88.3,17.9,76,-19.7,0.852,4,NA,NA,NA,50,,,,,,999
0,LB33,Rashaan Evans,LB,ATL,76.8,62.2,82.5,0.341,2,-37.6,1.13,5,NA,4.94,NA,42,,,,,,999
0,DB45,Ronald Darby,DB,DEN,76.4,61.1,91.7,25.2,81,-20.6,0.403,4,NA,NA,Q,51,,,,,,999
0,DB46,Anthony Harris,DB,PHI,76,64.5,93.1,13.2,61,-21,0.203,4,NA,NA,NA,52,,,,,,999
112,,Danielle Hunter,DL,MIN,75.8,62.5,89.1,21.9,92,3.77,0.368,1,NA,NA,NA,5,,,,,,999
0,DB47,Devin McCourty,DB,NE,75.8,60.2,91.7,25.3,82,-21.2,0.095,4,NA,NA,NA,53,,,,,,999
0,DB48,Rashad Fenton,DB,KC,75.7,51.9,99.6,39.3,95,-21.3,0.713,4,NA,NA,NA,54,,,,,,999
0,LB34,Mack Wilson,LB,NE,75.6,39.7,112,59.2,98,-38.7,0.453,5,NA,NA,NA,43,,,,,,999
0.38,,Myles Garrett,DL,CLE,75.4,68.8,81.9,10.6,69,3.4,0.575,1,NA,16,NA,6,,,,,,999
0,LB35,Nicholas Morrow,LB,CHI,75.2,53.2,102,31.4,87,-39.2,0.81,5,NA,NA,NA,44,,,,,,999
0,DB49,Sidney Jones,DB,SEA,75,60.5,103,9.95,45,-22,0.5,4,NA,NA,Q,55,,,,,,999
0.37,,Aaron Donald,DL,LAR,74.9,65.2,97.8,2.09,20,2.83,2.09,1,NA,21.4,NA,7,,,,,,999
0,DB50,Charvarius Ward,DB,SF,74.5,68.5,86.8,3.28,18,-22.5,0.42,4,NA,NA,Q,56,,,,,,999
0,LB36,Devin Bush,LB,PIT,74.4,67.9,86.1,5.41,20,-40,0.43,5,NA,4.27,NA,45,,,,,,999
0,DB51,Amani Oruwariye,DB,DET,74.1,67.3,86.6,5.35,23,-22.9,0.682,4,NA,NA,NA,57,,,,,,999
0,LB37,Damien Wilson,LB,CAR,74,52,110,21.4,73,-40.4,0.165,5,NA,NA,NA,46,,,,,,999
0,LB38,Cody Barton,LB,SEA,73.8,52.6,91.6,25.9,83,-40.6,0.54,5,NA,9.43,NA,47,,,,,,999
0,DB52,Darnell Savage,DB,GB,73.4,63.6,86.2,13.1,60,-23.6,0.0325,4,NA,NA,Q,58,,,,,,999
0,DB53,Erik Harris,DB,ATL,73.4,63.5,87.8,11.5,52,-23.6,2.95,4,NA,NA,NA,59,,,,,,999
0,LB39,Alex Anzalone,LB,DET,73.3,61.7,99.5,3.97,17,-41.1,0.24,5,NA,NA,NA,48,,,,,,999
0,LB40,Matt Judon,LB,NE,73,57.5,112,1.65,5,-41.4,1.55,5,NA,NA,NA,49,,,,,,999
0,DL1,ZaDarius Smith,DL,MIN,72.8,72.8,72.8,NA,NA,0.733,0.64,2,NA,NA,NA,8,,,,,,999
0,DL2,Chandler Jones,DL,LVR,72.1,69.6,74.7,4.2,35,0.0925,0.0925,2,NA,NA,NA,9,,,,,,999
0,DL3,Cameron Jordan,DL,NO,72,69.4,77.1,1.78,16,0,2.78,2,NA,7.9,NA,10,,,,,,999
0,LB41,Josh Bynes,LB,BAL,71.5,62.4,91.5,3.68,15,-42.9,3.95,5,NA,NA,NA,50,,,,,,999
0,DB54,Jimmie Ward,DB,SF,70.4,58.7,92.5,8.58,40,-26.6,0.985,4,NA,NA,Q,60,,,,,,999
0,DB55,TreDavious White,DB,BUF,69.4,60.2,86.5,7.13,37,-27.6,7.16,5,NA,NA,O,61,,,,,,999
115,,Jeffery Simmons,DL,TEN,69.3,65.5,72.5,4.79,37,-2.78,2.45,2,NA,5.66,NA,11,,,,,,999
0,LB42,Jermaine Carter,LB,KC,67.5,25.6,109,69.1,99,-46.9,2.83,6,NA,NA,NA,51,,,,,,999
0,DL4,DeForest Buckner,DL,IND,66.8,55.3,80.9,16.3,84,-5.23,3.82,3,NA,7.75,NA,12,,,,,,999
0,LB43,Jayon Brown,LB,LVR,64.7,37.7,105,31,85,-49.7,0.4,6,NA,NA,NA,52,,,,,,999
0,LB44,Joey Bosa,LB,LAC,64.3,57,73.3,10.2,42,-50.1,1.16,6,NA,6.94,NA,53,,,,,,999
131,,Khalil Mack,LB,LAC,63.1,40.5,76.2,11.8,48,-51.3,0.02,6,NA,NA,NA,54,,,,,,999
0,LB45,Andrew Van Ginkel,LB,MIA,63.1,47.3,87.1,17.6,63,-51.3,0.987,6,NA,NA,NA,55,,,,,,999
0,DL5,Sam Hubbard,DL,CIN,63,55.6,75.5,6.98,57,-9.05,0.0875,3,NA,7.32,NA,13,,,,,,999
0.31,,Robert Quinn,DL,CHI,62.9,62.9,62.9,NA,NA,-9.14,0.55,3,NA,9.02,NA,14,,,,,,999
0,DL6,Brian Burns,DL,CAR,62.4,60.2,64.5,3.48,25,-9.69,0.35,3,NA,6.67,NA,15,,,,,,999
0,DB56,Jaquiski Tartt,DB,PHI,62.3,42.5,82,32.6,92,-34.7,4.41,6,NA,NA,NA,62,,,,,,999
0,LB46,Haason Reddick,LB,PHI,62.1,48.9,84.3,12.5,52,-52.3,0.94,6,NA,NA,NA,56,,,,,,999
0,DL7,Von Miller,DL,BUF,62,62,62,NA,NA,-10,0.425,3,NA,7.68,NA,16,,,,,,999
0,DL8,Christian Wilkins,DL,MIA,61.6,56.1,69.5,6.38,51,-10.5,0.41,3,NA,7.01,NA,17,,,,,,999
0,DL9,Maxx Crosby,DL,LVR,61.2,56.7,68.9,4.08,31,-10.9,0.432,3,NA,NA,NA,18,,,,,,999
0,LB47,Leonard Floyd,LB,LAR,61.2,55.4,73.6,2.76,10,-53.2,0.168,6,NA,NA,Q,57,,,,,,999
0,LB48,Tyus Bowser,LB,BAL,61,36.9,100,24.2,78,-53.4,0.208,6,NA,NA,O,58,,,,,,999
0,LB49,Elandon Roberts,LB,MIA,60.8,48,87.7,6.52,25,-53.6,1.93,6,NA,NA,NA,59,,,,,,999
0,DL10,Leonard Williams,DL,NYG,60.7,43.5,94.5,11.4,76,-11.3,0.005,3,NA,7.73,Q,19,,,,,,999
0,DL11,Trey Hendrickson,DL,CIN,60.7,49.2,65.5,1.04,12,-11.3,1.23,4,NA,8.42,NA,20,,,,,,999
0,DL12,Harrison Phillips,DL,MIN,59.5,59.5,59.5,NA,NA,-12.5,1,4,NA,3.12,NA,21,,,,,,999
0,LB50,Josh Allen,LB,JAC,58.9,24.2,90,47.5,95,-55.5,2.06,6,NA,NA,NA,60,,,,,,999
0,TE15,C.J. Uzomah,TE,NYJ,58.6,37.7,78.5,11.9,74,0.965,0.649,9,NA,2.95,NA,28,,,,,,158
0,DL13,Quinnen Williams,DL,NYJ,58.5,57.2,59.8,2.22,22,-13.5,0.95,4,NA,3.58,NA,22,,,,,,999
0,TE16,Adam Trautman,TE,NO,57.9,46.9,75,6.49,65,0.316,0.316,9,NA,2,NA,29,,,,,,159
0,DB57,Mike Hughes,DB,DET,57.9,35.5,80.2,36.9,94,-39.2,4.3,6,NA,NA,NA,63,,,,,,999
0,TE17,Mo Alie-Cox,TE,IND,57.6,50.9,67.8,9.93,77,0,3.02,10,NA,2.18,NA,30,,,,,,160
0,DL14,Demarcus Lawrence,DL,DAL,57.6,51.3,63.8,10.3,67,-14.5,2.25,4,NA,7.49,NA,23,,,,,,999
0,LB51,Anthony Barr,LB,DAL,56.8,50.7,62.9,10.1,40,-57.6,2.96,6,NA,NA,NA,61,,,,,,999
0,DL15,Everson Griffen,DL,FA,55.3,55.3,55.3,NA,NA,-16.7,2,4,NA,NA,Q,24,,,,,,999
0,LB52,Lorenzo Carter,LB,ATL,53.9,35.6,92.4,9.12,35,-60.5,1.3,7,NA,NA,NA,62,,,,,,999
0,DB58,Armani Watts,DB,IND,53.6,6.89,100,76.9,99,-43.5,0,6,NA,NA,NA,64,,,,,,999
0,DL16,J.J. Watt,DL,ARI,53.3,52.3,54.3,1.63,14,-18.7,1,5,NA,3.07,NA,25,,,,,,999
0,LB53,Frankie Luvu,LB,CAR,52.6,27.4,77.7,41.4,93,-61.8,3.72,7,NA,NA,NA,63,,,,,,999
0,DL17,Brandon Graham,DL,PHI,52.3,52,52.6,0.445,4,-19.7,0.05,5,NA,3.7,NA,26,,,,,,999
0,DL18,Montez Sweat,DL,WAS,52.2,46.8,57.7,8.97,61,-19.8,0.1,5,NA,5.81,NA,27,,,,,,999
0,DL19,Sebastian Joseph,DL,LAC,52.2,34.9,69.4,28.4,96,-19.9,0.165,5,NA,6.1,NA,28,,,,,,999
0,DL20,Charles Harris,DL,DET,52,29.4,78.9,32.8,98,-20.1,0.145,5,NA,3.6,NA,29,,,,,,999
0,DL21,Arik Armstead,DL,SF,51.8,43.3,70,4.11,33,-20.2,0.75,5,NA,NA,Q,30,,,,,,999
0,DL22,Javon Hargrave,DL,PHI,51.1,36.4,73.9,15.9,82,-20.9,0.29,5,NA,NA,Q,31,,,,,,999
0,DL23,Denico Autry,DL,TEN,50.8,44.7,56.9,10.1,65,-21.2,0.05,5,NA,2.69,NA,32,,,,,,999
0,DL24,Zach Allen,DL,ARI,50.8,50.3,51.2,0.815,10,-21.3,0.468,5,NA,NA,NA,33,,,,,,999
0,DL25,Lawrence Guy,DL,NE,50.3,39.4,72.1,6.52,53,-21.8,0.08,5,NA,NA,NA,34,,,,,,999
0,DL26,Calais Campbell,DL,BAL,50.2,45,63.6,0.148,1,-21.8,0.252,5,NA,NA,NA,35,,,,,,999
0,DL27,Dre'Mont Jones,DL,DEN,50,35.6,64.3,23.6,94,-22.1,1.18,5,NA,5.98,NA,36,,,,,,999
0,DL28,Chris Jones,DL,KC,48.8,36,61,19.5,90,-23.3,1.27,5,NA,3.48,Q,37,,,,,,999
0,LB54,Justin Hollins,LB,LAR,48.8,28.4,69.3,33.7,88,-65.6,0,7,NA,NA,NA,64,,,,,,999
0,DL29,Jonathan Allen,DL,WAS,47.5,40.8,54.2,11.1,73,-24.5,0.0675,5,NA,NA,NA,38,,,,,,999
0,DL30,Shelby Harris,DL,SEA,47.4,38.4,65,6.03,47,-24.6,0.0325,5,NA,NA,NA,39,,,,,,999
0,DL31,Larry Ogunjobi,DL,PIT,47.4,47.4,47.4,NA,NA,-24.6,1.1,6,NA,NA,NA,40,,,,,,999
0,DL32,Roy Robertson-Harris,DL,JAC,46.3,46.3,46.3,NA,NA,-25.7,1.33,6,NA,NA,NA,41,,,,,,999
0,DL33,B.J. Hill,DL,CIN,45,30,69.7,14.7,80,-27.1,0.168,6,NA,NA,NA,42,,,,,,999
0,DL34,Vita Vea,DL,TB,44.8,33.3,56.3,19,88,-27.2,1,6,NA,4.27,NA,43,,,,,,999
0,DL35,AShawn Robinson,DL,LAR,43.8,40.4,47.2,5.63,43,-28.2,0.5,6,NA,3.48,NA,44,,,,,,999
0,DL36,Kenny Clark,DL,GB,43.3,42.1,44.5,1.93,18,-28.7,0.2,6,NA,NA,NA,45,,,,,,999
0,DL37,Ed Oliver,DL,BUF,43.1,43,43.2,0.148,1,-28.9,0.15,6,NA,NA,NA,46,,,,,,999
0,DL38,Chris Wormley,DL,PIT,43,39.4,46.5,5.86,45,-29.1,1.7,6,NA,2.62,NA,47,,,,,,999
0,DL39,Marcus Davenport,DL,NO,41.2,36.1,46.4,8.52,59,-30.8,0.3,6,NA,5.38,NA,48,,,,,,999
0,DL40,Grady Jarrett,DL,ATL,41,35.5,46.4,8.97,63,-31.1,0.35,6,NA,NA,NA,49,,,,,,999
0,DL41,Da'Ron Payne,DL,WAS,40.6,37.4,43.8,5.34,41,-31.4,0.85,7,NA,NA,NA,50,,,,,,999
0,DL42,Dorance Armstrong,DL,DAL,39.8,35.7,43.8,6.75,55,-32.3,0.392,7,NA,NA,NA,51,,,,,,999
0,DL43,Michael Pierce,DL,BAL,39.4,14.8,66.1,38.3,99,-32.7,0.0075,7,NA,NA,NA,52,,,,,,999
0,DL44,D.J. Jones,DL,DEN,39.4,37.2,41.5,3.48,25,-32.7,0.25,7,NA,NA,NA,53,,,,,,999
0,DL45,Matt Ioannidis,DL,CAR,39.1,39.1,39.1,NA,NA,-32.9,0.75,7,NA,NA,NA,54,,,,,,999
0,DL46,Zach Sieler,DL,MIA,38.4,36.9,39.8,2.45,24,-33.7,0.8,7,NA,NA,NA,55,,,,,,999
0,DL47,Romeo Okwara,DL,DET,37.6,30.8,44.3,11,71,-34.5,0.55,7,NA,NA,O,56,,,,,,999
0,DL48,D.J. Reader,DL,CIN,37,27.1,46.9,16.3,86,-35,0.5,7,NA,2.9,NA,57,,,,,,999
0,DL49,Deatrich Wise,DL,NE,36.5,29.8,43.2,11.1,73,-35.5,0.95,7,NA,NA,NA,58,,,,,,999
0,DL50,Austin Johnson,DL,LAC,35.6,35.1,36,0.667,8,-36.5,1.1,7,NA,NA,NA,59,,,,,,999
0,DL51,Davon Godchaux,DL,NE,34.4,32.2,36.7,3.78,29,-37.6,1.05,8,NA,NA,NA,60,,,,,,999
0,DL52,Dexter Lawrence,DL,NYG,33.4,30.3,36.5,5.04,39,-38.6,0.7,8,NA,NA,NA,61,,,,,,999
0,DL53,William Gholston,DL,TB,32.7,28.8,36.6,6.38,49,-39.3,0.2,8,NA,NA,NA,62,,,,,,999
0,DL54,Foley Fatukasi,DL,JAC,32.5,32.5,32.5,NA,NA,-39.5,0.4,8,NA,NA,NA,63,,,,,,999
