Pick,Available Rank,Player,Position,Team,Mean,Floor,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
12,,Elijah Mitchell,RB,SF,178,160,204,11.8,21,74.4,6.61,7,47.2,21.8,Q,19,NA,72.6,11.9,3.65,NA,40
0.13,,Jaylen Waddle,WR,MIA,142,126,159,4.1,8,36.7,0.783,6,47.2,17.8,Q,23,NA,198,40.3,8.19,NA,41
0.21,,Josh Jacobs,RB,LVR,171,151,192,17.7,43,67.5,2.99,7,47.8,19.9,Q,21,4,52.7,9.62,1.52,Q,42
21,,Darren Waller,TE,LVR,128,112,156,11.6,32,70.3,8.14,4,47.9,18,NA,5,5,NA,NA,3.3,NA,43
18,,D.J. Moore,WR,CAR,150,131,161,10.6,21,44,1.27,5,48,20,Q,19,NA,123,15.4,2.88,NA,44
0.18,,DK Metcalf,WR,SEA,152,137,167,13.1,32,46.1,1.7,5,48.7,15,NA,16,5,NA,NA,3.82,NA,45
43,,Diontae Johnson,WR,PIT,148,141,159,5.23,16,42.8,2.73,5,50.2,16,NA,20,NA,190,27,7.24,NA,46
11,,Breece Hall,RB,NYJ,166,147,179,6.23,3,62.1,8.52,8,51.8,37.5,NA,24,9,245,28,4.31,NA,47
25,,Mike Williams,WR,LAC,160,149,178,8.33,10,54.7,1,4,52.5,16.4,NA,12,NA,50.5,15.4,5.53,NA,48
0.23,,Kyler Murray,QB,ARI,433,400,459,22.4,29,7.24,1.42,3,57.6,21.9,Q,7,NA,58,8.8,3.8,NA,999
50,,Jalen Hurts,QB,PHI,421,390,446,28.7,48,-4.95,5.49,4,59.4,16.9,NA,11,NA,107,17.3,3.45,NA,999
19,,Joe Burrow,QB,CIN,426,399,464,27.6,45,0,4.95,3,59.9,18.1,Q,10,NA,76.9,8.72,3.52,NA,999
13,,AJ Dillon,RB,GB,155,137,185,12.5,24,51.3,2.74,8,63.2,14.5,NA,28,NA,106,18.5,4.39,Q,49
27,,Brandin Cooks,WR,HOU,153,143,167,11,25,47.3,0.224,5,63.3,13.6,NA,14,3,NA,NA,4.98,NA,50
48,,Courtland Sutton,WR,DEN,141,106,172,25.8,68,35.1,0.45,6,63.8,16.9,NA,25,NA,129,19.3,2.48,NA,51
26,,Damien Harris,RB,NE,168,131,192,17.1,41,64.1,2.08,7,64.9,11.2,NA,23,NA,97,33.2,7.11,NA,52
34,,Dalton Schultz,TE,DAL,120,106,138,8.8,23,62.2,4.91,4,65,12.9,NA,6,NA,75.5,18.5,7.35,NA,53
42,,Chris Godwin,WR,TB,135,115,153,18.9,67,29.2,3.26,6,67.1,13.6,Q,32,NA,6.03,2.02,2.83,NA,54
46,,Adam Thielen,WR,MIN,138,120,169,17.7,51,32,0.726,6,67.2,13.2,NA,27,4,NA,NA,7.4,NA,55
39,,Allen Robinson,WR,LAR,137,100,155,15.1,40,31.3,0.00387,6,68.2,16.6,NA,28,7,125,20.3,5.82,Q,56
41,,Gabriel Davis,WR,BUF,150,134,165,18.1,65,44.4,0.295,5,71.4,11.3,NA,17,NA,34,4.78,3,NA,57
24,,Clyde Edwards-Helaire,RB,KC,146,137,171,5.81,5,42,6.27,9,71.5,13.3,NA,31,3,NA,NA,NA,NA,58
33,,Jerry Jeudy,WR,DEN,136,112,156,16,37,30.5,0.0874,6,72.1,10.2,NA,30,3,NA,NA,3.8,NA,59
44,,Dallas Goedert,TE,PHI,115,99.7,127,9.52,26,57.3,14.4,5,72.1,8.81,NA,7,NA,52.3,7.26,4.93,NA,60
74,,Amari Cooper,WR,CLE,150,132,170,19.5,60,44.1,0.0643,5,72.7,14.3,NA,18,8,148,22.2,7.35,Q,61
64,,Miles Sanders,RB,PHI,157,148,183,8.9,13,53.5,0.633,8,73,14,Q,25,NA,62.6,13.8,4.13,Q,62
35,,Dak Prescott,QB,DAL,443,416,474,20.1,26,17.5,7.86,3,73.6,17.3,NA,5,NA,12.6,3.05,3.94,Q,999
36,,Michael Thomas,WR,NO,145,126,157,14.5,44,39.1,2.41,5,73.8,16,NA,22,6,123,19.7,3.07,NA,63
53,,Marquise Brown,WR,ARI,136,92.2,150,9.96,30,30.4,1.21,6,75.4,10.5,NA,31,NA,17,7.29,4.11,NA,64
66,,T.J. Hockenson,TE,DET,100,90.2,123,7.15,13,42.9,1.64,5,75.4,9.75,NA,8,6,117,17.7,2.28,NA,65
97,,Aaron Rodgers,QB,GB,435,409,461,34,74,9.68,2.45,3,76.4,17.8,NA,6,NA,31.6,8.98,4.8,Q,999
54,,Russell Wilson,QB,DEN,415,376,456,30.8,58,-10.4,9.44,4,76.6,19,NA,12,NA,11,1.9,4.39,Q,999
