Pick,Available Rank,Player,Position,Team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty,injury_status,Flex Rank,Pts Per Game,ADP Pressure,Team
14,,Kenneth Walker III,RB,SEA,186,27.8,0.308,156,213,74.6,63.8,79.5,23,32,27,11,5,35.1,21.6,75,NA,20,10.9,11,Tye
15,,Mark Andrews,TE,BAL,136,14.7,14.4,120,167,74.5,75.1,93.3,24,21,19,2,2,31.1,25.2,42,NA,21,8.0,7,Stephen
0.23,,Justin Fields,QB,CHI,383,15,1.21,363,411,-0.371,5.98,-2.85,158,126,179,11,6,43.8,22.8,19,NA,999,22.5,,
16,,Cam Akers,RB,LAR,159,11.6,4.85,135,184,47.5,43.1,50.6,50,53,52,24,7,58,15.4,14,NA,46,9.4,29,Toast
17,,Calvin Ridley,WR,JAC,144,32.1,0.407,118,170,45.7,36.1,49.6,52,64,54,20,8,45.6,18.9,95,NA,48,8.5,18,Kennedy
18,,Trevor Lawrence,QB,JAC,382,25.4,7.19,352,417,-1.58,-4.35,3.97,161,184,140,12,6,52.3,21.5,39,NA,999,22.5,24,Chris
19,,D'Andre Swift,RB,PHI,139,12.8,2.14,129,169,27.7,36.6,36,76,63,68,31,9,67.9,11.8,33,NA,69,8.2,38,Ace
20,,Rachaad White,RB,TB,149,12,3.67,124,177,37.3,32.1,43.7,64,71,60,26,8,72.2,11.2,16,NA,59,8.8,41,Jason
21,,Dak Prescott,QB,DAL,389,24.9,6.13,370,413,6.13,13.2,0,122,101,155,9,6,78.8,16.1,35,NA,999,22.9,49,Jason
22,,Tee Higgins,WR,CIN,154,12.2,4.74,137,171,56,55.7,50.3,40,41,53,14,7,35,23.6,16,NA,36,9.1,10,Ace
23,,Javonte Williams,RB,DEN,145,23.2,4.12,118,177,33.1,26.2,43.9,69,89,59,28,9,74.4,11.1,52,Q,62,8.5,43,Joe
24,,Miles Sanders,RB,CAR,169,20.4,2.57,141,206,57.8,49.1,72.4,37,47,33,18,6,47.6,20,46,NA,33,9.9,20,Kennedy
25,,DK Metcalf,WR,SEA,148,10.5,0.178,127,167,49.8,45.3,46.7,46,51,57,17,8,40.9,23.1,6,NA,42,8.7,13,Toast
26,,J.K. Dobbins,RB,BAL,160,9.49,1.33,146,207,48.8,54.3,73.9,49,43,31,23,7,49.6,17.1,10,NA,45,9.4,22,Stephen
27,,Deebo Samuel,WR,SF,164,15.1,2.92,142,191,66.6,59.8,71.1,32,35,34,10,6,42.3,18.9,41,NA,28,9.6,14,Joe
28,,Alvin Kamara,RB,NO,141,17.4,0.0637,110,170,29,17.6,36.9,73,95,67,29,9,77.4,14.7,43,Q,66,8.3,47,Tye
29,,Khalil Herbert,RB,CHI,119,7.26,0.665,107,157,7.72,14.9,24,118,99,88,36,11,102,5.9,11,NA,101,7.0,69,Face
30,,Jerry Jeudy,WR,DEN,143,10.1,0.629,134,165,45.3,51.8,44.3,53,44,58,21,8,63,12.5,17,NA,49,8.4,35,Chad
31,,Kyle Pitts,TE,ATL,105,6.96,14.6,94.6,133,42.7,49.9,59.3,58,46,41,7,4,58.1,12.1,19,NA,54,6.2,30,Chad
32,,Darren Waller,TE,NYG,106,14.4,0.144,88.8,125,44.4,44.1,51.6,55,52,50,5,3,64.1,10.6,61,Q,51,6.2,36,Kennedy
33,,T.J. Hockenson,TE,MIN,118,8.99,11.9,104,135,56.3,59.5,60.8,39,37,39,4,3,44.6,19.5,29,NA,35,6.9,16,Tye
34,,Dallas Goedert,TE,PHI,106,14.7,1.62,86.1,123,44.3,41.5,49.4,56,56,55,6,3,59.9,12.4,55,NA,52,6.2,34,Chris
35,,Christian Watson,WR,GB,149,4.34,0.906,141,176,51.2,59.1,56.2,44,38,44,15,8,59.9,9.94,1,NA,40,8.8,34,Stephen
36,,Mike Williams,WR,LAC,141,6.52,2.34,122,167,43.1,40.6,47,57,57,56,23,9,70.8,9.91,8,NA,53,8.3,39,Toast
0.21,,James Conner,RB,ARI,167,9.77,0.189,154,189,55.2,61.6,55.8,41,34,46,19,6,66,15.9,3,NA,37,9.8,,
0.26,,Isiah Pacheco,RB,KC,154,16.6,5.34,124,173,42.6,31.6,40.2,59,74,63,25,8,67.8,11.4,32,NA,55,9.1,,
37,,Keenan Allen,WR,LAC,139,14,0.923,125,154,40.7,43,33.2,61,54,73,24,9,54.4,19.4,25,NA,56,8.2,25,Face
38,,Drake London,WR,ATL,124,7.01,0.199,116,148,26.1,34.4,27.4,80,67,80,33,10,67.9,12.4,3,,73,7.3,38,Joe
0.22,,Alexander Mattison,RB,MIN,175,15.2,5.67,157,191,63.5,64.7,57.4,34,29,42,17,6,69.8,18.2,56,NA,30,10.3,,
39,,Chris Godwin,WR,TB,127,9.98,1.77,109,147,29.1,27,26.9,72,86,81,30,10,74.5,11.7,22,NA,65,7.5,44,Ace
40,,D.J. Moore,WR,CHI,136,9.43,1.48,127,153,38.5,45.6,32.4,63,50,76,26,9,54.8,13.9,14,NA,58,8.0,26,Jason
41,,David Montgomery,RB,DET,145,13.8,0.507,127,165,33.6,35,32.1,68,65,78,27,8,74.3,13.1,22,Q,61,8.5,42,Jason
42,,Tyler Lockett,WR,SEA,128,13.2,0.0169,113,155,29.7,31.5,34.6,70,75,69,28,10,75.1,12.1,44,NA,63,7.5,45,Ace
43,,Brian Robinson,RB,WAS,137,21.1,0.0588,116,167,25.5,24.3,33.4,82,91,72,32,9,94.7,6.46,54,NA,75,8.1,61,Joe
44,,Dalvin Cook,RB,FA,161,60.2,0.174,124,197,49,32.1,63.9,48,72,37,22,7,58.4,18.3,98,NA,44,9.5,31,Face
45,,AJ Dillon,RB,GB,141,15.1,1.28,123,166,29,30.7,32.3,74,76,77,30,9,94.4,6.89,25,Q,67,8.3,60,Toast
46,,Terry McLaurin,WR,WAS,144,19.9,0.398,121,180,46.1,39.2,60,51,58,40,19,8,56.9,15,59,NA,47,8.5,27,Stephen
47,,Jamaal Williams,RB,NO,123,24,3.5,97.6,148,11.2,5.58,14.2,106,128,107,35,10,98.3,7.09,63,NA,94,7.2,65,Chris
48,,Christian Kirk,WR,JAC,138,8.66,1.35,116,158,39.8,34,37.9,62,68,65,25,9,77.8,10.1,13,Q,57,8.1,48,Tye
49,,DeAndre Hopkins,WR,TEN,135,13.3,7.31,120,158,37,38.6,37.4,65,60,66,27,10,59.2,17.7,56,NA,60,7.9,32,Kennedy
50,,George Pickens,WR,PIT,123,10.6,2.68,109,153,24.6,26.8,33,86,87,75,36,11,90.2,7.06,32,NA,79,7.2,56,Chad
51,,Deshaun Watson,QB,CLE,393,7.49,3.85,357,415,9.97,0,1.67,109,154,147,8,5,71,15.3,6,NA,999,23.1,40,Chad
52,,Brandon Aiyuk,WR,SF,128,12,0.55,113,154,29.7,31.7,34.2,71,73,70,29,10,77.4,9.37,30,NA,64,7.5,47,Kennedy
0,DB1,Jartavius Martin,DB,WAS,94.2,NA,0.512,94.2,94.2,-9.57,0.889,-27.9,231,151,382,29,3,86.9,NA,NA,NA,999,5.5,,
53,,Antonio Gibson,RB,WAS,119,18.5,2.2,98.7,144,7.06,6.72,10.8,119,123,123,37,11,109,8.09,49,,102,7.0,74,Tye
54,,Michael Pittman,WR,IND,120,22,2.5,92.8,147,22,11,26.6,89,109,82,37,11,88.6,9.1,76,NA,82,7.1,55,Chris
55,,Mike Evans,WR,TB,143,18.8,1.64,119,159,44.7,37,38.9,54,62,64,22,8,80.3,12.3,67,NA,50,8.4,50,Stephen
56,,Diontae Johnson,WR,PIT,117,9.08,6.02,104,132,19.5,21.9,11.5,94,93,118,38,12,87.9,10,19,Q,86,6.9,54,Toast
