Pick,Available Rank,Player,Position,Team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty,injury_status,Flex Rank,Pts Per Game,ADP Pressure,Team
120,,Cordarrelle Patterson,RB,ATL,73.6,11.4,1.45,46.2,95.3,-38,-45.8,-38,567,723,478,56,15,160,2.49,65,,999,4.3,118,Jason
121,,Haason Reddick,DL,PHI,75.7,5.78,0.507,72.2,79.2,0.75,2.82,-9.12,149,137,220,8,3,NA,10.7,67,O,999,4.5,17,Jason
122,,Minkah Fitzpatrick,DB,PIT,105,15.1,0.19,93.3,122,1.63,0,0,141,154,155,8,1,NA,15,70,NA,999,6.2,17,Ace
0,TE3,Dawson Knox,TE,BUF,65.4,10.5,0.0306,44.6,93.4,3.49,0,19.6,130,154,96,24,8,154,2.28,81,,108,3.8,,
0,WR3,Darnell Mooney,WR,CHI,94.9,15.3,0.319,80.9,109,-3.01,-0.873,-11.7,168,159,237,54,14,154,2.4,84,NA,124,5.6,,
123,,Jeffery Wilson,RB,MIA,114,30.3,1.92,79.6,151,1.92,-12.4,17.9,138,275,102,39,11,140,3.92,86,,112,6.7,106,Joe
124,,Kirk Cousins,QB,MIN,396,4.67,2.66,386,407,12.6,29,-6.5,99,79,206,7,5,101,11.7,3,NA,999,23.3,68,Face
0,K4,Tyler Bass,K,BUF,147,9.62,0.595,130,157,-9.16,-12.2,-28.9,227,271,389,6,1,157,3.67,23,Q,999,8.6,,
0,DST8,Chiefs,DST,KC,94.3,12.3,0.561,28.3,105,-4.04,-3.96,-8.93,176,180,217,3,1,159,1.63,23,NA,999,5.5,,
0,K5,Evan McPherson,K,CIN,149,6.27,0.0893,139,171,-7.66,-3.6,-14.4,202,178,266,3,1,159,3.27,7,Q,999,8.8,,
0,DST9,Texans,DST,HOU,84.6,15.4,0.876,25.8,99,-13.8,-6.52,-14.8,273,205,269,15,8,159,NA,58,,999,5.0,,
0,K6,Daniel Carlson,K,LVR,151,8.52,2.5,140,174,-5.15,-2.55,-11.3,186,167,231,2,1,160,2.69,30,NA,999,8.9,,
125,,Geno Smith,QB,SEA,383,11.8,0.371,357,403,0,-0.051,-10.6,154,155,227,10,6,112,11.2,10,NA,999,22.5,79,Toast
0,WR4,Donovan Peoples-Jones,WR,CLE,88.6,16.3,0.573,69.3,120,-9.32,-12.5,0,228,276,155,62,15,161,4.74,87,NA,137,5.2,,
126,,JuJu Smith-Schuster,WR,NE,107,12.1,3.61,82,130,9.41,0.264,9.6,112,153,125,44,13,124,5.64,65,NA,97,6.3,89,Stephen
127,,Cole Kmet,TE,CHI,82.2,9.24,0.0416,67.2,91.8,20.3,22.6,18,92,92,101,14,5,125,2.96,39,NA,84,4.8,91,Chris
128,,Derek Carr,QB,NO,338,22.7,8.86,309,367,-45.1,-48.2,-46.3,667,760,575,18,8,137,8.1,32,,999,19.9,104,Tye
129,,Talanoa Hufanga,DB,SF,87.6,10.5,0.08,71.8,118,-16.2,-21.5,-3.63,308,374,184,44,3,NA,10.4,62,,999,5.2,17,Kennedy
0,DST10,Steelers,DST,PIT,83.6,11.8,0.785,23.1,109,-14.7,-9.17,-5.27,290,242,198,18,8,163,1.07,16,,999,4.9,,
0,DST11,Broncos,DST,DEN,78.6,17,1.71,23.2,91.2,-19.7,-9.11,-22.6,343,241,328,26,13,163,1.08,90,,999,4.6,,
0,QB10,Jimmy Garoppolo,QB,LVR,310,28.2,2.7,286,350,-73.1,-70.9,-63.6,925,945,766,23,10,163,6.71,74,,999,18.2,,
0,DST12,Dolphins,DST,MIA,88.2,10.5,0.123,27.9,99.9,-10.2,-4.34,-14,236,183,262,9,4,164,1.42,48,NA,999,5.2,,
0,QB11,Sam Howell,QB,WAS,275,84.9,11.2,193,341,-109,-164,-72.3,1240,1270,849,29,13,164,8.34,99,,999,16.2,,
0,QB12,Ryan Tannehill,QB,TEN,290,34.6,15.3,255,342,-93.5,-102,-71.8,1140,1250,842,28,12,165,6.1,81,,999,17.1,,
0,TE4,Zach Ertz,TE,ARI,63.1,13.8,0.941,47.4,82.2,1.19,2.76,8.42,147,138,129,28,8,166,3.44,90,Q,115,3.7,,
0,QB13,Desmond Ridder,QB,ATL,256,22.1,26.6,212,297,-128,-145,-116,1260,1270,1160,31,14,166,6.52,71,,999,15.1,,
0,WR5,Michael Gallup,WR,DAL,88,18.6,0.45,69.3,106,-9.89,-12.4,-14.2,234,273,263,63,15,167,2.2,94,NA,138,5.2,,
0,TE5,Mike Gesicki,TE,NE,62.2,14.1,0.244,47.7,76.8,0.244,3.11,3.02,152,134,144,29,8,168,2.31,77,NA,117,3.7,,
0,WR6,D.J. Chark,WR,CAR,93.9,14.3,0.0793,79.7,130,-3.93,-2.04,9.44,174,164,126,58,14,168,4.9,86,NA,128,5.5,,
0,TE6,Luke Musgrave,TE,GB,53.9,15.7,2.72,39.2,78,-7.99,-5.44,4.19,207,194,138,32,10,168,5.01,94,NA,134,3.2,,
0,QB14,Mac Jones,QB,NE,296,46.3,1.84,256,336,-87.2,-101,-77,1040,1250,882,25,11,170,7.98,84,,999,17.4,,
0,K7,Jake Elliott,K,PHI,141,15.1,1.29,125,156,-15.2,-17.8,-29.1,296,329,393,13,2,171,2.83,80,,999,8.3,,
0,RB3,Michael Carter,RB,NYJ,61,9.74,0.721,25.2,85.3,-50.6,-66.8,-48,724,917,594,61,16,171,2.12,78,,999,3.6,,
0,TE7,Hayden Hurst,TE,CAR,63.4,2.88,0.312,56.6,73.8,1.5,12,0,144,105,155,27,8,173,3.74,35,NA,113,3.7,,
0,DST13,Titans,DST,TEN,79,11.6,0.375,21,91.1,-19.4,-11.3,-22.7,337,262,331,25,12,173,NA,84,,999,4.6,,
0,TE8,Tyler Conklin,TE,NYJ,64.3,8.22,0.839,54.2,73.8,2.34,9.54,-0.00768,136,113,156,26,8,174,2.23,74,NA,111,3.8,,
0,TE9,Noah Fant,TE,SEA,67.5,11.1,1.69,54.4,76.8,5.54,9.73,3.04,124,112,143,22,8,177,4.32,71,Q,104,4.0,,
0,K8,Younghoe Koo,K,ATL,149,10.7,1.01,138,158,-7.75,-4.61,-27.6,203,186,379,4,1,177,2.59,43,NA,999,8.8,,
0,DST14,Buccaneers,DST,TB,73.7,12.5,1.93,20.2,87.6,-24.6,-12,-26.2,397,268,365,29,15,177,NA,65,,999,4.3,,
0,K9,Jason Myers,K,SEA,147,7.03,1.9,138,154,-9.76,-4.45,-31.1,233,185,415,7,1,178,2.51,37,NA,999,8.6,,
0,DST15,Jaguars,DST,JAC,82.9,4.43,1.01,23.8,94.4,-15.5,-8.5,-19.4,300,231,299,19,9,179,1.09,19,,999,4.9,,
0,WR7,Curtis Samuel,WR,WAS,94.5,16.9,0.145,80.9,116,-3.33,-0.903,-3.95,169,161,186,55,14,180,2.65,92,Q,125,5.6,,
0,DST16,Saints,DST,NO,85.7,3.14,1.1,28.9,103,-12.7,-3.33,-11.2,263,176,230,14,7,180,1.3,3,NA,999,5.0,,
0,K10,Jake Moody,K,SF,142,10.7,0.319,128,151,-14.8,-14.3,-34.6,291,289,454,11,2,180,2.97,90,,999,8.4,,
0,WR8,Marquez Valdes-Scantling,WR,KC,98.3,22.5,0.469,80.9,118,0.469,-0.9,-2.52,150,160,176,49,14,181,3.2,98,NA,116,5.8,,
0,WR9,Tim Patrick,WR,DEN,87.5,19.3,0.0145,64.4,111,-10.3,-17.3,-9.42,240,322,222,64,15,181,2.36,97,NA,139,5.1,,
0,DST17,Commanders,DST,WAS,81.8,11.6,0.439,22.3,102,-16.5,-9.98,-11.6,312,248,235,20,10,181,1,35,,999,4.8,,
0,K11,Dustin Hopkins,K,LAC,124,14.1,2.33,76.3,145,-32.6,-66.3,-40.5,493,913,513,30,4,182,NA,93,,999,7.3,,
0,DST18,Browns,DST,CLE,87.4,6.23,0.44,25.9,104,-10.9,-6.36,-9.86,244,202,224,11,5,184,1,13,NA,999,5.1,,
0,K12,Cameron Dicker,K,LAC,144,9.32,0.739,135,153,-12.8,-7.22,-32.8,264,219,430,9,1,184,2.58,83,NA,999,8.5,,
0,DST19,Bengals,DST,CIN,80.9,16.1,1.22,24.3,93.9,-17.5,-8.02,-20,322,228,304,23,11,185,1.4,39,,999,4.8,,
0,K13,Tristan Vizcaino,K,DAL,136,7.39,0.566,122,149,-20.8,-20.2,-36.4,356,359,467,18,2,185,3.46,70,,999,8.0,,
0,K14,Greg Zuerlein,K,NYJ,139,10.8,1.8,128,156,-17.2,-15,-29.1,318,296,394,15,2,186,1.89,77,,999,8.2,,
0,K15,Eddy Pineiro,K,CAR,135,10.7,0.742,125,151,-21.3,-17.9,-35,360,331,458,19,2,186,1.9,73,,999,7.9,,
0,K16,Matt Gay,K,IND,134,7.32,2.16,121,146,-22.1,-21.6,-39.8,366,375,505,20,3,186,2.47,40,,999,7.9,,
0,DST20,Seahawks,DST,SEA,87,11.3,1.13,25.4,102,-11.4,-6.91,-12.3,251,212,244,12,6,187,1,97,NA,999,5.1,,
0,TE10,Jelani Woods,TE,IND,65.8,4.86,0.362,49.1,72.2,3.86,4.49,-1.59,129,130,166,23,8,188,1.89,52,Q,107,3.9,,
0,K17,Brandon McManus,K,JAC,141,3.19,0.0647,135,151,-15.1,-7.39,-34.5,294,220,451,12,2,188,2.45,1,,999,8.3,,
0,K18,Riley Patterson,K,DET,136,6.4,0.493,127,157,-20.3,-15.4,-29,351,302,390,17,2,188,3.41,60,,999,8.0,,
0,K19,Kaimi Fairbairn,K,HOU,131,4.98,0.37,124,136,-25.8,-18.3,-49.3,406,336,615,24,3,189,NA,53,,999,7.7,,
0,K20,Jason Sanders,K,MIA,140,5.93,0.728,132,147,-16.4,-10.6,-38.8,311,255,489,14,2,190,1.91,3,,999,8.2,,
0,K21,Cairo Santos,K,CHI,130,7.41,1.99,121,146,-26.1,-21.9,-39.6,407,377,504,25,3,190,NA,67,,999,7.6,,
0,RB4,Chase Edmonds,RB,TB,72.2,9.79,5.24,57.3,97.3,-39.4,-34.7,-36,585,561,465,57,15,190,2.75,81,,999,4.2,,
0,TE11,Hunter Henry,TE,NE,69.7,20.3,0.0655,53.6,90.8,7.81,8.99,17,116,115,103,20,7,191,2.35,97,NA,99,4.1,,
0,DST21,Chargers,DST,LAC,83.7,12.4,0.065,25.3,97.4,-14.6,-7.01,-16.4,285,215,289,16,8,191,NA,32,,999,4.9,,
131,,Denzel Perryman,LB,HOU,105,49.3,0.587,75.3,135,-13.3,-31.2,-23,268,502,333,31,5,NA,10.5,96,NA,999,6.2,17,Chad
0,K22,Chad Ryland,K,NE,128,12.8,1.9,113,151,-28.5,-30,-35,439,487,456,28,3,192,NA,97,,999,7.5,,
0,K23,Graham Gano,K,NYG,145,8.28,1.14,133,154,-11.7,-9.41,-31.1,254,243,413,8,1,194,1.8,47,NA,999,8.5,,
0,DST22,Lions,DST,DET,88.7,7.26,0.455,22.3,98.6,-9.7,-9.97,-15.2,232,247,275,8,4,196,NA,68,NA,999,5.2,,
0,K24,Greg Joseph,K,MIN,143,2.75,1.23,137,150,-13.5,-5.88,-35.7,269,199,463,10,2,197,1.82,13,Q,999,8.4,,
0,DST23,Packers,DST,GB,88.1,7.12,0.657,30.1,98.6,-10.3,-2.23,-15.2,238,166,273,10,5,198,NA,26,NA,999,5.2,,
0,DST24,Giants,DST,NYG,81.4,13.3,0.276,23.5,92.2,-17,-8.78,-21.6,317,236,322,21,10,198,1,94,,999,4.8,,
0,TE12,Cade Otton,TE,TB,61.9,5.24,4.89,56.6,71.5,0,12,-2.31,154,104,172,30,9,205,1.78,26,NA,120,3.6,,
0,K25,Brett Maher,K,DEN,121,11.4,0.0885,69,133,-34.9,-73.6,-52.4,533,985,653,31,4,205,1,99,,999,7.1,,
0,DST25,Vikings,DST,MIN,79.7,8.38,0.655,24.7,90.1,-18.7,-7.55,-23.7,331,221,344,24,12,209,NA,71,,999,4.7,,
0,DST26,Bears,DST,CHI,66.6,18.7,0.835,16.7,85.9,-31.8,-15.6,-28,482,303,383,31,17,211,NA,52,,999,3.9,,
0,TE13,Logan Thomas,TE,WAS,57,1.21,3.09,52.3,68,-4.89,7.71,-5.81,182,119,204,31,9,213,2.33,10,S,131,3.4,,
0,K26,Wil Lutz,K,NO,132,15.3,0.758,118,147,-24.8,-24.8,-38.9,399,414,493,22,3,213,1,87,,999,7.8,,
0,DST27,Colts,DST,IND,90.1,7.21,1.23,28.4,98.4,-8.26,-3.9,-15.4,210,179,279,6,3,215,NA,45,NA,999,5.3,,
0,DST28,Rams,DST,LAR,85.9,8.3,0.149,27.2,93.8,-12.5,-5.03,-20,260,188,305,13,6,221,NA,74,NA,999,5.1,,
132,,David Njoku,TE,CLE,87.1,8.44,1.14,77.8,105,25.2,33.2,31,84,69,79,10,4,92.7,5.2,23,NA,77,5.1,59,Kennedy
0,LB1,Foyesade Oluokun,LB,JAC,139,1.72,2.37,124,177,20.4,17.1,19,91,96,98,1,1,NA,NA,12,NA,999,8.2,,
0.38,,Roquan Smith,LB,BAL,137,12.5,6.14,117,176,18,10,18.2,96,111,100,2,1,NA,NA,63,NA,999,8.1,,
0.37,,Micah Parsons,DL,DAL,87.4,9.27,1.32,81.8,93.1,12.5,12.5,4.74,100,102,137,1,1,NA,NA,84,NA,999,5.1,,
134,,Antoine Winfield,DB,TB,111,3.13,2.92,102,131,6.95,8.59,8.46,120,117,128,2,1,NA,NA,18,NA,999,6.5,17,Chris
0.35,,Maxx Crosby,DL,LVR,86.1,5.4,2.93,75.3,109,11.2,5.89,20.8,107,127,93,2,1,NA,NA,61,NA,999,5.1,,
0,LB2,Nick Bolton,LB,KC,128,6.42,0.508,107,177,9.74,0.643,18.8,110,152,99,4,2,NA,NA,41,NA,999,7.5,,
135,,Clyde Edwards-Helaire,RB,KC,66.9,10.1,4.12,37.6,83.8,-44.7,-54.4,-49.5,659,816,616,58,15,156,2.63,59,,999,3.9,117,Stephen
0.31,,T.J. Watt,DL,PIT,83.2,5.63,3.27,79.8,86.6,8.25,10.4,-1.71,115,110,167,3,2,NA,NA,66,,999,4.9,,
136,,Kareem Hunt,RB,FA,123,16.6,0.379,113,133,11.6,21.1,0,104,94,155,34,10,151,4.14,92,,92,7.2,113,Toast
0,LB3,C.J. Mosley,LB,NYJ,125,3.62,4.54,113,153,6.45,6.34,-5.18,121,125,197,6,3,NA,15.2,27,Q,999,7.4,,
0.33,,Myles Garrett,DL,CLE,79.9,0.593,3.38,71.2,102,4.98,1.87,13.6,125,145,110,4,3,NA,NA,5,NA,999,4.7,,
137,,Chuba Hubbard,RB,CAR,91,10.5,2.49,71.3,121,-20.6,-20.7,-12.3,354,365,243,49,13,161,1.83,38,,145,5.4,119,Face
139,,Allen Lazard,WR,NYJ,101,6.46,1.36,84.6,125,2.69,2.89,4.95,134,135,136,47,13,135,4.19,57,,110,5.9,103,Ace
0.4,,Derwin James,DB,LAC,106,6.78,0.29,93.1,134,2.44,-0.224,11.6,135,156,117,6,1,NA,9.31,40,NA,999,6.2,,
0,DB2,Mike Edwards,DB,KC,106,25.8,0.512,90.2,122,2.14,-3.07,-0.541,137,170,161,7,1,NA,NA,95,NA,999,6.2,,
0.32,,Bobby Wagner,LB,SEA,120,11.6,0.167,103,154,1.91,-3.18,-4.49,139,173,190,7,3,NA,16.6,59,,999,7.1,,
0,LB4,Logan Wilson,LB,CIN,120,1.3,1.43,109,149,1.74,2.25,-9.24,140,141,221,8,3,NA,NA,8,NA,999,7.1,,
140,,Joshua Kelley,RB,LAC,62.8,19.2,1.78,42.7,81,-48.8,-49.3,-52.2,706,773,651,60,16,191,2.58,87,,999,3.7,123,Jason
141,,Jaquan Brisker,DB,CHI,107,31,0.05,84.8,134,3.08,-8.56,12,132,233,113,4,1,NA,NA,99,NA,999,6.3,17,Jason
0.36,,Aaron Donald,DL,LAR,76.6,2.58,0.75,66.5,100,1.6,-2.84,11.8,143,168,115,6,3,NA,11.6,36,NA,999,4.5,,
0,DB3,Harrison Smith,DB,MIN,105,15.6,1.44,94.9,117,1.44,1.55,-5.11,145,147,194,9,1,NA,7.39,72,NA,999,6.2,,
142,,Tyler Higbee,TE,LAR,80,7.82,5.72,73.1,87.6,18.1,28.4,13.8,95,81,109,16,6,146,2.72,45,NA,87,4.7,111,Ace
0,LB5,Alex Singleton,LB,DEN,119,3.56,0.305,95,177,0.305,-11.5,19.2,151,265,97,9,3,NA,7.82,25,Q,999,7.0,,
0,DL2,Jonathan Allen,DL,WAS,75.2,14.3,0.243,62.4,94.5,0.243,-6.95,6.19,153,213,132,9,3,NA,7.13,90,Q,999,4.4,,
0,DL3,Harold Landry,DL,TEN,74.9,7.34,0.18,70.5,79.4,0,1.12,-8.93,154,150,218,10,3,NA,9.98,75,,999,4.4,,
0,LB6,Bobby Okereke,LB,NYG,119,9.79,0.33,97.7,164,0,-8.9,5.25,154,239,135,10,3,NA,10,57,Q,999,7.0,,
0,DB4,Chauncey Gardner-Johnson,DB,DET,104,1.25,0.185,97.8,118,0,4.53,-4.17,154,129,187,10,1,NA,7.25,3,NA,999,6.1,,
143,,Frankie Luvu,LB,CAR,128,6.12,2.79,116,153,9.24,9.45,-5.66,113,114,203,5,2,NA,17,37,NA,999,7.5,17,Joe
0,DB5,Marcus Maye,DB,NO,104,9.27,3.88,95.6,110,-0.185,2.25,-12,156,140,240,11,2,NA,3.02,52,Q,999,6.1,,
0,LB7,Harold Landry,LB,TEN,118,NA,0.738,118,118,-0.33,11.7,-40,157,106,507,11,3,NA,9.98,NA,O,999,6.9,,
145,,Zay Jones,WR,JAC,93.9,14,0.172,76.1,111,-4.01,-5.62,-8.8,175,197,216,59,14,153,3.15,78,NA,129,5.5,115,Toast
0,LB8,Fred Warner,LB,SF,118,2.22,2.73,96.7,169,-1.07,-9.81,11.1,160,245,119,12,3,NA,22.9,16,NA,999,6.9,,
0,DL4,Danielle Hunter,DL,MIN,72.7,5.95,0.005,62.9,92.4,-2.24,-6.47,4.09,163,203,139,13,4,NA,7.2,69,NA,999,4.3,,
0,DL5,Christian Wilkins,DL,MIA,72.7,5.49,0.5,69.4,76,-2.25,0,-12.3,164,154,245,14,4,NA,12.1,64,,999,4.3,,
0,DL6,Zaven Collins,DL,ARI,72.2,NA,1.65,72.2,72.2,-2.75,2.83,-16.1,167,136,286,15,5,NA,NA,NA,,999,4.2,,
0,LB9,Matt Milano,LB,BUF,115,14.1,1.17,104,124,-3.79,-2.1,-34.2,171,165,445,13,4,NA,10.5,75,,999,6.8,,
0,DB6,Jeremy Chinn,DB,CAR,99.7,4.98,0.78,95.1,103,-4.07,1.81,-18.8,177,146,297,12,2,NA,NA,28,,999,5.9,,
0,DL7,Cameron Jordan,DL,NO,70.6,3.44,0.845,62.7,87.6,-4.39,-6.66,-0.727,179,208,162,16,5,NA,8.66,44,,999,4.2,,
0,DB7,Eddie Jackson,DB,CHI,98.9,14.7,0.0925,83.7,124,-4.84,-9.63,2.15,181,244,146,13,2,NA,3.84,68,NA,999,5.8,,
0,DB8,Kamren Curl,DB,WAS,98.8,2.42,0.385,85.8,130,-4.94,-7.55,8.33,183,222,130,14,2,NA,NA,13,NA,999,5.8,,
0,LB10,T.J. Watt,LB,PIT,114,NA,0.08,114,114,-4.97,7.06,-44.6,184,122,551,14,4,NA,NA,NA,NA,999,6.7,,
0,LB11,Jordyn Brooks,LB,SEA,114,27.1,1.11,86,159,-5.05,-20.5,0.499,185,362,154,15,4,NA,NA,86,NA,999,6.7,,
0,DL8,Cameron Heyward,DL,PIT,69.7,23.1,0.345,53.5,89.6,-5.24,-15.9,1.25,187,310,148,17,5,NA,7.51,95,NA,999,4.1,,
0,DB9,Justin Simmons,DB,DEN,98.4,10.2,0.267,87.5,117,-5.32,-5.81,-5.15,188,198,196,15,2,NA,5.66,57,NA,999,5.8,,
0,DL9,Brian Burns,DL,CAR,69.4,1.9,1.24,63.3,83.2,-5.58,-6.04,-5.11,189,200,195,18,5,NA,12.4,30,NA,999,4.1,,
0,DB10,Xavier McKinney,DB,NYG,98.2,17.4,0.212,83,121,-5.59,-10.4,-1.24,190,252,164,16,2,NA,NA,77,Q,999,5.8,,
0,DB11,L'Jarius Sneed,DB,KC,98,4.34,0.745,88,120,-5.8,-5.32,-2.46,191,191,175,17,2,NA,7.22,23,NA,999,5.8,,
0,LB12,Drue Tranquill,LB,KC,112,8.41,0.395,91.5,159,-6.16,-15.1,0.538,192,297,153,16,4,NA,9.19,47,NA,999,6.6,,
0,LB13,Josey Jewell,LB,DEN,112,20.4,0.695,92.9,142,-6.55,-13.6,-16.3,194,280,287,17,4,NA,8.62,82,NA,999,6.6,,
0,DB12,Rasul Douglas,DB,GB,97.2,9.06,0.395,90.2,107,-6.55,-3.11,-15.5,193,172,280,18,2,NA,NA,48,NA,999,5.7,,
0,DL10,Sam Hubbard,DL,CIN,68.1,8.42,0.475,59,83.7,-6.82,-10.4,-4.63,196,253,191,19,5,NA,7.1,79,Q,999,4.0,,
0,DB13,Grant Delpit,DB,CLE,96.8,1.65,0.177,87.8,119,-6.94,-5.51,-3.44,197,196,183,19,2,NA,7.01,5,NA,999,5.7,,
0,DB14,Marcus Williams,DB,BAL,96.6,6.83,0.68,89.2,109,-7.12,-4.16,-12.6,198,181,249,20,2,NA,5.47,42,NA,999,5.7,,
0,LB14,Cole Holcomb,LB,PIT,111,17.5,0.16,86.8,158,-7.24,-19.8,0,199,357,155,18,4,NA,15.7,80,NA,999,6.5,,
0,DL11,Uchenna Nwosu,DL,SEA,67.6,8.38,1.03,62.6,72.7,-7.3,-6.8,-15.6,200,210,281,20,6,NA,10.3,77,NA,999,4.0,,
0,LB15,DeVondre Campbell,LB,GB,111,1.47,0.37,98.4,143,-7.4,-8.15,-15.3,201,229,277,19,4,NA,17.9,10,NA,999,6.5,,
0,LB16,Eric Kendricks,LB,LAC,111,2.91,0.4,99.7,137,-7.77,-6.82,-21.5,205,211,320,20,4,NA,14.9,22,NA,999,6.5,,
0,DB15,Jalen Thompson,DB,ARI,96,23.7,0.565,81.2,111,-7.8,-12.1,-10.8,206,270,228,21,2,NA,6,92,NA,999,5.6,,
0,LB17,Jordan Hicks,LB,MIN,110,13.7,0.435,91.3,147,-8.17,-15.2,-11.5,209,300,233,21,4,NA,7.34,71,NA,999,6.5,,
0,DL12,DeForest Buckner,DL,IND,66.6,4.54,0.382,58.6,83.1,-8.33,-10.8,-5.27,211,259,199,21,6,NA,7.9,51,NA,999,3.9,,
0,DB16,Decobie Durant,DB,LAR,95.4,6.08,0.03,91.7,99.1,-8.36,-1.6,-23,212,163,335,22,2,NA,3.94,35,NA,999,5.6,,
0,DB17,Russ Yeast,DB,LAR,95.4,11.1,0.005,88.6,102,-8.39,-4.66,-20,214,187,308,23,2,NA,4.78,63,NA,999,5.6,,
0,DB18,Kyle Dugger,DB,NE,95.4,3.25,0.275,87.8,99.5,-8.4,-5.49,-22.6,215,195,329,24,2,NA,NA,20,NA,999,5.6,,
146,,Jack Campbell,LB,DET,104,8.41,0.407,96.4,111,-14.3,-10.1,-47.7,280,251,592,33,5,26.5,NA,49,,999,6.1,4,Stephen
148,,Sam LaPorta,TE,DET,65.4,7.86,1.13,52.6,85.6,3.46,7.93,11.8,131,118,114,25,8,126,8.26,87,NA,109,3.8,92,Tye
0,DL13,Jeffery Simmons,DL,TEN,66.2,2.74,1.54,58.8,83,-8.71,-10.6,-5.37,218,254,201,22,6,NA,NA,41,NA,999,3.9,,
0,LB18,Lavonte David,LB,TB,110,8.95,0.0925,89.3,155,-8.78,-17.3,-3.74,221,321,185,23,4,NA,9.82,51,NA,999,6.5,,
0,DB19,Rayshawn Jenkins,DB,JAC,95,4.79,0.01,83.2,121,-8.8,-10.1,-1.3,222,249,165,26,2,NA,6.43,27,Q,999,5.6,,
0,DB20,Marcus Epps,DB,LVR,94.9,13.1,0.683,85.4,107,-8.82,-7.96,-14.9,223,226,271,27,2,NA,5.02,67,NA,999,5.6,,
0,LB19,Tremaine Edmunds,LB,CHI,110,12.6,2.1,91.4,145,-8.88,-15.1,-13.3,224,298,255,24,4,NA,28.1,65,NA,999,6.5,,
0,DB21,Kyle Hamilton,DB,BAL,94.3,9.84,0.0675,82.6,102,-9.5,-10.7,-19.7,230,257,302,28,2,NA,NA,55,Q,999,5.5,,
0,DB22,Adrian Amos,DB,NYJ,93.7,23,0.553,79.2,109,-10.1,-14.2,-13,235,287,252,30,3,NA,6.74,90,Q,999,5.5,,
0,DL14,Quinnen Williams,DL,NYJ,64.7,1.75,0.0775,59.5,76.4,-10.2,-9.83,-11.9,237,246,239,23,6,NA,10.6,23,Q,999,3.8,,
0,DL15,Josh Sweat,DL,PHI,64.6,1.16,0.63,60.3,74.8,-10.3,-9.07,-13.6,239,240,258,24,6,NA,6.58,13,Q,999,3.8,,
0,DB23,Kerby Joseph,DB,DET,93.1,19.7,0.942,79,111,-10.6,-14.3,-11.5,242,288,232,31,3,NA,NA,82,NA,999,5.5,,
0,DL16,Kwity Paye,DL,IND,64,2.7,0.232,54.8,85.3,-11,-14.6,-3.01,245,293,182,25,6,NA,NA,39,NA,999,3.8,,
0,LB20,Nakobe Dean,LB,PHI,108,5.17,0.308,101,119,-11,-5.19,-39.4,246,189,503,25,4,NA,NA,31,NA,999,6.4,,
0,DL17,Da'Ron Payne,DL,WAS,63.8,0.919,0.0125,53.5,89.4,-11.2,-15.8,1.11,248,309,151,26,6,NA,NA,10,O,999,3.8,,
0,DL18,Randy Gregory,DL,DEN,63.8,2.59,2.38,62.2,65.3,-11.2,-7.2,-23,249,218,334,27,7,NA,3.02,38,NA,999,3.8,,
0.34,,Matt Judon,DL,NE,63.8,1.85,0,62.6,64.9,-11.2,-6.75,-23.5,249,209,342,27,7,NA,8.69,28,NA,999,3.8,,
0,LB21,Pete Werner,LB,NO,107,32.1,0.657,87.6,127,-11.3,-19,-30.9,250,347,409,26,4,NA,NA,90,NA,999,6.3,,
0,DB24,Jordan Poyer,DB,BUF,92.2,2.08,0.843,85.7,107,-11.6,-7.57,-15.2,253,224,274,32,3,NA,4.22,10,NA,999,5.4,,
0,LB22,Isaiah Simmons,LB,ARI,107,22.8,0.085,92.8,120,-11.9,-13.8,-37.8,255,281,477,27,4,NA,NA,84,NA,999,6.3,,
0,LB23,Micah Parsons,LB,DAL,107,NA,0.365,107,107,-12,0,-51.7,256,154,644,28,5,NA,NA,NA,NA,999,6.3,,
0,LB24,Ernest Jones,LB,LAR,106,13.8,0.005,83.5,152,-12.4,-23,-6.52,257,397,207,29,5,NA,NA,73,NA,999,6.2,,
0,LB25,Dre Greenlaw,LB,SF,106,15.3,0.895,88.6,137,-12.4,-17.9,-21.3,258,330,318,30,5,NA,16.1,78,NA,999,6.2,,
0,DB25,Kenny Moore,DB,IND,91.4,1.7,0.1,90.3,92.4,-12.4,-3,-29.7,259,169,399,33,3,NA,NA,7,NA,999,5.4,,
0,DB26,DeShon Elliott,DB,MIA,91.2,22.6,0.1,77.5,105,-12.5,-15.8,-17.1,261,308,295,34,3,NA,5.57,88,NA,999,5.4,,
0,DB27,Bobby McCain,DB,NYG,91.2,24.7,0.252,76.2,106,-12.6,-17.1,-16,262,320,284,35,3,NA,NA,93,Q,999,5.4,,
0,DB28,Jordan Fuller,DB,LAR,90.9,6,1.38,86.8,95.7,-12.9,-6.51,-26.4,266,204,367,36,3,NA,5.26,33,NA,999,5.3,,
149,,Kenny Pickett,QB,PIT,318,23.4,0.225,290,340,-64.9,-66.9,-73.1,876,919,855,20,9,141,6.37,58,,999,18.7,107,Kennedy
0,DL19,Rashan Gary,DL,GB,61.4,19.3,0.475,43.8,88.3,-13.6,-25.6,0,271,426,155,28,7,NA,5.64,93,NA,999,3.6,,
