Pick,Available Rank,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
126,,Cole Beasley,WR,BUF,183,30.2,2.08,141,209,-28.3,-34.8,-31.2,290,329,291,49,NA,146,35.1,7.25,NA,98
85,,Nyheim Hines,RB,IND,181,19.6,0.532,150,202,-51.5,-17.5,-86.9,493,207,505,47,NA,108,18.9,2.94,NA,99
77,,Tony Pollard,RB,DAL,181,22.5,0.203,137,200,-52,-30.5,-89.4,502,298,513,48,NA,123,15.4,2.88,NA,100
103,,Russell Gage,WR,ATL,181,36.6,3.1,134,236,-30.4,-42.4,-4.02,310,361,136,50,NA,152,41.2,8.62,NA,101
0,RB2,LeVeon Bell,RB,FA,180,33.5,2.35,159,205,-52.2,-8,-83.7,503,161,499,49,NA,290,52.3,6.87,NA,102
0,RB3,Jeffery Wilson,RB,SF,178,66.5,3.97,114,242,-54.6,-53.3,-46.8,515,398,405,50,NA,250,47.9,9.16,O,103
93,,Darnell Mooney,WR,CHI,178,23.1,0.473,142,207,-33.5,-34.2,-32.9,338,326,305,51,NA,123,27.4,5.66,NA,104
0,WR1,Sterling Shepard,WR,NYG,178,40.5,0.163,121,234,-33.9,-55.6,-6.05,347,404,146,52,NA,154,30.4,8.08,NA,105
66,,DeVonta Smith,WR,PHI,177,29.5,2.29,148,227,-34.1,-28.2,-12.7,349,283,178,53,NA,92.4,29.8,6.66,NA,106
56,,Logan Thomas,TE,WAS,176,20.2,3.47,146,210,23.5,18.3,35.7,69,83,61,6,5,88.1,21.3,4.2,NA,107
73,,Mike Williams,WR,LAC,175,19.6,0.551,151,208,-36.4,-25.5,-31.7,373,259,297,54,NA,106,18.5,4.39,Q,108
0,WR2,Emmanuel Sanders,WR,BUF,175,31.4,8.95,130,209,-36.9,-46.1,-30.7,378,381,290,55,NA,177,31.3,7.05,NA,109
0,RB4,Tevin Coleman,RB,NYJ,174,19.5,5.56,144,198,-58.5,-22.8,-91.4,543,239,515,51,NA,176,37.9,4.53,NA,110
6,,Kyle Pitts,TE,ATL,172,59,7.61,57.5,225,20.1,-70.6,50.5,72,449,51,7,5,57.4,13.4,7.88,NA,111
69,,Phillip Lindsay,RB,HOU,169,39.7,1.86,108,214,-64.1,-59.2,-74.7,575,415,485,52,NA,138,22,4.82,NA,112
51,,AJ Dillon,RB,GB,167,31.9,9.29,130,207,-66,-37,-81.7,591,339,496,53,NA,123,17.3,3.8,Q,113
60,,Mecole Hardman,WR,KC,166,19.7,2.7,132,186,-45.9,-44.1,-53.6,442,371,438,56,NA,150,32.5,5.71,NA,114
72,,Noah Fant,TE,DEN,165,11.8,2.69,148,182,12.4,19.8,7.95,85,80,96,8,5,82.2,15.6,2.42,NA,115
134,,Nelson Agholor,WR,NE,163,23,1.77,141,198,-48.6,-35.4,-42.1,463,332,382,57,NA,164,35.7,6.42,NA,116
80,,Robert Tonyan,TE,GB,162,12.1,0.448,143,174,9.75,14.8,0,90,88,121,9,5,102,18.1,2.79,NA,117
