Pick,Available Rank,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
0,DB23,Taylor Rapp,DB,LAR,81.1,4.38,0.0418,77.9,83.9,-15,-12.7,-17.7,183,185,207,33,5,NA,NA,3.6,NA,999
0,DB24,Eric Rowe,DB,MIA,81.1,10.8,0.0653,74.2,89,-15.1,-16.5,-12.6,184,203,177,34,5,NA,NA,5.7,NA,999
0,DB25,Adrian Phillips,DB,NE,81,9.19,0.0212,75.1,87.8,-15.1,-15.5,-13.9,185,197,187,35,5,NA,NA,5.17,NA,999
0,DB26,Keanu Neal,DB,DAL,81,NA,0.019,NA,NA,-15.2,NA,NA,188,NA,NA,36,5,NA,NA,NA,NA,999
0,DB27,Minkah Fitzpatrick,DB,PIT,81,1.56,0.0676,79.8,82,-15.2,-10.8,-19.7,189,178,220,37,5,NA,NA,2.68,NA,999
0,DB28,Kyle Fuller,DB,DEN,80.9,10.8,0.219,73,87.8,-15.3,-17.7,-13.8,191,210,185,38,5,NA,NA,5.7,NA,999
0,DB29,Marcus Maye,DB,NYJ,80.7,30.8,0.894,61,103,-15.5,-29.7,1.67,194,292,113,39,6,NA,NA,12.2,NA,999
0,DL1,Jason Pierre-Paul,DL,TB,80,2.26,0.318,78.5,81.6,6.28,12.3,1.26,96,92,115,2,1,NA,NA,3,NA,999
0,LB27,Khalil Mack,LB,CHI,79.9,13.2,0.446,70.2,88.3,-27.8,-30,-22.3,284,294,234,37,6,NA,NA,5.81,NA,999
0,DB30,Terrell Edmunds,DB,PIT,79.8,16.3,0.133,67.8,90.3,-16.4,-22.8,-11.4,199,240,167,40,6,NA,NA,7.5,NA,999
0,DB31,Eddie Jackson,DB,CHI,79.7,2.55,0.518,78,81.5,-16.5,-12.6,-20.1,200,184,224,41,6,NA,NA,3,NA,999
106,,Joey Bosa,DL,LAC,79.7,8.91,0.415,73.1,85.4,5.97,6.89,4.98,98,102,103,3,1,NA,NA,5.83,NA,999
0,LB28,Harold Landry,LB,TEN,79.4,19.9,0.796,64.8,92.2,-28.3,-35.5,-18.4,291,334,210,38,6,NA,NA,7.43,NA,999
0,DL2,Brian Burns,DL,CAR,79.2,1.91,0.282,77.8,80.5,5.55,11.6,0.085,99,94,119,4,1,NA,NA,2.84,NA,999
0,DB32,Rodney McLeod,DB,PHI,79.1,4.81,1.59,76.1,82.7,-17,-14.6,-19,205,191,215,42,6,NA,NA,3.74,O,999
0.4,,Myles Garrett,DL,CLE,79,17.6,2.72,66,90.2,5.27,-0.194,9.85,100,122,89,5,1,NA,NA,9.53,Q,999
0,LB29,Bobby Okereke,LB,IND,78.6,11.7,0.304,71.2,87.2,-29.1,-29.1,-23.4,298,288,240,39,6,NA,NA,5.46,NA,999
0,LB30,Donta Hightower,LB,NE,78.3,16.5,1.54,67.7,90.5,-29.4,-32.5,-20.1,302,309,222,40,6,NA,NA,6.62,NA,999
0,DB33,Janoris Jenkins,DB,TEN,77.6,0.849,0.256,77,78.2,-18.6,-13.6,-23.5,210,187,243,43,6,NA,NA,2.45,NA,999
0,DB34,Lonnie Johnson,DB,HOU,77.3,NA,0.0578,NA,NA,-18.9,NA,NA,211,NA,NA,44,6,NA,NA,NA,NA,999
0,DB35,James Bradberry,DB,NYG,77.2,4.95,0.142,74.1,80.9,-18.9,-16.6,-20.8,212,205,226,45,6,NA,NA,3.79,NA,999
0,DB36,Michael Davis,DB,LAC,77.1,NA,0.446,NA,NA,-19.1,NA,NA,213,NA,NA,46,6,NA,NA,NA,NA,999
0,LB31,Danny Trevathan,LB,CHI,76.8,13.4,0.256,68.2,86.7,-30.9,-32.1,-23.9,315,307,245,41,6,NA,NA,5.88,Q,999
0,DB37,Sean Bunting,DB,TB,76.7,20.1,0.154,63.8,91.4,-19.5,-26.8,-10.3,216,272,161,47,6,NA,NA,8.72,NA,999
0,DB38,Will Harris,DB,DET,76.5,NA,0.279,NA,NA,-19.7,NA,NA,218,NA,NA,48,6,NA,NA,NA,NA,999
0,LB32,Cole Holcomb,LB,WAS,76.5,7.57,0.182,71,81.4,-31.2,-29.3,-29.2,317,290,279,42,6,NA,NA,4.48,NA,999
0,LB33,DeVondre Campbell,LB,GB,76.4,3.61,3.7,74.1,79,-31.4,-26.2,-31.6,319,266,292,43,6,NA,NA,3.54,NA,999
0,DB39,Jaire Alexander,DB,GB,76.2,4.24,0.599,73.1,78.9,-19.9,-17.5,-22.7,220,208,237,49,6,NA,NA,3.56,Q,999
132,,DeForest Buckner,DL,IND,76.2,5.73,0.148,72,79.9,2.55,5.82,-0.472,107,105,123,6,1,NA,NA,4.47,NA,999
0,DL3,Cameron Jordan,DL,NO,76.1,6.72,0.019,71.2,80.4,2.4,4.94,0.0136,108,107,120,7,1,NA,NA,4.89,NA,999
0.37,,Aaron Donald,DL,LAR,76.1,8.27,0.583,70,81.4,2.38,3.78,0.991,109,111,117,8,1,NA,NA,5.56,NA,999
0,DB40,Daniel Sorensen,DB,KC,75.6,6.29,0.234,71.6,80.2,-20.5,-19,-21.4,226,214,230,50,6,NA,NA,4.22,NA,999
116,,Nick Bosa,DL,SF,75.5,7.64,1.8,69.9,80.4,1.8,3.66,0,112,113,121,9,2,NA,NA,5.28,Q,999
0,DB41,Duron Harmon,DB,ATL,75.4,28.1,0.222,57.4,96,-20.8,-33.2,-5.66,229,313,143,51,6,NA,NA,11.3,NA,999
0,DB42,Lamarcus Joyner,DB,NYJ,75.2,14,0.0143,66.2,85.4,-21,-24.4,-16.2,231,247,198,52,6,NA,NA,6.73,NA,999
0,DB43,Xavien Howard,DB,MIA,75.2,12.4,0.852,67.2,84.3,-21,-23.5,-17.4,232,242,205,53,6,NA,NA,6.23,NA,999
0,DB44,Avonte Maddox,DB,PHI,74.3,NA,0.333,NA,NA,-21.9,NA,NA,237,NA,NA,54,6,NA,NA,NA,NA,999
0,DB45,J.C. Jackson,DB,NE,74,12.2,0.0831,66.2,82.9,-22.2,-24.5,-18.8,241,248,213,55,6,NA,NA,6.14,NA,999
0,DB46,Josh Jones,DB,JAC,73.9,12.8,0.29,65.7,83.3,-22.3,-24.9,-18.4,242,255,212,56,6,NA,NA,6.34,NA,999
0,DL4,Romeo Okwara,DL,DET,73.7,12.5,0.719,65.7,82.9,0,-0.539,2.51,118,124,111,10,2,NA,NA,7.36,NA,999
0,DB47,Blessuan Austin,DB,NYJ,73.6,3.96,0.0167,71.1,76.5,-22.6,-19.6,-25.2,243,217,255,57,6,NA,NA,3.46,NA,999
0,DB48,Joe Haden,DB,PIT,73.6,10,0.177,67.1,81,-22.6,-23.5,-20.7,244,243,225,58,6,NA,NA,5.45,NA,999
0,DB49,Jaquiski Tartt,DB,SF,73.4,NA,0.8,NA,NA,-22.8,NA,NA,245,NA,NA,59,7,NA,NA,NA,O,999
118,,Haason Reddick,DL,CAR,73,9.19,0.224,66.2,78.9,-0.719,0,-1.52,120,121,126,11,2,NA,NA,5.95,NA,999
0,DL5,J.J. Watt,DL,ARI,72.8,16.4,2.91,60.7,83.3,-0.944,-5.52,2.87,121,151,108,12,2,NA,NA,9.02,O,999
0,LB34,Rashaan Evans,LB,TEN,72.7,1.27,0.0391,71.7,73.5,-35.1,-28.5,-37.1,356,285,342,44,6,NA,NA,2.98,NA,999
0,DB50,Jamel Dean,DB,TB,72.6,NA,0.473,NA,NA,-23.6,NA,NA,251,NA,NA,60,7,NA,NA,NA,NA,999
0,LB35,ZaDarius Smith,LB,GB,72.6,8.2,1.49,66.6,77.9,-35.1,-33.7,-32.7,357,323,301,45,6,NA,NA,4.63,Q,999
0,DB51,TreDavious White,DB,BUF,72.1,8.2,0.0133,66.1,77.4,-24,-24.5,-24.3,255,251,246,61,7,NA,NA,4.85,NA,999
0,DB52,Trayvon Mullen,DB,LVR,72.1,9.33,0.0139,66.1,79,-24.1,-24.5,-22.7,256,249,236,62,7,NA,NA,5.22,NA,999
0,DB53,Jonathan Jones,DB,NE,72.1,NA,0.357,NA,NA,-24.1,NA,NA,257,NA,NA,63,7,NA,NA,NA,NA,999
0,DB54,Denzel Ward,DB,CLE,71.7,8.77,0.0433,66.1,78.2,-24.4,-24.5,-23.5,259,250,242,64,7,NA,NA,5.03,Q,999
0,LB36,Josey Jewell,LB,DEN,71.1,0.212,0.372,71,71.3,-36.6,-29.3,-39.3,376,289,359,46,6,NA,NA,2.73,NA,999
0,LB37,Jon Bostic,LB,WAS,70.8,4.17,0.128,67.7,73.4,-37,-32.6,-37.1,379,310,343,47,6,NA,NA,3.67,NA,999
0,LB38,Anthony Barr,LB,MIN,70.6,0.212,3.24,70.5,70.8,-37.1,-29.8,-39.8,381,293,362,48,7,NA,NA,2.73,Q,999
0,DL6,Cameron Heyward,DL,PIT,69.8,5.59,1.32,65.7,73.4,-3.86,-0.488,-6.97,132,123,150,13,2,NA,NA,4.41,NA,999
0,DL7,Montez Sweat,DL,WAS,68.5,1.56,1.5,67.5,69.7,-5.18,1.3,-10.7,138,118,164,14,3,NA,NA,2.69,Q,999
0,LB39,Ja'Whaun Bentley,LB,NE,67.4,0.919,1.79,66.7,68,-40.3,-33.5,-42.6,400,317,386,49,7,NA,NA,2.9,NA,999
0,DL8,Dre'Mont Jones,DL,DEN,67,5.16,0.279,63.2,70.3,-6.68,-3,-10.1,142,136,160,15,3,NA,NA,4.23,NA,999
0,DL9,Josh Allen,DL,JAC,66.7,2.69,0.362,64.8,68.5,-6.96,-1.46,-11.9,143,127,172,16,3,NA,NA,3.18,NA,999
0,DL10,Sam Hubbard,DL,CIN,66.4,6.29,0.787,61.8,70.4,-7.32,-4.47,-9.98,144,144,158,17,3,NA,NA,4.71,NA,999
0,DL11,Leonard Williams,DL,NYG,65.6,7.5,0.358,60.1,70.4,-8.11,-6.14,-10,147,155,159,18,3,NA,NA,5.22,NA,999
0,LB40,Drue Tranquill,LB,LAC,65.6,23.8,0.528,50.4,83.1,-42.1,-49.9,-27.5,411,392,268,50,7,NA,NA,8.35,NA,999
0,DL12,Stephon Tuitt,DL,PIT,65.2,4.17,0.513,62.6,68.3,-8.47,-3.66,-12.1,153,142,173,19,3,NA,NA,3.81,NA,999
0,LB41,Benardrick McKinney,LB,MIA,65.1,8.27,0.437,59,70.4,-42.6,-41.3,-40.2,415,356,368,51,7,NA,NA,4.65,NA,999
0,DL13,Demarcus Lawrence,DL,DAL,64.7,8.06,0.689,58.8,69.9,-8.98,-7.43,-10.5,156,158,162,20,3,NA,NA,5.46,Q,999
0,LB42,Bradley Chubb,LB,DEN,64.6,14.3,1.02,54.1,73.8,-43.1,-46.1,-36.8,423,382,337,52,7,NA,NA,6.08,NA,999
0,DL14,Shelby Harris,DL,DEN,64,9.97,0.3,57.6,71.4,-9.67,-8.58,-9.03,158,166,156,21,3,NA,NA,6.28,NA,999
0,DL15,Brandon Graham,DL,PHI,63.7,3.46,0.407,61.2,65.9,-9.97,-5.04,-14.4,160,145,189,22,3,NA,NA,3.51,NA,999
0,LB43,Germaine Pratt,LB,CIN,63.6,10.1,0.206,57.2,71.1,-44.1,-43.1,-39.5,430,363,361,53,7,NA,NA,5.09,NA,999
0,LB44,Jarrad Davis,LB,NYJ,63.4,29.1,0.0228,42,82.1,-44.3,-58.3,-28.5,431,412,274,54,7,NA,NA,9.62,NA,999
0,LB45,Von Miller,LB,DEN,63.4,12.4,1.45,54.3,71.3,-44.3,-46,-39.3,432,380,358,55,7,NA,NA,5.62,NA,999
0,DL16,Jadeveon Clowney,DL,CLE,63.3,3.32,2.14,60.9,65.5,-10.4,-5.34,-14.9,161,149,192,23,4,NA,NA,3.45,NA,999
0,LB46,A.J. Klein,LB,BUF,61.9,4.67,0.727,58.5,64.9,-45.8,-41.8,-45.6,441,359,397,56,7,NA,NA,3.79,NA,999
0,DL17,Kenny Clark,DL,GB,61.2,3.54,0.398,58.6,63.4,-12.5,-7.64,-16.9,168,159,202,24,4,NA,NA,3.54,NA,999
0,LB47,Jordan Hicks,LB,ARI,61.2,10.3,1.54,54.7,68.7,-46.5,-45.6,-41.8,443,378,377,57,8,NA,NA,5.12,NA,999
0,DL18,Trey Flowers,DL,DET,60.8,2.62,0.308,58.9,62.5,-12.9,-7.36,-17.9,170,157,208,25,4,NA,NA,3.15,NA,999
0,DL19,Chris Jones,DL,KC,60.5,9.19,0.129,53.7,66.4,-13.2,-12.5,-14,172,182,188,26,4,NA,NA,5.95,NA,999
0,DL20,Jonathan Allen,DL,WAS,60.3,8.63,0.417,54,65.9,-13.3,-12.2,-14.5,173,181,191,27,4,NA,NA,5.71,NA,999
0,DL21,Whitney Mercilus,DL,HOU,59.9,20.5,1.39,46.8,75,-13.8,-19.4,-5.39,175,216,142,28,4,NA,NA,10.8,NA,999
0,LB48,Kyzir White,LB,LAC,59.7,15.8,0.471,48.1,69.8,-48.1,-52.2,-40.8,455,397,372,58,8,NA,NA,6.43,NA,999
0,LB49,Elandon Roberts,LB,MIA,59.2,NA,0.0975,NA,NA,-48.5,NA,NA,461,NA,NA,59,8,NA,NA,NA,NA,999
0,LB50,Leighton Vander Esch,LB,DAL,59.1,28.8,0.239,37.9,77.6,-48.6,-62.4,-33,464,432,310,60,8,NA,NA,9.55,NA,999
0,LB51,Anthony Hitchens,LB,KC,58.9,7.42,0.014,54.1,64.3,-48.9,-46.2,-46.3,468,383,403,61,8,NA,NA,4.45,NA,999
0,LB52,Bud Dupree,LB,TEN,58.8,8.63,0.183,52.5,64.4,-48.9,-47.8,-46.2,470,386,400,62,8,NA,NA,4.73,NA,999
0,LB53,Matt Judon,LB,NE,58.7,31,0.448,35.9,78.5,-49.1,-64.4,-32,471,436,298,63,8,NA,NA,10.1,NA,999
0,DL22,Yannick Ngakoue,DL,LVR,58.5,0.0707,0.0463,58.5,58.6,-15.2,-7.72,-21.8,186,160,232,29,4,NA,NA,2.06,NA,999
0,DL23,Justin Houston,DL,BAL,58.5,NA,0.0653,NA,NA,-15.2,NA,NA,190,NA,NA,30,4,NA,NA,NA,NA,999
0,DL24,Quinnen Williams,DL,NYJ,58.4,1.63,0.0347,57.2,59.5,-15.3,-8.99,-20.9,192,169,227,31,4,NA,NA,2.72,Q,999
0,DL25,Frank Clark,DL,KC,58.4,NA,0.42,NA,NA,-15.3,NA,NA,193,NA,NA,32,4,NA,NA,NA,Q,999
0,LB54,Kwon Alexander,LB,NO,58.2,41.6,0.167,27.6,84.9,-49.5,-72.7,-25.7,475,455,259,64,8,NA,NA,12.6,NA,999
0,DL26,Calais Campbell,DL,BAL,58,5.37,0.114,54,61.4,-15.7,-12.2,-19,196,180,214,33,4,NA,NA,4.32,NA,999
0,DL27,Maxx Crosby,DL,LVR,57.9,14.7,0.459,47.1,67.3,-15.8,-19.2,-13.1,197,215,181,34,4,NA,NA,8.3,NA,999
0,DL28,Emmanuel Ogbah,DL,MIA,57.4,0.141,0.709,57.3,57.5,-16.3,-8.92,-22.9,198,167,239,35,4,NA,NA,2.09,NA,999
0,DL29,Da'Ron Payne,DL,WAS,56.7,12.5,1.5,48.7,65.9,-17,-17.5,-14.5,204,209,190,36,5,NA,NA,7.36,NA,999
0,DL30,Carlos Dunlap,DL,SEA,55.2,9.62,1.35,48.1,61.4,-18.5,-18.1,-19,209,211,216,37,5,NA,NA,6.13,NA,999
0,DL31,Denico Autry,DL,TEN,53.9,2.83,0.651,52,55.9,-19.8,-14.2,-24.5,219,190,249,38,5,NA,NA,3.24,NA,999
0,DL32,Arik Armstead,DL,SF,53.2,5.8,0.192,48.9,56.9,-20.5,-17.3,-23.5,225,206,241,39,5,NA,NA,4.5,Q,999
0,DL33,Kerry Hyder,DL,SEA,53,0.778,1.32,52.5,53.6,-20.7,-13.7,-26.8,228,188,265,40,5,NA,NA,2.36,NA,999
0,DL34,Akiem Hicks,DL,CHI,51.7,18,0.124,38.4,63.2,-22,-27.8,-17.2,238,280,203,41,5,NA,NA,9.71,NA,999
0,DL35,Trey Hendrickson,DL,CIN,51.6,1.63,0.0653,50.5,52.8,-22.1,-15.7,-27.6,239,198,270,42,5,NA,NA,2.72,Q,999
0,DL36,Melvin Ingram,DL,PIT,51.5,NA,0.6,NA,NA,-22.2,NA,NA,240,NA,NA,43,5,NA,NA,NA,NA,999
0,DL37,Dante Fowler,DL,ATL,50.9,6.72,0.166,46.6,55.8,-22.8,-19.6,-24.6,246,218,251,44,5,NA,NA,4.89,NA,999
0,DL38,Derek Barnett,DL,PHI,50.7,7.99,0.495,45.6,56.6,-23,-20.6,-23.8,247,221,244,45,5,NA,NA,5.43,NA,999
0,DL39,Fletcher Cox,DL,PHI,50.2,6.51,0.327,45.5,54.4,-23.5,-20.8,-26,250,223,261,46,5,NA,NA,4.8,NA,999
0,DL40,Lawrence Guy,DL,NE,49.9,15.1,0.877,40.2,61,-23.8,-26,-19.4,252,264,219,47,6,NA,NA,8.48,NA,999
0,DL41,Grady Jarrett,DL,ATL,49,8.34,0.235,42.9,54.4,-24.7,-23.3,-26,262,241,262,48,6,NA,NA,5.59,NA,999
0,DL42,Randy Gregory,DL,DAL,48.8,9.62,1.97,42.6,55.9,-24.9,-23.6,-24.5,264,244,250,49,6,NA,NA,6.13,Q,999
0,DL43,Carl Lawson,DL,NYJ,46.8,8.13,0.746,41.6,52.8,-26.9,-24.6,-27.6,279,252,269,50,6,NA,NA,5.49,O,999
0,DL44,Dexter Lawrence,DL,NYG,46.1,8.27,0.295,40,51.4,-27.6,-26.2,-29,282,267,277,51,6,NA,NA,5.56,NA,999
0,DL45,Christian Wilkins,DL,MIA,45.8,2.62,0.0648,43.9,47.5,-27.9,-22.4,-32.9,285,232,306,52,6,NA,NA,3.15,NA,999
0,DL46,Ed Oliver,DL,BUF,45.7,2.72,0.00881,43.7,47.5,-28,-22.5,-32.9,286,234,307,53,6,NA,NA,3.19,NA,999
0,DL47,Dee Ford,DL,SF,45.7,1.2,0.627,44.8,46.5,-28,-21.4,-33.9,288,227,320,54,6,NA,NA,2.54,NA,999
0,DL48,Mario Addison,DL,BUF,45.1,7,0.014,40.6,50.2,-28.6,-25.6,-30.2,293,261,286,55,6,NA,NA,5.01,NA,999
0,DL49,Ndamukong Suh,DL,TB,45.1,9.05,0.271,38.4,50.9,-28.6,-27.8,-29.5,294,281,282,56,6,NA,NA,5.89,NA,999
0,DL50,Greg Gaines,DL,LAR,44.8,NA,0.181,NA,NA,-28.9,NA,NA,295,NA,NA,57,6,NA,NA,NA,NA,999
0,DL51,Josh Sweat,DL,PHI,44.6,5.16,0.0188,40.8,47.9,-29.1,-25.4,-32.5,297,258,299,58,6,NA,NA,4.23,NA,999
0,DL52,Tim Settle,DL,WAS,44.6,NA,0.203,NA,NA,-29.1,NA,NA,299,NA,NA,59,6,NA,NA,NA,NA,999
0,DL53,Marcus Davenport,DL,NO,44.4,4.74,0.834,40.9,47.4,-29.3,-25.3,-33,301,257,308,60,6,NA,NA,4.05,NA,999
0,DL54,Jeffery Simmons,DL,TEN,43.6,6.01,0.749,39.1,47.4,-30.1,-27.1,-33,309,274,309,61,7,NA,NA,4.59,NA,999
0,DL55,Sheldon Richardson,DL,MIN,42.8,4.1,0.914,39.8,45.4,-30.9,-26.4,-34.9,314,269,327,62,7,NA,NA,3.78,NA,999
0,DL56,Grover Stewart,DL,IND,41.9,NA,0.113,NA,NA,-31.8,NA,NA,323,NA,NA,63,7,NA,NA,NA,NA,999
0,DL57,Kemoko Turay,DL,IND,41.9,NA,0,NA,NA,-31.8,NA,NA,323,NA,NA,63,7,NA,NA,NA,NA,999
