Rk,Player,Age,Team,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving 1D,Receiving YBC,Receiving YBC/R,Receiving YAC,Receiving YAC/R,Receiving ADOT,Receiving BrkTkl,Receiving Rec/Br,Receiving Drop,Receiving Drop%,Receiving Int,Receiving Rat,Awards,-additional -9999
30,Tee Higgins,25,CIN,WR,12,9,109,73,911,48,683,9.4,228,3.1,9.8,7,10.4,3,2.8,1,119.5,,HiggTe00
31,Josh Downs,23,IND,WR,14,8,107,72,803,40,407,5.7,396,5.5,6.9,3,24.0,5,4.7,3,93.3,,DownJo00
32,Keenan Allen,32,CHI,WR,15,15,121,70,744,43,504,7.2,240,3.4,9.0,1,70.0,6,5.0,0,95.2,,AlleKe00
33,Michael Pittman Jr.,27,IND,WR,16,14,111,69,808,35,549,8.0,259,3.8,11.0,3,23.0,1,0.9,4,78.2,,PittMi01
34,Nico Collins,25,HOU,WR,12,12,99,68,1006,48,641,9.4,365,5.4,10.7,2,34.0,3,3.0,5,104.2,PB,CollNi00
35,Alvin Kamara,29,NOR,RB,14,14,89,68,543,18,1,0.0,542,8.0,0.9,2,34.0,8,9.0,1,94.0,,KamaAl00
36,DeVonta Smith,26,PHI,WR,13,13,89,68,833,42,534,7.9,299,4.4,9.1,0,,2,2.2,3,120.7,,SmitDe07
37,A.J. Brown,27,PHI,WR,13,13,97,67,1079,51,726,10.8,353,5.3,12.1,9,7.4,0,0.0,2,121.5,AP-2,BrowAJ00
38,Cooper Kupp,31,LAR,WR,12,11,100,67,710,28,441,6.6,269,4.0,7.5,2,33.5,2,2.0,0,107.5,,KuppCo00
39,Demario Douglas,24,NWE,WR,17,7,87,66,621,31,262,4.0,359,5.4,5.9,2,33.0,7,8.0,2,97.0,,DougDe00
40,Zach Ertz,34,WAS,TE,17,17,91,66,654,38,467,7.1,187,2.8,7.4,0,,4,4.4,2,109.0,AP CPoY-17,ErtzZa00
41,Hunter Henry,30,NWE,TE,16,16,97,66,674,40,406,6.2,268,4.1,7.0,2,33.0,2,2.1,1,90.3,,HenrHu00
42,D.K. Metcalf,27,SEA,WR,15,12,108,66,992,35,729,11.0,263,4.0,13.1,3,22.0,4,3.7,2,99.0,,MetcDK00
43,Pat Freiermuth,26,PIT,TE,17,11,78,65,653,32,374,5.8,279,4.3,6.1,4,16.3,4,5.1,1,126.1,,FreiPa00
44,Mike Gesicki,29,CIN,TE,17,3,83,65,665,38,420,6.5,245,3.8,7.4,0,,5,6.0,0,108.1,,GesiMi00
45,Darnell Mooney,27,ATL,WR,16,16,106,64,992,48,717,11.2,275,4.3,12.2,6,10.7,6,5.7,2,99.3,,MoonDa00
46,David Njoku,28,CLE,TE,11,11,97,64,505,23,254,4.0,251,3.9,5.2,4,16.0,7,7.2,3,83.1,,NjokDa00
47,Calvin Ridley,30,TEN,WR,17,14,120,64,1017,40,786,12.3,231,3.6,15.3,4,16.0,6,5.0,4,79.1,,RidlCa00
48,Jordan Addison,22,MIN,WR,15,15,99,63,875,39,662,10.5,213,3.4,13.0,3,21.0,2,2.0,2,113.8,,AddiJo00
49,Marvin Harrison Jr.,22,ARI,WR,17,16,116,62,885,43,737,11.9,148,2.4,13.4,0,,5,4.3,4,87.0,,HarrMa09
50,Ray-Ray McCloud,28,ATL,WR,17,13,87,62,686,29,351,5.7,335,5.4,6.8,1,62.0,3,3.4,3,83.8,,McClRa00
51,Elijah Moore,24,CLE,WR,17,13,102,61,538,25,405,6.6,133,2.2,9.3,1,61.0,5,4.9,8,44.5,,MoorEl00
52,Bijan Robinson,22,ATL,RB,17,17,72,61,431,20,-100,-1.6,531,8.7,-0.5,5,12.2,3,4.2,0,96.2,PB,RobiBi01
53,Sam LaPorta,23,DET,TE,16,16,83,60,726,39,383,6.4,343,5.7,7.0,3,20.0,1,1.2,2,116.8,,LaPoSa01
54,Jake Ferguson,25,DAL,TE,14,14,86,59,494,18,185,3.1,309,5.2,4.1,6,9.8,3,3.5,0,83.2,,FergJa00
55,Cade Otton,25,TAM,TE,14,14,87,59,600,31,289,4.9,311,5.3,5.5,6,9.8,8,9.2,3,88.3,,OttoCa00
56,George Pickens,23,PIT,WR,14,12,103,59,900,37,685,11.6,215,3.6,13.3,4,14.8,6,5.8,2,87.8,,PickGe00
57,Xavier Worthy,21,KAN,WR,17,13,98,59,638,36,231,3.9,407,6.9,9.2,0,,7,7.1,2,91.3,,WortXa00
58,Jaylen Waddle,26,MIA,WR,15,15,83,58,744,38,508,8.8,236,4.1,10.0,0,,8,9.6,3,90.6,,WaddJa00
59,Jameson Williams,23,DET,WR,15,11,91,58,1001,41,504,8.7,497,8.6,11.2,2,29.0,3,3.3,3,112.9,AP CPoY-19,WillJa11
60,Breece Hall,23,NYJ,RB,16,16,76,57,483,15,-13,-0.2,496,8.7,0.2,6,9.5,9,11.8,0,104.2,,HallBr03
62,Mark Andrews,29,BAL,TE,17,13,69,55,673,39,485,8.8,188,3.4,10.5,1,55.0,4,5.8,1,140.9,AP CPoY-19,AndrMa00
63,Quentin Johnston,23,LAC,WR,15,11,91,55,711,32,405,7.4,306,5.6,10.8,8,6.9,7,7.7,1,109.7,,JohnQu02
64,Jayden Reed,24,GNB,WR,17,10,75,55,857,29,477,8.7,380,6.9,9.1,3,18.3,9,12.0,0,137.5,,ReedJa03
65,Chase Brown,24,CIN,RB,16,10,65,54,360,23,34,0.6,326,6.0,0.8,2,27.0,2,3.1,0,110.3,,BrowCh10
66,Rome Odunze,22,CHI,WR,17,12,101,54,734,37,481,8.9,253,4.7,13.9,4,13.5,6,5.9,1,82.7,,OdunRo00
67,Dalton Schultz,28,HOU,TE,17,13,85,53,532,26,318,6.0,214,4.0,8.1,0,,4,4.7,1,83.1,,SchuDa00
68,Jahmyr Gibbs,22,DET,RB,17,4,63,52,517,25,-76,-1.5,593,11.4,-0.2,4,13.0,2,3.2,1,115.4,PBAP OPoY-8,GibbJa01
69,Chigoziem Okonkwo,25,TEN,TE,17,11,70,52,479,19,230,4.4,249,4.8,5.9,5,10.4,3,4.3,4,78.2,,OkonCh00
70,Javonte Williams,24,DEN,RB,17,11,70,52,346,14,-49,-0.9,395,7.6,-0.3,4,13.0,7,10.0,0,84.6,,WillJa10
71,Tyler Conklin,29,NYJ,TE,16,15,72,51,449,24,187,3.7,262,5.1,4.9,0,,1,1.4,0,105.6,,ConkTy00
72,Tank Dell,25,HOU,WR,14,10,81,51,667,35,503,9.9,164,3.2,12.5,3,17.0,6,7.4,3,85.8,,DellNa00
73,Aaron Jones,30,MIN,RB,17,17,62,51,408,20,-3,-0.1,411,8.1,0.9,1,51.0,2,3.2,1,98.1,,JoneAa00
74,Deebo Samuel,28,SFO,WR,15,15,81,51,670,28,249,4.9,421,8.3,6.6,8,6.4,6,7.4,1,96.2,,SamuDe00
75,Rachaad White,25,TAM,RB,16,15,57,51,393,18,-123,-2.4,516,10.1,-1.9,3,17.0,0,0.0,0,130.5,,WhitRa01
76,Will Dissly,28,LAC,TE,15,8,64,50,481,24,178,3.6,303,6.1,4.6,4,12.5,4,6.3,0,108.4,,DissWi00
77,Chris Godwin,28,TAM,WR,7,7,62,50,576,33,226,4.5,350,7.0,5.7,4,12.5,2,3.2,1,125.5,,GodwCh00
78,Juwan Johnson,28,NOR,TE,17,5,66,50,548,27,336,6.7,212,4.2,8.2,3,16.7,3,4.5,1,108.6,,JohnJu02
79,Tucker Kraft,24,GNB,TE,17,17,70,50,707,30,251,5.0,456,9.1,5.3,9,5.6,5,7.1,1,131.1,,KrafTu00
80,Xavier Legette,23,CAR,WR,16,13,84,49,497,27,385,7.9,112,2.3,12.3,2,24.5,7,8.3,1,86.3,,LegeXa00
81,Tyler Lockett,32,SEA,WR,17,14,74,49,600,36,466,9.5,134,2.7,10.7,1,49.0,4,5.4,4,77.5,,LockTy00
82,Jalen Tolbert,25,DAL,WR,17,15,79,49,610,29,444,9.1,166,3.4,11.5,0,,3,3.8,2,104.9,,TolbJa00
83,Noah Fant,27,SEA,TE,14,9,64,48,500,25,223,4.6,277,5.8,5.4,2,24.0,1,1.6,3,82.8,,FantNo00
84,Adam Thielen,34,CAR,WR,10,10,62,48,615,28,463,9.6,152,3.2,11.0,1,48.0,2,3.2,4,107.9,,ThieAd00
85,James Conner,29,ARI,RB,16,16,55,47,414,17,-69,-1.5,483,10.3,-1.6,12,3.9,2,3.6,2,88.9,,ConnJa00
86,Stefon Diggs,31,HOU,WR,8,8,64,47,496,31,311,6.6,185,3.9,8.7,3,15.7,3,4.7,1,104.7,,DiggSt00
87,Evan Engram,30,JAX,TE,9,9,64,47,365,17,215,4.6,150,3.2,5.4,0,,4,6.3,0,92.3,,EngrEv00
88,Bucky Irving,22,TAM,RB,17,3,52,47,392,16,-136,-2.9,528,11.2,-2.7,6,7.8,1,1.9,0,98.1,AP ORoY-6,IrviBu00
89,Cole Kmet,25,CHI,TE,17,16,55,47,474,25,293,6.2,181,3.9,7.1,1,47.0,1,1.8,1,119.2,,KmetCo00
90,Kyle Pitts,24,ATL,TE,17,15,74,47,602,21,330,7.0,272,5.8,8.6,4,11.8,4,5.4,4,84.4,,PittKy00
91,Tre Tucker,23,LVR,WR,17,14,81,47,539,24,331,7.0,208,4.4,12.7,3,15.7,2,2.5,1,85.4,,TuckTr00
92,Michael Wilson,24,ARI,WR,16,13,71,47,548,27,418,8.9,130,2.8,11.4,1,47.0,3,4.2,3,90.6,,WilsMi02
93,Romeo Doubs,24,GNB,WR,13,12,72,46,601,33,466,10.1,135,2.9,12.3,4,11.5,7,9.7,2,97.0,,DoubRo00
94,Kenneth Walker III,24,SEA,RB,11,11,53,46,299,19,-64,-1.4,363,7.9,-1.2,5,9.2,2,3.8,1,88.6,,WalkKe00
95,Rashod Bateman,25,BAL,WR,17,14,72,45,756,35,572,12.7,184,4.1,13.6,0,,4,5.6,2,125.9,,BateRa00
96,Austin Hooper,30,NWE,TE,17,8,59,45,476,25,251,5.6,225,5.0,5.8,3,15.0,1,1.7,2,102.1,,HoopAu00
97,Olamide Zaccheaus,27,WAS,WR,17,6,64,45,506,26,222,4.9,284,6.3,6.3,7,6.4,5,7.8,0,109.2,,ZaccOl01
98,Dalton Kincaid,25,BUF,TE,13,9,75,44,448,23,174,4.0,274,6.2,7.5,4,11.0,6,8.0,0,84.7,,KincDa00
