"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Devon Witherspoon","DB","SEA",11,105,18,0.938,87.5,134,-4.66,-7.33,-10.1,182,182,200,25,"2",25,NA,NA,41,3
"Trevor Lawrence","QB","JAC",7,429,17.6,3.4,406,464,-4.85,-1.53,-3.74,183,161,169,12,"4",26,90.8,11.5,27,5
"Jordan Addison","WR","MIN",6,170,7.86,2.05,142,207,-5.3,-13.1,9.88,184,215,131,54,"9",24,114,5.59,15,3
"Paulson Adebo","DB","NYG",8,104,25.1,0.209,82.5,137,-5.59,-12.3,-7.43,185,211,187,26,"2",27,NA,7.42,53,5
"Jeremy Chinn","DB","LVR",13,104,16.6,0.0156,80.4,150,-5.8,-14.4,5.51,186,224,139,27,"2",28,NA,10.2,29,6
"Derwin James","DB","LAC",7,104,13.1,1.17,83,146,-5.82,-11.8,2.02,187,207,145,28,"2",30,NA,9.62,21,8
"Rachaad White","RB","WAS",7,227,21.5,3.05,192,244,-6.08,-2.9,-8.07,188,168,192,41,"15",27,122,8.1,56,4
"Alontae Taylor","DB","TEN",9,103,19.9,0.15,88.9,120,-6.99,-5.86,-24.1,189,179,271,29,"2",27,NA,NA,55,4
"Jordan Battle","DB","CIN",6,103,0.445,0.656,87.2,143,-7.14,-7.62,-1.19,190,187,158,30,"2",25,NA,3.36,3,3
"Khalil Shakir","WR","BUF",7,168,5.93,4.9,156,173,-7.35,1.14,-23.6,191,147,267,55,"9",26,139,3.72,11,4
"Jalon Walker","DL","ATL",11,71,NA,0.862,71,71,-7.56,2.49,-28,192,142,297,17,"3",22,NA,NA,NA,1
"Evan Engram","TE","DEN",10,107,21,4.3,92.8,123,-7.72,0,-11.5,193,154,210,31,"11",31,168,0.95,71,9
"Nick Scott","DB","CAR",5,102,25,0.312,78.7,139,-7.79,-16.1,-5.34,194,236,176,31,"2",31,NA,5.57,98,7
"Alex Singleton","LB","DEN",10,122,24.4,6.11,89.1,184,-7.82,-12.9,-3.74,195,214,170,14,"2",32,NA,22.6,39,11
"Marcus Jones","DB","NE",11,102,13.6,0.175,93.6,110,-8.11,-1.23,-34,196,159,337,32,"2",27,NA,5.54,92,4
"Patrick Mahomes","QB","KC",5,426,27.9,1.99,406,461,-8.25,-1.52,-6.85,197,160,184,13,"4",30,79,12.4,58,9
"Quentin Lake","DB","LAR",11,102,29.9,0.275,77.3,136,-8.28,-17.5,-8.33,198,247,193,33,"2",27,NA,8.74,67,4
"Laiatu Latu","DL","IND",13,70.1,14.6,0.466,56.7,80.8,-8.42,-11.8,-18.3,199,209,241,18,"3",25,NA,NA,48,2
"Minkah Fitzpatrick","DB","NYJ",13,101,0.815,0.462,90,130,-8.56,-4.79,-14,200,174,224,34,"2",29,NA,6.46,17,8
"Josh Allen","DL","JAC",7,69.7,5.19,0.6,60.4,88.9,-8.89,-8.16,-10.2,201,188,202,19,"3",29,NA,6.65,15,7
"Josh Allen","DL","JAC",7,69.7,5.19,0.6,60.4,88.9,-8.89,-8.16,-10.2,201,188,202,19,"3",29,NA,6.65,34,7
"Cole Bishop","DB","BUF",7,101,15.8,0.737,80.9,138,-9.02,-13.9,-6.58,202,220,183,35,"2",23,NA,NA,38,2
"Jordan Mason","RB","MIN",6,224,36.6,9.83,194,252,-9.12,-0.43,0,203,156,154,42,"16",27,122,6.84,78,4
"Jonathan Greenard","DL","PHI",10,69.1,10.9,0.541,56.9,90,-9.49,-11.6,-8.99,204,206,198,20,"3",29,NA,NA,46,6
"Jonathan Greenard","DL","PHI",10,69.1,10.9,0.541,56.9,90,-9.49,-11.6,-8.99,204,206,198,20,"3",29,NA,NA,77,6
"Christian Gonzalez","DB","NE",11,100,12.2,0.05,84.8,128,-9.76,-10,-15.7,205,198,229,36,"2",24,NA,NA,32,3
"Riley Moss","DB","DEN",10,100,6.47,0.784,96.2,104,-9.81,1.39,-40.1,206,146,360,37,"2",26,NA,NA,18,3
"Trey Hendrickson","DL","BAL",13,68.5,11.7,1.26,59.2,81.6,-10,-9.35,-17.5,207,195,236,21,"3",31,NA,8.23,54,9
"Trey Hendrickson","DL","BAL",13,68.5,11.7,1.26,59.2,81.6,-10,-9.35,-17.5,207,195,236,21,"3",31,NA,8.23,64,9
"Brock Purdy","QB","SF",8,424,8.87,5.16,408,446,-10.2,0,-22.1,208,154,263,14,"4",26,92,7.62,24,4
"Justin Reid","DB","NO",8,99.3,25.3,0.209,76.9,133,-10.6,-17.9,-11.1,209,250,206,38,"2",29,NA,NA,74,8
"Justin Reid","DB","NO",8,99.3,25.3,0.209,76.9,133,-10.6,-17.9,-11.1,209,250,206,38,"2",29,NA,NA,61,8
"Amani Hooker","DB","TEN",9,99.1,48,0.0563,64.4,130,-10.8,-30.4,-13.7,210,366,222,39,"2",28,NA,NA,97,7
"Kamren Kinchens","DB","LAR",11,99.1,18.6,0.438,87.8,110,-10.9,-7.04,-33.7,211,181,333,40,"2",23,NA,12.3,85,2
"Nik Bonitto","DL","DEN",10,67.3,9.23,0.116,59.4,78.8,-11.3,-9.12,-20.2,212,192,251,22,"3",26,NA,11,42,4
"Nik Bonitto","DL","DEN",10,67.3,9.23,0.116,59.4,78.8,-11.3,-9.12,-20.2,212,192,251,22,"3",26,NA,11,65,4
"Josh Metellus","DB","MIN",6,98.6,36.7,0.344,69,140,-11.3,-25.8,-4.03,213,331,171,41,"2",28,NA,NA,77,6
"DeForest Buckner","DL","IND",13,67.2,11.7,0.213,50.2,100,-11.4,-18.4,0.969,214,257,149,23,"3",32,NA,13.5,58,10
"Carl Granderson","DL","NO",8,66.9,7.38,0.241,57.3,84.9,-11.6,-11.2,-14.1,215,203,225,24,"3",29,NA,NA,31,7
"Carl Granderson","DL","NO",8,66.9,7.38,0.241,57.3,84.9,-11.6,-11.2,-14.1,215,203,225,24,"3",29,NA,NA,69,7
"Brandon Jones","DB","DEN",10,98.3,18.7,0.075,79.9,128,-11.6,-14.9,-16.2,216,226,230,42,"2",28,NA,NA,48,6
"Jalen Pitre","DB","HOU",8,98.2,44.4,0.619,69.1,131,-11.7,-25.7,-13.2,217,329,220,43,"2",27,NA,11.4,82,4
"Derrick Brown","DL","CAR",5,66.7,8.9,0.484,51.1,98.6,-11.9,-17.4,-0.4,218,245,156,25,"3",28,NA,14.4,43,6
"Colby Parkinson","TE","LAR",11,103,27,7.8,68.1,145,-12,-24.6,10.6,219,316,128,32,"11",27,198,2.02,87,6
"Romeo Doubs","WR","NE",11,163,6.23,1.7,137,189,-12.2,-18.1,-8.06,220,253,191,56,"10",26,144,4.08,12,4
"Myles Murphy","DL","CIN",6,66.2,18.7,0.953,54.8,77.6,-12.3,-13.7,-21.4,222,218,258,26,"3",24,NA,6.34,74,3
"Malik Mustapha","DB","SF",8,97.6,12.8,0.259,76.7,139,-12.3,-18.1,-4.71,221,254,174,44,"2",24,NA,NA,44,2
"DaRon Bland","DB","DAL",14,97.3,14.1,1.1,78,134,-12.6,-16.8,-10.1,223,241,201,45,"2",27,NA,3.41,26,4
"Cameron Heyward","DL","PIT",9,65.3,10.2,1,51.8,90.3,-13.3,-16.7,-8.69,224,238,197,27,"4",37,NA,4.44,51,15
"Kool-Aid McKinstry","DB","NO",8,96.2,8.93,0.422,85.9,115,-13.7,-8.94,-29.6,225,190,311,46,"2",23,NA,6.43,83,2
"Daiyan Henley","LB","LAC",7,116,39.3,0.381,82.7,164,-13.9,-19.4,-23.4,226,267,266,15,"2",26,NA,12.5,68,3
"Matthew Golden","WR","GB",11,161,26.1,1.74,143,191,-14,-11.4,-5.85,227,205,180,57,"10",23,122,1.8,76,1
"Keisean Nixon","DB","GB",11,95.8,20.9,0.0594,80.6,115,-14.1,-14.2,-29,228,223,305,47,"2",29,NA,5.74,52,7
"Jalen Thompson","DB","DAL",14,95.8,22.8,1.5,71.7,136,-14.2,-23.1,-7.87,229,300,189,48,"3",28,NA,3.6,59,7
"Montez Sweat","DL","CHI",10,64.3,27.5,0.291,43.7,82.5,-14.3,-24.8,-16.6,230,320,233,28,"4",29,NA,7.2,76,7
"Patrick Queen","LB","PIT",9,116,26.1,0.469,89.4,158,-14.3,-12.7,-29.4,231,212,309,16,"2",26,NA,21.5,59,6
"Demarcus Lawrence","DL","SEA",11,64,3.89,0.247,53.9,86.5,-14.6,-14.7,-12.5,232,225,213,29,"4",34,NA,3.91,32,12
"Demarcus Lawrence","DL","SEA",11,64,3.89,0.247,53.9,86.5,-14.6,-14.7,-12.5,232,225,213,29,"4",34,NA,3.91,59,12
"Travon Walker","DL","JAC",7,63.7,5.19,0.409,52.5,87.9,-14.8,-16,-11.1,234,235,207,30,"4",25,NA,9.7,19,4
"Travon Walker","DL","JAC",7,63.7,5.19,0.409,52.5,87.9,-14.8,-16,-11.1,234,235,207,30,"4",25,NA,9.7,52,4
"Zack Baun","LB","PHI",10,115,19.5,0.281,88.4,165,-14.8,-13.7,-22.2,233,217,264,17,"2",29,NA,23.6,27,6
"Nate Landman","LB","LAR",11,115,6.67,0.0219,90.7,171,-15.1,-11.4,-16.7,235,204,234,18,"2",27,NA,13.4,12,4
"Edgerrin Cooper","LB","GB",11,115,54,0.622,77.5,159,-15.1,-24.6,-28.3,236,314,300,19,"2",24,NA,NA,83,2
"Dallas Turner","DL","MIN",6,63.3,3.82,0.459,50,94.2,-15.2,-18.5,-4.81,237,260,175,31,"4",23,NA,NA,21,2
"Dallas Turner","DL","MIN",6,63.3,3.82,0.459,50,94.2,-15.2,-18.5,-4.81,237,260,175,31,"4",23,NA,NA,35,2
"Jared Goff","QB","DET",6,418,33.3,13.1,383,455,-15.4,-24.6,-13.2,238,315,219,15,"5",31,108,6.56,94,10
"Matthew Stafford","QB","LAR",11,418,21.9,0,399,461,-15.4,-9.19,-7.14,238,193,185,15,"5",38,97.2,10.7,88,17
"Matthew Stafford","QB","LAR",11,418,21.9,0,399,461,-15.4,-9.19,-7.14,238,193,185,15,"5",38,97.2,10.7,88,17
"Makai Lemon","WR","PHI",10,160,7.71,12.1,147,190,-15.7,-7.38,-7.23,240,183,186,58,"10",22,108,21.2,50,0
"YaYa Diaby","DL","TB",10,62.9,2.22,0.375,55.6,79.4,-15.7,-12.9,-19.6,242,213,247,32,"4",27,NA,NA,39,3
"YaYa Diaby","DL","TB",10,62.9,2.22,0.375,55.6,79.4,-15.7,-12.9,-19.6,242,213,247,32,"4",27,NA,NA,68,3
"Tyrel Dodson","LB","MIA",6,114,21.6,1.04,84.6,170,-15.7,-17.5,-17.7,241,246,237,20,"2",28,NA,9.29,53,7
"Bryan Cook","DB","CIN",6,94.3,9.79,0.578,77.7,128,-15.7,-17.1,-16.2,239,244,232,49,"3",26,NA,NA,36,4
"Gregory Rousseau","DL","BUF",7,62.5,9.45,0.172,50,85.7,-16.1,-18.5,-13.3,243,259,221,33,"4",26,NA,8.3,29,5
"Gregory Rousseau","DL","BUF",7,62.5,9.45,0.172,50,85.7,-16.1,-18.5,-13.3,243,259,221,33,"4",26,NA,8.3,66,5
"Harold Landry","DL","NE",11,62.3,29.7,0.938,41.9,81.2,-16.2,-26.6,-17.8,245,341,238,34,"4",30,NA,NA,96,8
"Harold Landry","DL","NE",11,62.3,29.7,0.938,41.9,81.2,-16.2,-26.6,-17.8,245,341,238,34,"4",30,NA,NA,95,8
"Nate Wiggins","DB","BAL",13,93.7,5.37,0.131,90.4,96.9,-16.2,-4.38,-47.2,244,173,381,50,"3",22,NA,NA,27,2
"Eric Murray","DB","JAC",7,93.5,21.7,0.569,75.7,119,-16.4,-19.1,-25.1,246,264,276,51,"3",32,NA,NA,91,10
"Barrett Carter","LB","CIN",6,113,3.22,0.0656,88.3,175,-16.7,-13.8,-13.1,247,219,218,21,"2",23,NA,NA,11,1
"Devin Bush","LB","CHI",10,113,23.6,1.42,83.1,168,-16.8,-19,-19.7,248,262,249,22,"2",28,NA,15.7,44,7
"Ronnie Hickman","DB","CLE",11,93,4.74,0.237,75.6,134,-16.9,-19.2,-10.5,249,265,203,52,"3",24,NA,NA,86,3
"Teair Tart","DL","LAC",7,61.4,17,1.15,51,71.7,-17.2,-17.5,-27.3,251,248,291,35,"4",29,NA,NA,82,6
"Brian Branch","DB","DET",6,92.7,25.6,0.306,76.9,109,-17.2,-17.9,-35.2,250,251,343,53,"3",24,NA,NA,76,3
"Evan Williams","DB","GB",11,92.4,13.8,0.828,72.4,131,-17.5,-22.4,-13.1,252,291,215,54,"3",25,NA,NA,35,2
"Zaire Franklin","LB","GB",11,112,25,1.25,86.9,152,-18.2,-15.2,-36.1,253,228,346,23,"2",30,NA,20.4,36,8
"Leonard Williams","DL","SEA",11,60.2,29.5,0.103,40.9,81.7,-18.3,-27.6,-17.3,255,345,235,36,"4",32,NA,4.03,84,11
"Zyon McCollum","DB","TB",10,91.6,21.1,0.903,71.7,123,-18.3,-23.1,-21.1,254,299,256,55,"3",27,NA,NA,62,4
"Jonah Laulu","DL","LVR",13,60.1,22.6,0.628,46.4,73.9,-18.4,-22.1,-25.2,256,289,277,37,"4",26,NA,6.74,94,2
"Mike Washington Jr.","RB","LVR",13,214,21.2,10.7,195,231,-19,0.21,-21.7,257,153,260,43,"16",23,168,2.74,86,0
"Jordan Davis","DL","PHI",10,59.5,7.41,0.388,45.2,89.5,-19.1,-23.3,-9.56,258,304,199,38,"4",26,NA,10.1,36,4
"Craig Woodson","DB","NE",11,90.7,20.1,1.62,70.6,123,-19.2,-24.2,-20.6,259,312,253,56,"3",25,NA,NA,70,1
"Jalen Redmond","DL","MIN",6,59.1,7.78,0.0156,44.5,89.5,-19.5,-24,-9.56,260,309,199,39,"4",27,NA,7.85,25,4
"David Bailey","DL","NYJ",13,59.1,0.927,0.0156,51.8,77.1,-19.5,-16.7,-21.9,261,238,262,40,"4",22,NA,NA,78,0
"David Bailey","DL","NYJ",13,59.1,0.927,0.0156,51.8,77.1,-19.5,-16.7,-21.9,261,238,262,40,"4",22,NA,NA,63,0
"George Karlaftis","DL","KC",5,59.1,2.41,0.328,49,82.8,-19.5,-19.5,-16.2,263,268,231,41,"4",25,NA,7.46,7,4
"Devin Lloyd","LB","CAR",5,110,28.9,0.528,86.8,144,-19.5,-15.3,-44,262,231,371,24,"2",27,NA,12.2,55,4
"Patrick Jones","DL","CAR",5,58.8,14.1,0.153,50.2,67.3,-19.8,-18.3,-31.7,264,255,325,42,"4",27,NA,NA,60,5
"Jaelan Phillips","DL","CAR",5,58.6,0.704,0.109,52.3,74.3,-20,-16.2,-24.7,266,237,275,43,"4",27,NA,6.62,1,5
"Jaelan Phillips","DL","CAR",5,58.6,0.704,0.109,52.3,74.3,-20,-16.2,-24.7,266,237,275,43,"4",27,NA,6.62,38,5
"DeMarvion Overshown","LB","DAL",14,110,32.5,0.438,75.9,166,-20,-26.1,-21.2,267,336,257,25,"2",25,NA,NA,70,3
"Quinnen Williams","DL","DAL",14,58.5,21.9,0.0344,40.2,84.8,-20.1,-28.3,-14.3,269,351,226,44,"4",28,NA,NA,72,7
"James Pearce","DL","ATL",11,58.5,18.7,0.188,46.8,70.7,-20.1,-21.8,-28.4,270,284,301,45,"4",22,NA,NA,86,1
"James Pearce","DL","ATL",11,58.5,18.7,0.188,46.8,70.7,-20.1,-21.8,-28.4,270,284,301,45,"4",22,NA,NA,91,1
"Boye Mafe","DL","CIN",6,58.3,8.34,0.312,49.2,73.8,-20.3,-19.3,-25.3,272,266,279,46,"4",27,NA,3.55,71,4
"Boye Mafe","DL","CIN",6,58.3,8.34,0.312,49.2,73.8,-20.3,-19.3,-25.3,272,266,279,46,"4",27,NA,3.55,83,4
"Robert Spillane","LB","NE",11,109,46.6,0.697,69.5,168,-20.4,-32.6,-19.6,273,380,248,26,"2",30,NA,12.9,80,8
"Alex Wright","DL","CLE",11,58,23.4,0.203,41.7,73,-20.6,-26.9,-26,274,342,284,47,"4",25,NA,5.69,79,4
"Micah Parsons","DL","GB",11,57.8,15.4,0.375,41.9,69.6,-20.8,-26.6,-29.4,275,339,308,48,"4",27,NA,7.73,55,5
"Micah Parsons","DL","GB",11,57.8,15.4,0.375,41.9,69.6,-20.8,-26.6,-29.4,275,339,308,48,"4",27,NA,7.73,93,5
"Grant Delpit","DB","CLE",11,89.1,14.9,0.397,73,116,-20.8,-21.8,-27.7,276,286,295,57,"3",27,NA,7.61,39,6
"Demario Davis","LB","NYJ",13,109,58.6,0.156,63.4,170,-21.1,-38.6,-18.1,277,439,239,27,"2",37,NA,8.71,91,14
"Malcolm Roach","DL","DEN",10,57.4,34.5,0.237,36.4,78.3,-21.2,-32.1,-20.7,278,376,255,49,"4",28,NA,NA,99,6
"A.J. Terrell","DB","ATL",11,88.7,5,0.209,78.1,111,-21.2,-16.7,-32.7,279,240,329,58,"3",27,NA,4.32,88,6
"A.J. Terrell","DB","ATL",11,88.7,5,0.209,78.1,111,-21.2,-16.7,-32.7,279,240,329,58,"3",27,NA,4.32,88,6
"Sonny Styles","LB","WAS",7,109,6.12,0.125,86.9,159,-21.3,-15.2,-28.7,280,229,303,28,"2",21,NA,NA,15,0
"Donovan Ezeiruaku","DL","DAL",14,57.1,0.593,0.216,50,75,-21.4,-18.5,-24,282,258,270,50,"5",23,NA,NA,44,1
"Donovan Ezeiruaku","DL","DAL",14,57.1,0.593,0.216,50,75,-21.4,-18.5,-24,282,258,270,50,"5",23,NA,NA,61,1
"Nakobe Dean","LB","LVR",13,108,59.5,0.969,60.1,176,-21.4,-42,-11.4,281,466,209,29,"2",25,NA,7.73,88,4
"Trent McDuffie","DB","LAR",11,88.5,30.2,1.13,61.6,129,-21.4,-33.2,-15.2,283,383,228,59,"3",25,NA,NA,73,4
"Jermaine Johnson","DL","TEN",9,56.9,11.9,0.297,45.8,74.3,-21.6,-22.7,-24.7,284,293,273,51,"5",27,NA,5.98,40,4
"Chop Robinson","DL","MIA",6,56.6,12.8,0.453,45.2,73.8,-21.9,-23.3,-25.2,285,303,278,52,"5",23,NA,NA,62,2
"Chop Robinson","DL","MIA",6,56.6,12.8,0.453,45.2,73.8,-21.9,-23.3,-25.2,285,303,278,52,"5",23,NA,NA,80,2
"Jalen Carter","DL","PHI",10,56.2,1.67,0.109,46.4,80.1,-22.4,-22.2,-19,287,290,244,53,"5",25,NA,NA,14,3
"Kaden Elliss","LB","NO",8,107,41.3,0.394,75.9,149,-22.4,-26.2,-38.2,286,337,356,30,"3",31,NA,12.2,77,7
"Jayson Oweh","DL","WAS",7,56.1,4.45,0.0312,47,75.2,-22.5,-21.5,-23.9,288,281,268,54,"5",27,NA,3.29,45,5
"Jayson Oweh","DL","WAS",7,56.1,4.45,0.0312,47,75.2,-22.5,-21.5,-23.9,288,281,268,54,"5",27,NA,3.29,73,5
"Will McDonald","DL","NYJ",13,56,10.6,0.216,48.7,64.8,-22.5,-19.8,-34.2,289,270,338,55,"5",27,NA,1.61,99,3
"Isaiah Pola-Mao","DB","LVR",13,87.4,NA,0.475,87.4,87.4,-22.6,-7.45,-56.8,290,184,413,60,"3",27,NA,NA,80,4
"Bradley Chubb","DL","BUF",7,55.8,10.5,0.447,45.5,72.5,-22.7,-23.1,-26.5,291,298,286,56,"5",30,NA,9.55,33,8
"Bradley Chubb","DL","BUF",7,55.8,10.5,0.447,45.5,72.5,-22.7,-23.1,-26.5,291,298,286,56,"5",30,NA,9.55,75,8
"Terrel Bernard","LB","BUF",7,107,30.1,0.425,79.2,150,-22.8,-22.9,-37.4,292,296,352,31,"3",27,NA,8.28,56,4
"Andrew Mukuba","DB","PHI",10,86.9,27.6,0.0625,70.1,104,-23,-24.7,-40.5,293,318,362,61,"3",23,NA,NA,79,1
"Dadrion Taylor-Demerson","DB","ARI",14,86.8,52.7,1.36,54.8,119,-23.1,-40,-25.3,294,454,280,62,"3",25,NA,NA,95,2
"Jalyx Hunt","DL","PHI",10,55.4,6.15,0.338,48.4,67.6,-23.2,-20.1,-31.4,295,273,324,57,"5",25,NA,4.63,28,2
"Jalyx Hunt","DL","PHI",10,55.4,6.15,0.338,48.4,67.6,-23.2,-20.1,-31.4,295,273,324,57,"5",25,NA,4.63,87,2
"Azeez Al-Shaair","LB","HOU",8,107,55.3,4.32,65.7,159,-23.2,-36.4,-28.2,296,411,298,32,"3",29,NA,14.5,86,7
"Rueben Bain Jr.","DL","TB",10,55,20.8,0.0312,42.4,67.7,-23.5,-26.1,-31.3,297,335,323,58,"5",21,NA,NA,89,0
"Rueben Bain Jr.","DL","TB",10,55,20.8,0.0312,42.4,67.7,-23.5,-26.1,-31.3,297,335,323,58,"5",21,NA,NA,88,0
"Milton Williams","DL","NE",11,55,25.2,0.416,39.7,70.3,-23.6,-28.8,-28.7,298,354,304,59,"5",27,NA,NA,81,5
"Abdul Carter","DL","NYG",8,54.6,4.41,0.203,46.6,71.1,-24,-21.9,-27.9,299,288,296,60,"5",22,NA,NA,12,1
"Abdul Carter","DL","NYG",8,54.6,4.41,0.203,46.6,71.1,-24,-21.9,-27.9,299,288,296,60,"5",22,NA,NA,56,1
"Kobie Turner","DL","LAR",11,54.4,3.97,0.647,46.9,70,-24.2,-21.6,-29,300,283,306,61,"5",27,NA,NA,20,3
"Mike Sainristil","DB","WAS",7,85.4,1.56,0.128,84.5,86.4,-24.5,-10.3,-57.7,301,199,418,63,"3",25,NA,NA,6,2
"D.J. Reed","DB","DET",6,85.3,6.34,0.0719,71.9,114,-24.6,-22.9,-30,302,297,313,64,"3",29,NA,4.27,9,8
"Zach Sieler","DL","MIA",6,53.7,0.927,0.25,47.8,68.2,-24.8,-20.7,-30.8,304,277,319,62,"5",30,NA,7.32,17,8
"Austin Booker","DL","CHI",10,53.5,2.22,0.453,43.4,77.5,-25.1,-25.1,-21.5,306,326,259,63,"5",23,NA,NA,26,2
"Austin Booker","DL","CHI",10,53.5,2.22,0.453,43.4,77.5,-25.1,-25.1,-21.5,306,326,259,63,"5",23,NA,NA,41,2
"Khalil Mack","DL","LAC",7,53,1.11,0.0156,45.3,72,-25.5,-23.2,-27,310,301,289,64,"5",35,NA,1.75,16,12
"Khalil Mack","DL","LAC",7,53,1.11,0.0156,45.3,72,-25.5,-23.2,-27,310,301,289,64,"5",35,NA,1.75,49,12
"Demetrius Knight","LB","CIN",6,102,8.6,3.78,82.5,145,-27.5,-19.6,-42.2,317,269,366,33,"3",26,NA,NA,35,1
"Jalen Coker","WR","CAR",5,148,21.2,0.4,130,166,-27.8,-25.2,-30.8,318,327,321,59,"10",24,153,3.34,61,2
"KC Concepcion","WR","CLE",11,147,42.3,0.221,95,182,-28.2,-59.9,-14.6,320,706,227,60,"10",21,136,13.7,94,0
"Jerry Jeudy","WR","CLE",11,147,14.8,0.279,133,173,-28.4,-21.8,-23.9,323,285,269,61,"10",27,157,4.3,62,6
"Tyler Shough","QB","NO",8,405,20.5,0.35,374,431,-28.5,-34.2,-36.9,324,390,350,16,"5",26,123,3.98,64,1
"De'Zhaun Stribling","WR","SF",8,147,39.7,1.2,58.1,184,-28.7,-96.8,-13.1,325,1020,217,62,"10",23,170,9.17,97,0
"Baker Mayfield","QB","TB",10,405,33.7,5.78,371,438,-28.8,-36.4,-29.5,327,412,310,17,"5",31,110,6.84,67,8
"Woody Marks","RB","HOU",8,203,12.4,2.62,186,225,-29.7,-8.69,-27.3,337,189,290,44,"16",25,142,4.4,40,1
"Theo Wease","WR","MIA",6,145,NA,2.65,145,145,-29.9,-9.44,-51.7,338,196,395,63,"11",25,146,NA,98,1
"Quincy Williams","LB","CLE",11,98.5,31.1,1.5,68.9,146,-31.3,-33.2,-42.1,343,384,364,34,"3",29,NA,11.7,65,7
"Tyjae Spears","RB","TEN",9,200,15.3,10,175,214,-32.3,-19.9,-38.7,354,271,357,45,"17",25,150,3.55,48,3
"Calvin Ridley","WR","TEN",9,143,51.3,1.5,92.3,189,-32.6,-62.6,-8.34,355,744,194,64,"11",31,162,2.29,95,8
"Mack Wilson","LB","ARI",14,97,11.5,0.2,71.3,153,-32.8,-30.8,-34.8,359,367,341,35,"3",28,NA,5.71,24,7
"Drue Tranquill","LB","KC",5,96.8,0.556,0.656,79.3,142,-33,-22.8,-45.7,364,295,375,36,"3",30,NA,7.85,18,7
"Divine Deablo","LB","ATL",11,96.2,12.6,0.328,71.8,147,-33.7,-30.2,-40.4,367,364,361,37,"3",27,NA,6.96,32,5
"CJ Allen","LB","IND",13,95.9,9.64,3.83,80.6,126,-34,-21.4,-61.6,371,280,436,38,"3",21,NA,NA,21,0
"Kyler Murray","QB","MIN",6,399,7.26,15.3,360,432,-34.6,-48,-35.5,373,535,344,18,"6",29,116,7.15,61,7
"Eric Wilson","LB","MIN",6,92,18.7,0.344,72.1,126,-37.8,-30,-62,382,363,438,39,"3",31,NA,6.1,45,9
"T.J. Edwards","LB","CHI",10,91.7,23.8,0.612,54.7,165,-38.2,-47.4,-22.9,385,530,265,40,"3",29,NA,18.7,41,7
"Alex Anzalone","LB","TB",10,91.1,22.9,0.15,63.8,140,-38.8,-38.2,-48,390,434,385,41,"3",31,NA,NA,52,9
"Dee Winters","LB","DAL",14,90.9,29.2,0.487,66.9,125,-38.9,-35.1,-62.8,393,400,446,42,"3",25,NA,10.6,67,3
"Jihaad Campbell","LB","PHI",10,90.4,18.9,0.0125,62.5,145,-39.4,-39.6,-43,396,448,367,43,"3",26,NA,NA,74,1
"Jihaad Campbell","LB","PHI",10,90.4,18.9,0.0125,62.5,145,-39.4,-39.6,-43,396,448,367,43,"3",26,NA,NA,74,1
"SirVocea Dennis","LB","TB",10,90.4,24.6,3.61,75.5,105,-39.4,-26.6,-82.3,397,338,634,44,"4",26,NA,7.82,92,3
"Tyrone Tracy","RB","NYG",8,190,13.6,1.05,160,218,-42.3,-34.9,-33.9,415,398,334,46,"17",26,139,3.34,29,2
"Drake Thomas","LB","SEA",11,86.8,7.49,0.434,70.7,121,-43,-31.4,-66.2,420,370,462,45,"4",26,NA,11.4,33,3
"Zach Charbonnet","RB","SEA",11,189,24.6,0.5,164,222,-43.4,-31.1,-30.3,422,368,314,47,"17",25,132,7.06,79,3
"Cody Barton","LB","TEN",9,86.4,37.3,0.131,59,121,-43.5,-43.1,-66.2,423,482,463,46,"4",29,NA,2.86,98,7
"Josiah Trotter","LB","TB",10,86.2,NA,0.266,86.2,86.2,-43.6,-15.8,-101,425,234,786,47,"4",21,NA,NA,79,0
"Alvin Kamara","RB","NO",8,189,11.7,7,149,223,-43.9,-45.8,-29.8,427,509,312,48,"18",31,131,3.19,41,9
"Arvell Reese","LB","NYG",8,86,38.5,0.212,48.1,147,-43.9,-54,-40.6,426,626,363,48,"4",20,NA,NA,89,0
"Arvell Reese","LB","NYG",8,86,38.5,0.212,48.1,147,-43.9,-54,-40.6,426,626,363,48,"4",20,NA,NA,82,0
"Dre Greenlaw","LB","SF",8,85.8,22.2,0.556,55.8,142,-44.1,-46.3,-45.5,428,515,374,49,"4",29,NA,7.99,99,7
"Henry To'oTo'o","LB","HOU",8,85.2,25.3,1.64,56.4,136,-44.6,-45.7,-52,433,507,397,50,"4",25,NA,NA,58,3
"Akeem Davis-Gaither","LB","IND",13,83.6,31.5,2.6,51.4,137,-46.3,-50.7,-50.9,442,576,391,51,"4",28,NA,NA,85,6
"Derrick Barnes","LB","DET",6,81,20.5,0.681,59.8,116,-48.9,-42.3,-71.5,461,471,517,52,"4",27,NA,NA,50,5
"Christian Elliss","LB","NE",11,80.3,3.93,0.591,65.5,115,-49.6,-36.6,-72.7,466,414,533,53,"4",27,NA,6.77,20,5
"Christian Harris","LB","ATL",11,80.3,9.01,0,60.3,124,-49.6,-41.8,-64.1,466,464,451,53,"4",25,NA,15.1,29,4
