"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Zay Flowers","WR","BAL",13,243,32.7,7.03,222,267,68.1,66.7,70.3,49,53,46,14,"5",25,50,20,77,3
"Jadarian Price","RB","SEA",11,297,34.4,10.7,195,334,64.3,0,82,50,154,41,29,"11",22,62.7,26.8,81,0
"Sam LaPorta","TE","DET",6,179,16.3,0.55,163,195,64,69.8,60.4,51,50,58,7,"4",25,72,8.62,32,3
"Travis Kelce","TE","KC",5,178,10.4,3.49,169,192,63.5,76.3,56.9,52,43,65,8,"4",36,98.2,5.61,26,13
"Malik Nabers","WR","NYG",8,236,11.7,0.05,221,265,61,65.7,68.2,53,54,49,15,"5",23,30.9,23.9,35,2
"DeVonta Smith","WR","PHI",10,236,11.4,6.95,217,248,61,62.1,50.7,54,56,68,16,"6",27,45.1,30.9,14,5
"Tucker Kraft","TE","GB",11,175,7.76,0.454,160,193,60,67.3,58.5,55,52,60,9,"4",25,83.9,11.9,13,3
"Dallas Goedert","TE","PHI",10,174,21.9,2.31,144,201,59.5,51.2,66.2,56,66,52,10,"5",31,115,4.32,68,8
"Mark Andrews","TE","BAL",13,172,5.34,6.97,164,176,57.2,71,41.3,57,48,76,11,"5",30,113,4.46,29,8
"Emeka Egbuka","WR","TB",10,229,10.5,1.56,212,255,54.1,57.2,57.6,58,61,64,17,"6",23,54.4,19.7,18,1
"RJ Harvey","RB","DEN",10,286,39.8,2.2,254,325,53.6,59.3,72.3,59,58,45,30,"11",25,86.5,6.91,92,1
"Tetairoa McMillan","WR","CAR",5,228,19.1,2.79,209,255,52.5,54.5,57.9,60,63,62,18,"6",23,49.5,18.7,45,1
"Chuba Hubbard","RB","CAR",5,284,15.8,7.7,262,298,51.4,67.5,45.7,61,51,70,31,"12",27,83.1,11.1,35,5
"Isaiah Likely","TE","NYG",8,165,16,0.105,142,192,50.2,49.6,57.9,62,67,63,12,"5",26,117,5.13,77,4
"George Kittle","TE","SF",8,165,30.6,2.37,139,194,50.1,45.8,59,63,73,59,13,"5",32,89.9,7.54,84,9
"Jameson Williams","WR","DET",6,225,12,0.95,213,242,49.7,57.7,45.4,64,59,71,19,"6",25,62.4,14.4,21,4
"Tee Higgins","WR","CIN",6,224,19.1,1.45,204,244,48.8,49.5,47.4,65,68,69,20,"6",27,46.3,21.4,44,6
"Jake Ferguson","TE","DAL",14,162,10.4,3.1,154,176,47.8,60.8,40.9,66,57,79,14,"6",27,124,3.58,35,4
"Davante Adams","WR","LAR",11,223,11.9,5.85,212,234,47.3,57.6,37.2,67,60,84,21,"6",33,60.9,20.6,17,12
"Dalton Kincaid","TE","BUF",7,159,17.9,1.85,142,177,44.7,49.1,42.4,68,69,73,15,"6",26,121,5.03,52,3
"Ray Davis","RB","BUF",7,276,7.93,7.55,234,285,43.7,39.4,32.8,69,82,88,32,"12",26,196,1.61,52,2
"Hunter Henry","TE","NE",11,158,10.4,0.1,148,167,42.8,54.9,32.4,70,62,90,16,"6",31,150,2.77,39,10
"Juwan Johnson","TE","NO",8,157,21.9,8.35,141,175,42.7,47.9,40,71,71,80,17,"7",29,155,3.23,61,6
"Deebo Samuel","WR","SF",8,217,28.3,0.225,177,248,41.4,22.2,51.4,72,98,66,22,"6",56,144,3.19,86,7
"Carnell Tate","WR","TEN",9,217,37,0.542,187,248,41.2,32.7,51.3,73,89,67,23,"7",21,80.6,26.2,89,0
"Terry McLaurin","WR","WAS",7,216,17.4,1.66,198,231,40.7,43,34,74,75,87,24,"7",30,56.3,17.9,32,7
"Jayden Daniels","QB","WAS",7,473,26.2,4.32,449,503,39.6,41.5,35.1,75,78,86,2,"1",25,46.2,13.5,48,2
"Luther Burden","WR","CHI",10,214,20.7,0.825,178,262,39,22.9,65.1,76,96,53,25,"7",22,64.1,12.3,48,1
"Ladd McConkey","WR","LAC",7,214,5.78,0.675,207,240,38.2,52.4,43,77,65,72,26,"7",24,49.8,16.5,5,2
"D.J. Moore","WR","BUF",7,213,11.6,0.325,196,260,37.5,41.6,62.5,78,77,56,27,"7",29,67,18,41,8
"Jaylen Waddle","WR","DEN",10,212,8.6,1.66,195,226,37.2,39.8,28.9,79,81,95,28,"7",27,66,22,8,5
"J.K. Dobbins","RB","DEN",10,269,18.4,2.58,243,285,36.2,48.7,32.8,80,70,89,33,"12",27,106,8.97,43,6
"Rashid Shaheed","WR","SEA",11,211,51.6,0.195,167,260,35.5,11.7,62.7,81,114,55,29,"7",27,148,3.3,91,4
"Lamar Jackson","QB","BAL",13,469,7.41,9.58,461,509,35.3,53,41.2,83,64,78,3,"1",29,33.4,25.4,6,8
"Rome Odunze","WR","CHI",10,211,14.5,0.4,192,236,35.3,37,39.4,82,84,81,30,"7",24,72.3,8.66,26,2
"Chimere Dike","WR","TEN",9,210,29.8,1.8,162,255,34.9,7.56,58.1,84,125,61,31,"7",24,202,2.01,92,1
"Dalton Schultz","TE","HOU",8,149,3.11,0.5,136,161,34.4,42.7,26.5,85,76,99,18,"7",30,169,1.93,16,8
"T.J. Hockenson","TE","MIN",6,149,21.9,0.65,131,166,33.9,38.4,31.8,86,83,91,19,"7",29,131,3.62,65,7
"Rhamondre Stevenson","RB","NE",11,266,16.2,13.5,240,283,33.6,45.8,30.8,87,74,93,34,"13",28,99.7,9.13,32,5
"Courtland Sutton","WR","DEN",10,208,22.5,1.33,191,234,33.2,35.7,36.7,89,86,85,32,"7",30,88.6,8.76,64,8
"Brenton Strange","TE","JAC",7,148,15.9,3.45,133,176,33.2,40.5,41.2,88,80,77,20,"7",25,157,3.45,55,3
"Alec Pierce","WR","IND",13,207,22.5,1.22,191,224,31.8,36.6,26.9,90,85,98,33,"7",26,84.3,10.7,70,4
"Mike Evans","WR","SF",8,206,21.2,1.55,185,223,30.6,30.5,25.6,91,91,101,34,"7",32,69.8,15.2,59,12
"Kenyon Sadiq","TE","NYJ",13,144,21.1,6.35,103,163,29.8,9.77,28.6,92,119,97,21,"7",21,144,6.11,97,0
"Wan'Dale Robinson","WR","TEN",9,204,38.2,0.413,168,259,29.1,13.6,61.5,93,111,57,35,"7",25,115,6.11,80,4
"Parker Washington","WR","JAC",7,204,19.8,3.29,170,226,28.6,15.5,29.4,94,107,94,36,"7",24,97.9,9.91,65,3
"Drake Maye","QB","NE",11,460,5.61,3.31,454,482,25.7,46.7,13.9,95,72,118,4,"2",23,59,16.2,3,2
"KaVontae Turpin","WR","DAL",14,201,1.92,3.25,196,210,25.3,41.4,13.2,96,79,121,37,"8",30,170,1.55,85,4
"Jordyn Brooks","LB","MIA",6,154,0.89,11.2,125,229,24.2,22.9,41.4,97,97,75,1,"1",28,NA,21.5,1,6
"Pat Freiermuth","TE","PIT",9,138,9.27,4.9,128,150,23.4,35.7,15.7,98,87,113,22,"8",27,173,2.05,48,5
"Jalen Hurts","QB","PHI",10,456,7.7,16.2,443,482,22.4,34.8,14.6,99,88,117,5,"3",28,51.6,13.3,12,6
"DK Metcalf","WR","PIT",9,197,5.63,2,179,218,22.1,23.9,20.6,100,95,106,38,"8",28,85,10.8,6,7
"Maxx Crosby","DL","LVR",13,99.6,4.48,11.9,87.1,128,21.1,18.5,28.9,101,102,96,1,"1",28,NA,21.4,5,7
"Kenneth Gainwell","RB","TB",10,253,24.5,8.2,201,290,20.1,6.2,37.8,102,129,83,35,"14",27,113,8.59,65,5
"Christian Watson","WR","GB",11,195,11,1.5,185,209,20.1,30.2,11.8,103,92,126,39,"8",27,81.8,12.1,24,4
"Marvin Harrison Jr.","WR","ARI",14,194,17.6,0.5,170,217,18.6,15.5,20.3,104,106,108,40,"8",23,77.2,6.9,55,2
"Chigoziem Okonkwo","TE","WAS",7,133,11.1,1.3,121,159,18.5,28.1,24,105,93,105,23,"8",26,151,3.09,58,4
"Brian Thomas Jr.","WR","JAC",7,193,23.9,3.35,169,222,18.1,14.5,25,106,109,103,41,"8",23,77.1,5.89,68,2
"Cade Otton","TE","TB",10,132,37.8,5.33,106,161,17.2,12.8,26.1,107,112,100,24,"8",27,188,3.2,94,4
"Jakobi Meyers","WR","JAC",7,190,23.3,1.18,164,217,14.8,9.4,20.3,108,121,107,42,"8",29,122,5.12,71,7
"Chris Godwin","WR","TB",10,189,17.9,0.904,165,228,13.6,9.89,31.1,109,118,92,43,"8",30,112,8.27,52,9
"Blake Cashman","LB","MIN",6,143,3.93,3.76,108,230,13,5.92,42.1,110,130,74,2,"1",30,NA,11.7,6,7
"Michael Wilson","WR","ARI",14,188,15.3,0.912,172,235,12.7,17.4,38.2,111,103,82,44,"8",26,102,7.77,42,3
"Jonathon Brooks","RB","CAR",5,245,37,1.9,214,277,11.9,19.2,24.7,112,100,104,36,"14",23,107,7.01,94,2
"AJ Barner","TE","SEA",11,127,11.6,2.31,108,138,11.9,15.6,3.4,113,105,141,25,"9",24,169,2.6,42,2
"Michael Pittman","WR","PIT",9,187,12,6.55,156,197,11.8,1.64,0.08,114,145,153,45,"8",28,119,8.71,33,6
"Kyle Monangai","RB","CHI",10,243,12.6,6.9,199,266,10,4.06,13.2,115,134,120,37,"14",24,103,7.4,25,1
"Greg Dulcich","TE","MIA",6,124,17.1,3.26,81.7,141,9.59,-11.1,6.22,116,201,137,26,"9",26,177,2.51,90,4
"Jack Campbell","LB","DET",6,139,4.08,3.31,114,201,9.27,11.7,13.4,117,115,119,3,"1",25,NA,NA,3,3
"Andrew Van Ginkel","DL","MIN",6,87.8,4.37,1.42,74.1,119,9.2,5.58,20,118,132,109,2,"1",31,NA,12.9,13,7
"Andrew Van Ginkel","DL","MIN",6,87.8,4.37,1.42,74.1,119,9.2,5.58,20,118,132,109,2,"1",31,NA,12.9,22,7
"Myles Garrett","DL","LAR",11,86.3,16.1,0.5,73.2,105,7.78,4.7,5.79,119,133,138,3,"1",30,NA,NA,47,9
"Brian Burns","DL","NYG",8,85.8,33,1.45,64.7,109,7.28,-3.79,9.68,120,171,132,4,"1",28,NA,11.6,85,7
"Brian Burns","DL","NYG",8,85.8,33,1.45,64.7,109,7.28,-3.79,9.68,120,171,132,4,"1",28,NA,11.6,92,7
"Kamren Curl","DB","LAR",11,117,23,0.103,94.8,153,7.26,-0.02,8.97,121,155,134,1,"1",27,NA,9.62,56,6
"Kyle Hamilton","DB","BAL",13,117,3.71,0.588,101,155,7.16,6.45,10.5,122,128,129,2,"1",25,NA,16.3,2,4
"Talanoa Hufanga","DB","DEN",10,116,20.8,0.575,95.6,151,6.57,0.808,6.46,123,148,136,3,"1",26,NA,8.38,50,5
"Oronde Gadsden","TE","LAC",7,121,17.6,2.55,104,135,6.33,11.5,0.36,124,116,151,27,"9",23,167,5.51,81,1
"Jaxson Dart","QB","NYG",8,440,20.6,0.0375,420,470,6.14,12.4,2.65,125,113,143,6,"3",23,75,9.31,76,1
"Caleb Williams","QB","CHI",10,440,44.3,0.575,406,478,6.1,-1.69,10.4,126,162,130,7,"3",24,79.9,10.4,79,2
"Nick Cross","DB","WAS",7,116,5.04,2.86,103,144,6,8.39,0,127,123,154,4,"1",24,NA,10.5,5,4
