"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"David Njoku","TE","LAC",7,90.4,31.3,5.79,61.7,135,-43,-54.3,-13,218,226,134,30,"8",30,158,1.83,89,9
"Calvin Ridley","WR","TEN",9,114,35.4,1.11,67.1,155,-43.5,-69.7,-28.4,219,253,185,59,"9",31,162,2.29,95,8
"Jayden Higgins","WR","HOU",8,113,9.69,0.856,100,123,-44.6,-36.8,-59.8,220,201,251,60,"9",23,155,3.27,9,1
"Tre Tucker","WR","LVR",13,112,7.75,1.11,102,122,-45.5,-35.1,-61.4,221,196,253,61,"9",25,176,3.49,20,3
"KC Concepcion","WR","CLE",11,111,31.7,3.49,64.1,144,-46.6,-72.7,-38.8,222,262,219,62,"9",21,136,13.7,89,0
"Tyler Allgeier","RB","ARI",14,89.1,11.7,0.234,77.2,101,-47,-35,-59.7,223,195,250,48,"15",26,156,3.35,21,4
"Chris Rodriguez","RB","JAC",7,88.9,19.1,4,66,115,-47.2,-46.2,-45.8,224,217,230,49,"15",26,152,3.11,63,3
"Bryce Young","QB","CAR",5,254,25.9,17.5,234,293,-48.3,-48.4,-30.4,225,219,193,24,"6",25,154,4.9,25,3
"Evan Engram","TE","DEN",10,84.6,10.3,1.22,70.8,95,-48.8,-45.2,-52.6,226,215,239,31,"8",31,168,0.95,34,9
"Colby Parkinson","TE","LAR",11,83.3,30.6,5.84,54.7,125,-50,-61.3,-22.3,227,236,163,32,"9",27,198,2.02,91,6
"Jauan Jennings","WR","MIN",6,108,26,0.686,82.1,141,-50.1,-54.7,-42.4,228,227,224,63,"9",29,162,2.38,81,6
"Jalen McMillan","WR","TB",10,107,5.69,2.03,99.1,112,-50.8,-37.7,-70.6,229,203,269,64,"9",24,178,2.3,7,2
"Justice Hill","RB","BAL",13,84.9,14.3,2.21,67.6,103,-51.2,-44.6,-57.9,230,214,247,50,"15",28,198,1.68,75,7
"Jalen Nailor","WR","LVR",13,105,26.4,2.06,74.8,142,-52.8,-61.9,-40.5,231,239,221,65,"9",27,181,2.18,86,4
"Brian Robinson","RB","ATL",11,82.7,9.42,0.668,68.5,90,-53.4,-43.8,-70.7,232,212,272,51,"15",27,154,6.49,10,4
"Ty Johnson","RB","BUF",7,82,7.79,2.79,72.2,91.5,-54.1,-40.1,-69.2,233,206,266,52,"15",28,207,1.09,38,7
"Rashod Bateman","WR","BAL",13,103,16.9,1.36,82.1,122,-54.9,-54.7,-61.1,234,228,252,66,"9",26,175,2.04,55,5
"Terrance Ferguson","TE","LAR",11,77.5,31,3.47,30.3,110,-55.8,-85.7,-38,235,298,216,33,"9",23,162,3.02,97,1
"Malik Washington","WR","MIA",6,102,22.9,1.44,82,133,-56.2,-54.7,-50.4,236,229,236,67,"9",25,179,2.8,80,2
"Dylan Sampson","RB","CLE",11,79.2,17.5,8.24,64.9,102,-56.9,-47.3,-58.3,237,218,248,53,"16",21,173,1.31,49,1
"Kayshon Boutte","WR","NE",11,100,40,2.65,59.6,149,-57.7,-77.2,-33.8,238,273,209,68,"10",24,179,2.13,96,3
"Mason Taylor","TE","NYJ",13,74,20.5,0.633,44.9,97.1,-59.3,-71.1,-50.5,239,257,237,34,"9",22,206,0,80,1
"Jonnu Smith","TE","FA",NA,73.4,NA,5.32,NA,NA,-59.9,NA,NA,241,NA,NA,35,"10",30,112,NA,99,9
"Adonai Mitchell","WR","NYJ",13,97.6,21,5.18,73.9,121,-60.3,-62.9,-61.5,242,242,254,69,"10",23,195,4.63,69,2
"Kareem Hunt","RB","FA",NA,71,NA,0.221,NA,NA,-65.1,NA,NA,244,NA,NA,54,"16",31,NA,NA,87,9
"Dawson Knox","TE","BUF",7,68.1,9.09,2.12,57.5,79.6,-65.2,-58.5,-67.9,245,232,264,36,"10",29,239,0.72,74,7
"Samaje Perine","RB","CIN",6,70.8,13.5,1.58,59.4,86.9,-65.3,-52.8,-73.8,246,224,277,55,"16",30,218,0.973,77,9
"Cooper Kupp","WR","SEA",11,92.5,17.8,0.264,78.7,119,-65.5,-58.1,-64,247,231,260,70,"10",33,168,3.33,61,9
"Jacoby Brissett","QB","ARI",14,236,36.7,1.68,195,288,-65.8,-87.2,-35.3,248,306,211,25,"6",33,158,4.67,78,10
"Antonio Williams","WR","WAS",7,92.2,17.9,0.377,69.3,112,-65.8,-67.5,-70.9,249,247,273,71,"10",22,180,13.8,74,0
"Omar Cooper Jr.","WR","NYJ",13,91.8,33.8,0.673,45.1,133,-66.2,-91.7,-49.9,250,321,235,72,"10",22,163,14.7,92,0
"James Conner","RB","ARI",14,69.2,27.6,0.834,32.4,103,-66.9,-79.8,-57.5,252,283,246,56,"16",31,164,2.13,92,9
"Cam Ward","QB","TEN",9,234,21.2,0.908,215,261,-67.4,-67.5,-62.7,255,246,256,26,"6",24,150,4.17,31,1
"Tank Bigsby","RB","PHI",10,68.4,8.46,1.01,59.7,77.5,-67.8,-52.5,-83.2,256,223,302,57,"16",23,168,2.17,18,3
"Aaron Rodgers","QB","PIT",9,234,30.7,0.942,205,282,-68.3,-77.4,-41,258,275,222,27,"6",42,153,3.84,81,21
"Braelon Allen","RB","NYJ",13,67.4,14.6,0.553,49.7,88.4,-68.8,-62.5,-72.3,259,240,275,58,"16",22,181,1.21,58,2
"Daniel Jones","QB","IND",13,233,70.8,11.5,115,280,-69.3,-167,-43.5,261,473,227,28,"7",29,143,8.06,97,7
"Antonio Gibson","RB","FA",NA,66.8,NA,0.4,NA,NA,-69.3,NA,NA,262,NA,NA,59,"16",56,NA,NA,99,6
"Nick Chubb","RB","FA",NA,66.4,NA,2.38,NA,NA,-69.7,NA,NA,263,NA,NA,60,"16",30,148,NA,94,8
"Mike Washington Jr.","RB","LVR",13,64,10.9,0.337,52.5,78.6,-72.1,-59.7,-82.1,265,234,300,61,"16",23,168,2.74,54,0
"Keaton Mitchell","RB","LAC",7,63.7,13.7,1.49,47.8,81.8,-72.4,-64.4,-78.9,266,244,289,62,"16",24,157,2.2,82,3
"Joe Mixon","RB","FA",NA,62.2,NA,0.604,NA,NA,-73.9,NA,NA,270,NA,NA,63,"17",30,84.8,NA,89,9
"Jordan James","RB","SF",8,61.6,28.4,0.194,38.9,107,-74.5,-73.4,-53.6,272,264,241,64,"17",22,187,3.7,99,1
"Kimani Vidal","RB","LAC",7,61.4,21.2,1.6,33.1,86.8,-74.7,-79.1,-73.9,273,279,278,65,"17",24,191,2.88,80,2
"Najee Harris","RB","FA",NA,59.8,NA,3.93,NA,NA,-76.3,NA,NA,276,NA,NA,66,"17",56,119,NA,86,5
"Ray Davis","RB","BUF",7,55.9,17.4,1.5,31.4,69,-80.2,-80.8,-91.7,289,285,324,67,"17",26,196,1.61,68,2
"Geno Smith","QB","NYJ",13,221,15.3,37.9,204,241,-80.8,-78.7,-81.9,290,278,297,29,"8",35,161,8.19,11,13
"Emari Demercado","RB","KC",5,54.4,22.9,0.261,35,90.7,-81.7,-77.2,-70,295,272,268,68,"17",27,222,0.708,90,3
"Jaylen Wright","RB","MIA",6,54.1,14.1,0.651,36,69.6,-82,-76.2,-91.2,297,269,322,69,"17",23,208,4.69,48,2
"Michael Carter","RB","TEN",9,53.5,18.4,0.833,40.8,66.2,-82.7,-71.4,-94.5,299,259,330,70,"17",27,NA,0.912,96,5
"Malik Davis","RB","DAL",14,52.6,31.7,0.986,25.6,90,-83.5,-86.6,-70.7,302,300,271,71,"17",27,233,1.92,93,4
"Sean Tucker","RB","TB",10,51.6,17.9,0.389,33,73.2,-84.5,-79.3,-87.5,303,282,312,72,"17",24,197,2.28,69,3
"Fernando Mendoza","QB","LVR",13,183,26.7,45.5,147,219,-119,-135,-105,463,470,353,30,"9",22,142,23.5,64,0
"Tua Tagovailoa","QB","ATL",11,138,46.3,15.3,106,211,-164,-176,-113,597,474,378,31,"10",28,158,3.89,86,6
"Michael Penix Jr.","QB","ATL",11,122,68,3.66,41.6,213,-180,-241,-110,598,477,370,32,"10",26,156,3.01,94,2
"Shedeur Sanders","QB","CLE",11,119,26.5,2.87,89.8,152,-183,-193,-171,599,475,476,33,"10",24,175,0.996,89,1
"Deshaun Watson","QB","CLE",11,116,60.9,59.2,54.7,204,-186,-228,-119,600,476,400,34,"11",30,190,2.94,92,9
"Kirk Cousins","QB","LVR",13,56.6,33.1,10.2,38.1,112,-245,-244,-211,601,478,478,35,"12",37,179,4.07,83,14
"Marcus Mariota","QB","WAS",7,46.4,19.9,4.96,25.4,62.3,-255,-257,-261,602,479,483,36,"12",32,NA,1.61,99,11
