"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Mark Andrews","TE","BAL",13,140,4.73,6.4,134,145,6.5,17.8,-2.72,87,77,111,11,"4",30,113,4.46,6,8
"Marvin Harrison Jr.","WR","ARI",14,163,16.9,2.24,139,183,4.67,1.94,0,88,97,103,33,"6",23,77.2,6.9,42,2
"Caleb Williams","QB","CHI",10,306,23.4,0.437,280,332,4.37,-2.44,8.68,89,110,86,8,"2",24,79.9,10.4,56,2
"Trevor Lawrence","QB","JAC",7,306,20.8,0.853,284,330,3.93,2.05,6.55,90,96,91,9,"2",26,90.8,11.5,33,5
"Texans","DST","HOU",8,107,15.6,3.44,86.4,127,3.69,-0.812,7.5,91,106,89,1,"1",NA,111,3.98,29,NA
"Dak Prescott","QB","DAL",14,305,15.8,2.1,287,321,3.08,4.68,-2.68,92,89,110,10,"2",33,75.3,11,22,10
"Kyle Monangai","RB","CHI",10,139,19.8,2.82,112,158,2.82,0,-2.9,93,103,112,34,"12",24,103,7.4,51,1
"Brian Thomas Jr.","WR","JAC",7,160,19.5,2.08,140,187,2.43,3.11,4.41,94,92,95,34,"6",23,77.1,5.89,51,2
"Chase McLaughlin","K","TB",10,148,4.46,1.91,143,154,2.25,7.52,-3.74,95,85,115,5,"2",30,155,1.56,6,7
"Bo Nix","QB","DEN",10,303,22.1,0.375,276,328,0.977,-6.04,4.54,96,119,94,11,"2",26,90.6,6.64,50,2
"Justin Herbert","QB","LAC",7,302,19.2,0.602,284,326,0.602,1.67,2.62,97,98,99,12,"2",28,83.8,13.7,36,6
"Parker Washington","WR","JAC",7,158,20.3,0.349,131,179,0.349,-6.27,-3.63,98,124,114,35,"6",24,97.9,9.91,59,3
"Will Reichard","K","MIN",6,146,8.05,0.0628,137,157,0.339,1.37,-0.582,99,99,105,6,"2",25,169,1.34,58,2
"Cam Little","K","JAC",7,146,7.35,0.276,141,158,0.276,5.1,-0.149,100,86,104,7,"2",22,153,2.92,29,2
"Broncos","DST","DEN",10,104,11.3,0.246,90.3,119,0.246,3.1,0,101,93,103,2,"1",NA,103,2.86,16,NA
"George Kittle","TE","SF",8,133,20.3,0.104,112,161,0.104,-4.34,13.3,102,114,80,12,"4",32,89.9,7.54,69,9
"Patrick Mahomes","QB","KC",5,302,17.4,4.63,287,329,0,4.78,5.4,103,87,92,13,"2",30,79,12.4,39,9
"Aaron Jones","RB","MIN",6,136,23.1,0.133,105,163,0,-6.85,2.49,103,125,100,35,"12",31,114,5.42,70,9
"Michael Wilson","WR","ARI",14,158,25.5,2.34,139,198,0,2.12,14.6,103,95,74,36,"6",26,102,7.77,73,3
"Isaiah Likely","TE","NYG",8,133,21.1,3.72,115,161,0,-1.01,13.7,103,108,77,13,"5",26,117,5.13,83,4
"Jake Bates","K","DET",6,145,8.99,0.217,135,158,0,0,0,103,103,103,8,"2",27,161,1.79,32,3
"Seahawks","DST","SEA",11,104,17.2,9.61,87.2,130,0,0,11.2,103,103,81,3,"2",NA,123,2.53,52,NA
"Rachaad White","RB","WAS",7,136,20.1,0.599,105,152,-0.133,-7.41,-8.41,104,126,125,36,"12",27,122,8.1,56,4
"Harrison Mevis","K","LAR",11,145,11.9,0.757,132,156,-0.217,-3.89,-1.72,105,113,108,9,"2",24,168,1.85,71,2
"Jacory Croskey-Merritt","RB","WAS",7,135,6.08,0.00392,128,142,-0.731,15.8,-18.7,106,79,148,37,"12",25,121,5.58,1,1
"Kenneth Gainwell","RB","TB",10,135,27.3,4.32,97.9,161,-0.735,-14.3,0,107,146,103,38,"12",27,113,8.59,83,5
"Tyler Loop","K","BAL",13,144,12.3,1.65,129,161,-0.974,-6.19,2.82,108,122,97,10,"2",25,179,1.97,16,1
"Chris Godwin","WR","TB",10,156,22.9,0.927,132,190,-2.34,-5.25,6.81,109,116,90,37,"7",30,112,8.27,64,9
"Harrison Butker","K","KC",5,143,10.8,0.665,125,153,-2.63,-10,-4.82,110,135,116,11,"2",31,151,1.65,52,9
"Carnell Tate","WR","TEN",9,155,22.5,0.937,128,181,-3.27,-9.2,-1.84,111,132,109,38,"7",21,80.6,26.2,76,0
"Wil Lutz","K","DEN",10,142,5.19,1.91,134,148,-3.29,-1.19,-10,112,109,128,12,"2",32,170,1.51,3,10
"Dalton Kincaid","TE","BUF",7,130,14,1.18,116,148,-3.72,0,0,113,103,103,14,"5",26,121,5.03,51,3
"Wan'Dale Robinson","WR","TEN",9,154,32.9,4.97,121,203,-4.21,-15.3,20,114,149,65,39,"7",25,115,6.11,85,4
"Brock Purdy","QB","SF",8,297,11.6,1.03,283,310,-4.63,0.837,-13.8,115,101,136,14,"2",26,92,7.62,17,4
"Hunter Henry","TE","NE",11,128,8.07,0.344,120,137,-4.9,4,-10.6,116,90,130,15,"5",31,150,2.77,17,10
"Jordan Mason","RB","MIN",6,131,18.8,3.68,112,154,-5.05,-0.471,-6.89,117,104,120,39,"12",27,122,6.84,46,4
"Blake Grupe","K","IND",13,140,13.8,0.244,129,162,-5.2,-6.26,4.55,118,123,93,13,"2",27,165,0,81,3
"Jake Ferguson","TE","DAL",14,128,8.96,2.7,120,140,-5.24,3.8,-7.56,119,91,123,16,"5",27,124,3.58,9,4
"Cairo Santos","K","CHI",10,140,13.1,0.396,122,156,-5.45,-13.9,-1.31,120,145,107,14,"2",34,178,1.41,42,12
"Matthew Stafford","QB","LAR",11,296,17.2,3.71,282,323,-5.66,0,0,121,103,103,15,"3",38,97.2,10.7,69,17
"Matthew Stafford","QB","LAR",11,296,17.2,3.71,282,323,-5.66,0,0,121,103,103,15,"3",38,97.2,10.7,69,17
"Eddy Pineiro","K","SF",8,139,14.7,5.52,115,148,-5.84,-20.7,-10.2,122,163,129,15,"3",30,160,1.4,35,8
"Juwan Johnson","TE","NO",8,125,15.1,5.24,111,142,-7.94,-5.4,-6.01,123,117,118,17,"5",29,155,3.23,54,6
"Blake Corum","RB","LAR",11,127,13.7,5.71,117,149,-8.73,4.69,-11.3,124,88,131,40,"13",25,113,5.7,23,2
"Jakobi Meyers","WR","JAC",7,149,19.1,3.92,127,176,-9.18,-10.2,-7.08,125,136,122,40,"7",29,122,5.12,57,7
"Jared Goff","QB","DET",6,292,20.4,8.27,270,318,-9.37,-12.5,-5.83,126,142,117,16,"3",31,108,6.56,67,10
"Chargers","DST","LAC",7,94,8.81,0.242,86.2,108,-9.61,-0.991,-11.5,127,107,132,4,"2",NA,153,0.9,32,NA
"Rams","DST","LAR",11,93.8,8.43,2.57,84.2,103,-9.85,-3.01,-16,128,111,144,5,"3",NA,115,3.81,13,NA
"Nick Folk","K","ATL",11,134,23,0.926,110,169,-11.4,-25.2,10.9,129,174,82,16,"3",41,167,0,90,19
"Andres Borregales","K","NE",11,133,9.47,2.46,119,144,-12.3,-16.6,-13.7,130,152,135,17,"3",23,168,1.51,61,1
"Bills","DST","BUF",7,91.2,3.85,0.864,87.8,95.5,-12.4,0.6,-23.8,131,102,170,6,"4",NA,153,0.7,1,NA
"Michael Pittman","WR","PIT",9,145,15.5,1.23,120,156,-13.1,-16.9,-27.3,132,154,180,41,"7",28,119,8.71,36,6
"Brenton Strange","TE","JAC",7,120,16,3.59,107,144,-13.2,-9.37,-3.33,133,133,113,18,"6",25,157,3.45,57,3
"Steelers","DST","PIT",9,90.3,3.94,0.00755,86.5,94.6,-13.3,-0.716,-24.7,134,105,174,7,"4",NA,140,1.35,3,NA
"Browns","DST","CLE",11,90.3,9.17,0.0481,81.1,101,-13.3,-6.13,-18.4,135,121,147,8,"4",NA,154,0.967,94,NA
"Lions","DST","DET",6,90.3,10.9,1.36,81.2,107,-13.3,-6.08,-12.4,136,120,133,9,"5",NA,155,0.967,35,NA
"Stefon Diggs","WR","WAS",7,144,6.42,0.819,138,150,-14.3,0.971,-32.8,137,100,202,42,"7",32,147,4.46,35,11
"Jonathon Brooks","RB","CAR",5,122,15.9,5.87,103,141,-14.4,-9.06,-19.6,138,131,155,41,"13",23,107,7.01,85,2
"Vikings","DST","MIN",6,88.9,9.54,0.962,81.3,104,-14.7,-5.91,-15.1,139,118,141,10,"6",NA,147,0.877,58,NA
"Evan McPherson","K","CIN",6,131,17.7,0.0898,103,149,-14.8,-32.5,-8.74,140,189,127,18,"3",27,164,1.38,84,5
"Trey Smack","K","GB",11,130,25.1,0.044,91.3,157,-14.8,-44.1,-1.09,141,213,106,19,"3",23,170,0,99,0
"Jake Elliott","K","PHI",10,130,6.06,0.247,123,137,-14.9,-12.4,-20.6,142,141,158,20,"3",31,149,1.96,10,9
"Jordan Addison","WR","MIN",6,143,22.9,0.0178,115,176,-15.1,-21.5,-7.07,144,166,121,43,"7",24,114,5.59,65,3
"Chris Boswell","K","PIT",9,130,5.83,0.153,123,136,-15.1,-12.1,-22,143,139,162,21,"3",35,142,1.74,13,12
"Tyreek Hill","WR","FA",NA,143,NA,0.378,NA,NA,-15.2,NA,NA,145,NA,NA,44,"7",32,175,5.73,91,10
"Charlie Smyth","K","NO",8,130,12.2,0.407,110,139,-15.3,-25.7,-18.7,146,176,149,22,"3",25,185,0,23,2
"Josh Downs","WR","IND",13,142,9.54,0.227,132,153,-15.5,-4.43,-29.9,147,115,192,45,"7",24,121,5.16,11,3
"Tyler Bass","K","BUF",7,130,17.6,4.51,100,140,-15.7,-35.4,-17.5,149,197,145,23,"3",29,168,1.39,77,6
"Eagles","DST","PHI",10,88,8.63,0.816,78.2,97.9,-15.7,-9,-21.4,148,130,161,11,"7",NA,129,1.39,6,NA
"Quentin Johnston","WR","LAC",7,142,16.5,0.751,124,160,-15.8,-12.8,-22.8,150,143,164,46,"7",24,122,6.15,39,3
"Jayden Reed","WR","GB",11,141,27.9,4.73,101,174,-16.5,-35.8,-8.52,153,198,126,47,"8",26,135,4.32,77,3
"Saints","DST","NO",8,87.1,8.35,0.0118,78.3,98.6,-16.5,-8.98,-20.7,151,129,159,12,"7",NA,172,0,74,NA
"Ravens","DST","BAL",13,87.1,8.95,0.419,77.3,98.1,-16.5,-9.97,-21.2,152,134,160,13,"7",NA,146,1.21,39,NA
"Dalton Schultz","TE","HOU",8,117,9.08,1.36,104,128,-16.8,-12.2,-19.9,154,140,157,19,"6",30,169,1.93,26,8
"Falcons","DST","ATL",11,86.7,11.9,0.95,76.2,105,-16.9,-11.1,-14.7,155,137,140,14,"8",NA,154,0,68,NA
"Baker Mayfield","QB","TB",10,284,23.8,1.06,259,308,-17.6,-23.6,-15.3,156,171,142,17,"3",31,110,6.84,53,8
"Jaguars","DST","JAC",7,85.8,6.79,1.91,79.2,94.2,-17.9,-7.99,-25.1,157,127,175,15,"9",NA,160,0.857,10,NA
"T.J. Hockenson","TE","MIN",6,115,12.8,3.7,103,133,-18.1,-12.9,-14.4,158,144,138,20,"6",29,131,3.62,46,7
"Tyler Shough","QB","NO",8,283,16.7,6.79,260,304,-18.7,-22,-19.3,159,167,152,18,"4",26,123,3.98,47,1
"Patriots","DST","NE",11,83.8,10.9,0.321,69.6,95.7,-19.8,-17.7,-23.6,160,155,169,16,"9",NA,145,1.26,90,NA
"Bears","DST","CHI",10,83.5,7.86,0.887,72.5,91.2,-20.1,-14.7,-28.1,161,147,182,17,"10",NA,151,0.55,55,NA
"Jake Moody","K","WAS",7,125,15.4,1.02,99.2,135,-20.2,-36.2,-23.1,162,200,166,24,"4",26,170,0,87,3
"Zach Charbonnet","RB","SEA",11,116,20.5,0.533,96.6,146,-20.3,-15.7,-14.6,163,151,139,42,"13",25,132,7.06,79,3
"Woody Marks","RB","HOU",8,115,7.99,0.773,104,123,-20.8,-8.04,-37.8,164,128,214,43,"13",25,142,4.4,8,1
"Commanders","DST","WAS",7,82.6,14.2,0.184,64.6,96.2,-21,-22.6,-23.1,165,170,165,18,"10",NA,158,0,84,NA
"Chad Ryland","K","ARI",14,124,4.31,0.87,119,129,-21.2,-16.7,-28.6,167,153,188,25,"4",26,170,0.756,26,3
"Titans","DST","TEN",9,82.5,11.6,0.917,65,90.7,-21.2,-22.3,-28.6,166,169,189,19,"11",NA,184,0,61,NA
"Jordyn Tyson","WR","NO",8,137,35.4,1.29,84.6,177,-21.3,-52.2,-6.13,168,222,119,48,"8",21,100,19.7,93,0
"Tyjae Spears","RB","TEN",9,115,12.6,5.53,96.8,128,-21.6,-15.5,-32.9,169,150,203,44,"13",25,150,3.55,30,3
"Pat Freiermuth","TE","PIT",9,111,7.71,0.967,105,123,-21.8,-11.3,-24.1,170,138,172,21,"6",27,173,2.05,37,5
"Joey Slye","K","TEN",9,123,10.1,0.925,114,134,-22.1,-21.1,-23.4,172,165,168,26,"4",30,170,0,48,7
"Giants","DST","NYG",8,81.5,12.9,0.629,67.5,100,-22.1,-19.7,-19.1,171,161,151,20,"12",NA,163,0.7,71,NA
"Xavier Worthy","WR","KC",5,135,18.8,1.72,105,150,-22.5,-31.7,-33.2,173,187,204,49,"8",23,127,3.29,49,2
"Xavier Worthy","WR","KC",5,135,18.8,1.72,105,150,-22.5,-31.7,-33.2,173,187,204,49,"8",23,127,3.29,49,2
"Xavier Worthy","WR","KC",5,135,18.8,1.72,105,150,-22.5,-31.7,-33.2,173,187,204,49,"8",23,127,3.29,99,2
"Xavier Worthy","WR","KC",5,135,18.8,1.72,105,150,-22.5,-31.7,-33.2,173,187,204,49,"8",23,127,3.29,99,2
