player_id,name_x,fleaflicker_id,cfbref_id,draft_pick,mfl_id,pfr_id,yahoo_id,fantasy_data_id,db_season,sportradar_id,rotoworld_id,twitter_username,rotowire_id,team_x,fantasypros_id,age,name_y,merge_name,draft_year_x,gsis_id,stats_global_id,pff_id,position_x,draft_ovr,height,sleeper_id,birthdate_x,ktc_id,stats_id,espn_id,draft_round,college,weight,nfl_id,swish_id,cbs_id,Row,player,team_y,position_y,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_att,rush_att_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,return_yds,return_yds_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,birthdate_y,draft_year_y,injury_status,injury_details,season_year,week,Unnamed: 0,position,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty,pick_number,owner
4260224,Jordan Stout,,jordan-stout-2,25.0,15884.0,StouJo00,,,2025.0,6b2416e4-510b-4ecb-b1eb-0037863fc315,,,15826.0,BAL,,27.0,Jordan Stout,jordan stout,2022.0,,0.0,,PN,130.0,75.0,8467.0,1998-08-04,,34086.0,4260224.0,4.0,Penn State,209.0,,1068272.0,2869949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2998565,Mo Alie-Cox,,,,13246.0,AlieMo00,30112.0,18900.0,2025.0,8809c0dd-786b-4255-a7d0-333c9498c19a,12221.0,,12196.0,IND,16579.0,31.9,Mo Alie-Cox,mo alie-cox,2017.0,00-0033217,712506.0,12078.0,TE,,77.0,4054.0,1993-09-19,,30112.0,2998565.0,,Virginia Commonwealth,267.0,moalie-cox/2558832,712506.0,2815925.0,486.0,Mo Alie-Cox,IND,TE,13246.0,robust,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,12.225,5.63388,145.75,26.6868,1.425,0.44478,0.0,0.0,,,,,,,,,,,1993-09-19,2016.0,,,,,,,,,,,,,,,,,,,,,,,,0,
16710,Khalil Mack,,khalil-mack-1,5.0,11721.0,MackKh00,27533.0,16323.0,2025.0,33c74bf8-7621-48be-a769-e219703988d9,9373.0,52Mack_,9251.0,LAC,12169.0,34.5,Khalil Mack,khalil mack,2014.0,00-0031040,506500.0,8640.0,DE,5.0,75.0,2036.0,1991-02-22,,27533.0,16710.0,1.0,Buffalo,269.0,khalilmack/2543463,506500.0,1692203.0,570.0,Khalil Mack,LAC,DL,11721.0,robust,,,,,,,,,,,,,,,,,,,,,,,,,,,35.05,0.0741300000000011,,,0.0,0.0,6.95,0.0741299999999997,0.0,0.0,1991-02-22,2014.0,,,,,179.0,DL,LAC,52.5,0.0,0.025,52.5,52.5,-2.66,0.0,-5.77,165.0,154.0,190.0,14.0,4.0,,2.78,12.0,0,
16710,Khalil Mack,,khalil-mack-1,5.0,11721.0,MackKh00,27533.0,16323.0,2025.0,33c74bf8-7621-48be-a769-e219703988d9,9373.0,52Mack_,9251.0,LAC,12169.0,34.5,Khalil Mack,khalil mack,2014.0,00-0031040,506500.0,8640.0,DE,5.0,75.0,2036.0,1991-02-22,,27533.0,16710.0,1.0,Buffalo,269.0,khalilmack/2543463,506500.0,1692203.0,570.0,Khalil Mack,LAC,DL,11721.0,robust,,,,,,,,,,,,,,,,,,,,,,,,,,,35.05,0.0741300000000011,,,0.0,0.0,6.95,0.0741299999999997,0.0,0.0,1991-02-22,2014.0,,,,,180.0,DL,LAC,52.5,0.0,0.025,52.5,52.5,-2.66,0.0,-5.77,165.0,154.0,190.0,14.0,4.0,,2.78,42.0,0,
16711,Anthony Barr,,anthony-barr-1,9.0,11720.0,BarrAn00,27537.0,16496.0,2025.0,23616a22-8266-4b0c-b0b9-5f8187178168,9432.0,AnthonyBarr,9247.0,FA,12168.0,33.0,Anthony Barr,anthony barr,2014.0,00-0031256,553112.0,8644.0,LB,9.0,77.0,2151.0,1992-03-18,,27537.0,16711.0,1.0,UCLA,257.0,anthonybarr/2543459,553112.0,1759765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
3932430,Jalen Guyton,,,,14337.0,GuytJa01,32201.0,21448.0,2025.0,ae9495b2-4c62-4e14-8e43-beb53e1ae28a,14311.0,,13575.0,FA,18941.0,28.2,Jalen Guyton,jalen guyton,2019.0,00-0035414,884567.0,34164.0,WR,,73.0,6421.0,1997-06-07,,32201.0,3932430.0,,North Texas,212.0,,884567.0,2186663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
16716,Aaron Donald,,aaron-donald-1,13.0,11757.0,DonaAa00,27541.0,16618.0,2025.0,8bb5c7ef-e7be-4015-8874-2f0982286acc,9356.0,AaronDonald97,9391.0,FA,12205.0,33.8,Aaron Donald,aaron donald,2014.0,00-0031388,553982.0,8648.0,DT,13.0,73.0,2227.0,1991-05-23,,27541.0,16716.0,1.0,Pittsburgh,280.0,aarondonald/2543485,553982.0,1737460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
16717,Jimmie Ward,,jimmie-ward-1,30.0,11768.0,WardJi01,27558.0,16678.0,2025.0,1b8414b5-3db8-4e89-8bcc-7ac7f7d0b931,9434.0,ward_jimmie,9308.0,HOU,12216.0,34.1,Jimmie Ward,jimmie ward,2014.0,00-0031298,557470.0,8665.0,S,30.0,71.0,2267.0,1991-07-18,,27558.0,16717.0,1.0,Northern Illinois,193.0,jimmieward/2543741,557470.0,1762370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
16719,Bradley Roby,,bradley-roby-1,31.0,11735.0,RobyBr00,27559.0,16283.0,2025.0,b6c9d494-a3cd-4d57-96e1-f807f0b9be63,9440.0,BradRoby_1,9329.0,FA,12183.0,32.8,Bradley Roby,bradley roby,2014.0,00-0031372,553687.0,8666.0,CB,31.0,71.0,2008.0,1992-05-01,,27559.0,16719.0,1.0,Ohio State,194.0,bradleyroby/2543505,553687.0,1759561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
16720,C.J. Mosley,,cj-mosley-1,17.0,11728.0,MoslC.00,27545.0,16093.0,2025.0,bf5f7564-349a-439a-a8a9-4ddb10448a8d,9631.0,TreyDeuce32RTR,9380.0,FA,12176.0,33.2,C.J. Mosley,cj mosley,2014.0,00-0031296,557173.0,8652.0,LB,17.0,74.0,1875.0,1992-06-19,,27545.0,16720.0,1.0,Alabama,231.0,c.j.mosley/2543464,557173.0,1762120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
4686104,Johnny Wilson,,johnny-wilson-3,9.0,16625.0,WilsJo03,41089.0,,2025.0,e8d389b5-56c8-4276-9983-0dbcc1663507,,,17011.0,PHI,25295.0,24.4,Johnny Wilson,johnny wilson,2024.0,00-0039236,0.0,,WR,185.0,78.0,11636.0,2001-04-03,1596.0,41089.0,4686104.0,6.0,Florida State,228.0,,1213486.0,3163268.0,386.0,Johnny Wilson,PHI,WR,16625.0,robust,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,6.6,3.11346,67.45,19.86684,0.525,0.14826,0.0,0.0,,,,,,,,,,,2001-04-03,2024.0,,,,,,,,,,,,,,,,,,,,,,,,0,
16726,Jason Verrett,,jason-verrett-1,25.0,11765.0,VerrJa00,27553.0,16353.0,2025.0,13112f4f-03c9-432c-a033-454870cda46b,9439.0,Jfeeva_2,9330.0,FA,12213.0,32.7,Jason Verrett,jason verrett,2014.0,00-0031334,592200.0,8660.0,CB,25.0,70.0,2055.0,1991-05-13,,27553.0,16726.0,1.0,TCU,188.0,jasonverrett/2543493,592200.0,1824936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
16728,Teddy Bridgewater,,teddy-bridgewater-1,32.0,11640.0,BridTe00,27560.0,16497.0,2025.0,d4cb52a9-f6b4-42ed-b40b-27bff5f1eea7,9274.0,teddyb_h2o,9245.0,TBB,12088.0,32.8,Teddy Bridgewater,teddy bridgewater,2014.0,00-0031237,592195.0,8667.0,QB,32.0,74.0,2152.0,1992-11-10,,27560.0,16728.0,1.0,Louisville,210.0,teddybridgewater/2543465,592195.0,1825122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
16731,Brandin Cooks,,brandin-cooks-1,20.0,11674.0,CookBr00,27548.0,16568.0,2025.0,b6b954eb-4591-4b7a-86b9-a481f15fdd58,9404.0,brandincooks,9260.0,NOS,12122.0,31.9,Brandin Cooks,brandin cooks,2014.0,00-0031236,607864.0,8655.0,WR,20.0,70.0,2197.0,1993-09-25,307.0,27548.0,16731.0,1.0,Oregon State,193.0,brandincooks/2543498,607864.0,1880880.0,311.0,Brandin Cooks,NO,WR,11674.0,robust,,,,,,,2.675,1.445535,5.09166666666667,5.51033,0.0,0.0,0.0333333333333333,0.0,0.0,,0.0,,37.7,8.00604,454.65,63.7518,2.975,1.4826,13.0,0.0,,,,,,,,,,,1993-09-25,2014.0,,,,,,,,,,,,,,,,,,,,,,,,0,
16733,Odell Beckham Jr.,,odell-beckham-jr-1,12.0,11679.0,BeckOd00,27540.0,16389.0,2025.0,354dec38-b88b-4ba0-8974-859123f27c45,9403.0,OBJ_3,9255.0,FA,12127.0,32.8,Odell Beckham,odell beckham,2014.0,00-0031235,589984.0,8647.0,WR,12.0,71.0,2078.0,1992-11-05,,27540.0,16733.0,1.0,LSU,200.0,odellbeckham/2543496,589984.0,1824823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
3916148,Tony Pollard,,tony-pollard-1,26.0,14085.0,PollTo00,31960.0,20912.0,2025.0,33b0227d-4c21-4e71-b4cd-be35f7db9123,14245.0,,13590.0,TEN,18705.0,28.3,Tony Pollard,tony pollard,2019.0,00-0035261,880398.0,27126.0,RB,128.0,72.0,5967.0,1997-04-30,344.0,31960.0,3916148.0,4.0,Memphis,209.0,,880398.0,2184011.0,108.0,Tony Pollard,TEN,RB,14085.0,robust,,,,,,,236.532410284655,12.5649323949384,1000.6,53.07708,5.5,0.66717,1.1875,0.185325,0.0,,0.0,,41.5,2.2239,258.175,28.09527,0.95,0.0415128,0.0,0.0,,,,,,,,,,,,2019.0,,,,,34.0,RB,TEN,320.0,13.6,16.0,308.0,337.0,104.0,135.0,72.2,34.0,21.0,47.0,22.0,7.0,81.2,11.7,14.0,0,
16734,Jadeveon Clowney,,jadeveon-clowney-1,1.0,11706.0,ClowJa00,27529.0,16194.0,2025.0,016d31ec-9b32-47e2-801b-9724c0a30f62,8375.0,clownejd,9243.0,FA,12154.0,32.5,Jadeveon Clowney,jadeveon clowney,2014.0,00-0031364,604912.0,8636.0,DE,1.0,77.0,1947.0,1993-02-14,,27529.0,16734.0,1.0,South Carolina,266.0,jadeveonclowney/2543456,604912.0,1852852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
