player_id,name_x,stats_global_id,age,yahoo_id,espn_id,swish_id,draft_pick,nfl_id,stats_id,fleaflicker_id,draft_round,position_x,weight,mfl_id,college,rotoworld_id,pfr_id,fantasy_data_id,name_y,rotowire_id,pff_id,birthdate_x,draft_year_x,db_season,height,sleeper_id,team_x,twitter_username,gsis_id,draft_ovr,cfbref_id,sportradar_id,fantasypros_id,ktc_id,merge_name,cbs_id,Row,player,team_y,position_y,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_att,rush_att_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,return_yds,return_yds_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,birthdate_y,draft_year_y,injury_status,injury_details,season_year,week,Unnamed: 0,position,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty,pick_number,owner,PPG,depth
3886601,Shy Tuttle,0.0,30.8,32497.0,3886601.0,866951.0,,48544.0,32497.0,,,DT,300.0,14675.0,Tennessee,,TuttSh00,21422.0,Shy Tuttle,14286.0,37279.0,1995-10-20,2019.0,2026.0,75.0,6627.0,WAS,,00-0035409,,,c8fb3887-c2bb-4038-af6f-f9b81aeee0ac,18873.0,,shy tuttle,2180542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4591008,Omarr Norman-Lott,0.0,24.4,,4591008.0,,31.0,58268.0,41848.0,,2.0,DT,315.0,17152.0,Tennessee,,NormOm00,26076.0,Omarr Norman-Lott,18705.0,131624.0,2002-03-11,2025.0,2026.0,75.0,12615.0,KCC,,00-0040748,63.0,omarr-norman-lott-1,04648fce-0bba-40d4-98c0-e18c48e32567,,,omarr norman-lott,3162348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4361653,Devin Leary,0.0,26.4,41069.0,4361653.0,1122502.0,42.0,57338.0,41069.0,,6.0,QB,215.0,16591.0,Kentucky,,LearDe00,,Devin Leary,17911.0,77628.0,1999-09-10,2024.0,2026.0,73.0,11556.0,FA,,00-0039801,218.0,devin-leary-1,8e947d6d-f043-4e12-8a42-b7c30732cdeb,24698.0,,devin leary,2964337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4427190,AJ Finley,0.0,24.4,40356.0,4427190.0,1176768.0,,56586.0,40356.0,,,S,188.0,16515.0,Ole Miss,,FinlAJ00,24525.0,AJ Finley,16993.0,98887.0,2001-09-14,2023.0,2026.0,72.0,11121.0,SEA,,00-0038866,,,08ca7920-e78f-11ed-81d0-c919bd0add9b,25557.0,,aj finley,3126954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4361651,Tanner Ingle,0.0,26.3,,4361651.0,,,56139.0,40389.0,,,S,,17423.0,,,InglTa00,,Tanner Ingle,17474.0,76667.0,1999-10-29,2024.0,2026.0,,,LAR,,00-0038366,,,,,,tanner ingle,2965588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4689334,Malik Heath,0.0,26.4,40445.0,4689334.0,1231559.0,,56220.0,40445.0,,,WR,213.0,16413.0,Ole Miss,,HeatMa00,24362.0,Malik Heath,17184.0,124173.0,2000-03-03,2023.0,2026.0,74.0,11210.0,ATL,,00-0038465,,,c0fccfb0-e907-11ed-8194-c7505aa5766b,25668.0,1502.0,malik heath,3171033.0,365.0,Malik Heath,GB,WR,16413.0,robust,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,15.1,14.38122,128.2,100.52028,1.65,1.85325,1.0,0.0,,,,,,,,,,,2000-03-03,2023.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4689333,Tyrus Wheat,0.0,26.7,,4689333.0,1231553.0,,56461.0,40776.0,,,DE,260.0,16516.0,Mississippi State,,WheaTy02,24448.0,Tyrus Wheat,17181.0,124191.0,1999-12-08,2023.0,2026.0,74.0,11512.0,DAL,,00-0038742,,,700b71a0-f678-11ed-a5ca-c79bcc7fcf23,,,tyrus wheat,3171016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4361662,Alim McNeill,0.0,26.2,33460.0,4361662.0,1122505.0,8.0,53501.0,33460.0,,3.0,DT,310.0,15390.0,North Carolina State,,McNeAl00,22906.0,Alim McNeill,15522.0,76996.0,2000-05-11,2021.0,2026.0,74.0,7679.0,DET,,00-0036624,72.0,alim-mcneill-1,865d4bf9-5d13-42a6-a8f9-a4e9a93c7375,22765.0,,alim mcneill,2965894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4361665,Christopher Dunn,0.0,26.0,40380.0,4361665.0,1107011.0,,,40380.0,,,PK,170.0,16381.0,North Carolina State,,,,Christopher Dunn,17370.0,,1998-02-19,2023.0,2026.0,68.0,11146.0,FA,,,,,db046ea0-e84d-11ed-b0f9-4913ed85ec87,25618.0,,christopher dunn,2963497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
3116593,Dalvin Cook,824080.0,31.0,30154.0,3116593.0,824080.0,9.0,44853.0,30154.0,,2.0,RB,210.0,13128.0,Florida State,12138.0,CookDa01,18872.0,Dalvin Cook,11700.0,11796.0,1995-08-10,2017.0,2026.0,70.0,4029.0,FA,,00-0033893,41.0,dalvin-cook-1,8960d61e-433b-41ea-a7ad-4e76be87b582,16374.0,,dalvin cook,2130893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
